scenario_id,case_id,link_id,target_tau_ns,target_rank,target_in_Wearly,target_is_first,bounce_count,parity,incidence_angle_deg,Pco_target,Pcross_target,xpd_target_raw_db,xpd_target_ex_db,C_target_db
A4,10,A4_10,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,5.004968695350676e-09,8.452772633360115e-09,-2.275978218403221,-27.328427984578,0.0
A4,11,A4_11,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,2.1598755494609124e-09,3.940558256240611e-09,-2.611290242682389,-27.663740008857168,0.0
A5,0,A5_0,26.370557161984873,2.0,0,0,2,even,45.0,6.049226654168162e-08,1.5569269855444185e-08,5.894316109366958,-19.15813365680782,-228.81165093650566
A5,1,A5_1,26.370557161984873,2.0,0,0,2,even,45.0,6.102588975220721e-08,1.5035646644918587e-08,6.08392009372243,-18.968529672452348,-228.81165093650566
A5,2,A5_2,26.370557161984873,2.0,0,0,2,even,45.0,6.158816625038151e-08,1.447337014674429e-08,6.289276043927586,-18.763173722247192,-228.81165093650566
A5,3,A5_3,26.370557161984873,2.0,0,0,2,even,45.0,6.281009870568729e-08,1.325143769143851e-08,6.757664770503392,-18.294784995671385,-228.81165093650566
A5,4,A5_4,26.370557161984873,2.0,0,0,2,even,45.0,5.774804963804348e-08,1.8313486759082333e-08,4.987662823163158,-20.06478694301162,-228.81165093650566
A5,5,A5_5,26.370557161984873,2.0,0,0,2,even,45.0,6.08841170454375e-08,1.517741935168831e-08,6.033060783477795,-19.01938898269698,-228.81165093650566
A5,6,A5_6,26.370557161984873,2.0,0,0,2,even,45.0,6.029360894877378e-08,1.5767927448352025e-08,5.824966668853964,-19.227483097320814,-228.81165093650566
A5,7,A5_7,26.370557161984873,2.0,0,0,2,even,45.0,5.907863643510246e-08,1.698289996202334e-08,5.414186116237239,-19.63826364993754,-228.81165093650566
A5,8,A5_8,26.370557161984873,2.0,0,0,2,even,45.0,6.00679220114769e-08,1.5993614385648906e-08,5.746959874904675,-19.305489891270103,-228.81165093650566
A5,9,A5_9,26.370557161984873,2.0,0,0,2,even,45.0,6.300136467607541e-08,1.3060171721050408e-08,6.834010695554142,-18.218439070620636,-228.81165093650566
A5,10,A5_10,26.370557161984873,2.0,0,0,2,even,45.0,6.363430877021687e-08,1.2427227626908942e-08,7.0931707764397505,-17.959278989735026,-228.81165093650566
A5,11,A5_11,26.370557161984873,2.0,0,0,2,even,45.0,6.156638250270779e-08,1.4495153894418014e-08,6.281208056074414,-18.771241710100362,-228.81165093650566
A5,12,A5_12,26.370557161984873,2.0,0,0,2,even,45.0,6.100168052167855e-08,1.5059855875447254e-08,6.0752098382087,-18.977239927966078,-228.81165093650566
A5,13,A5_13,26.370557161984873,2.0,0,0,2,even,45.0,5.8613836625694244e-08,1.7447699771431566e-08,5.262619698993264,-19.789830067181512,-228.81165093650566
A5,14,A5_14,26.370557161984873,2.0,0,0,2,even,45.0,6.128045053729032e-08,1.4781085859835495e-08,6.176156098776041,-18.876293667398738,-228.81165093650566
A5,15,A5_15,26.370557161984873,2.0,0,0,2,even,45.0,6.031573784387756e-08,1.5745798553248244e-08,5.832659540102629,-19.21979022607215,-228.81165093650566
A5,16,A5_16,26.370557161984873,2.0,0,0,2,even,45.0,6.197117627959607e-08,1.409036011752974e-08,6.432676467748646,-18.619773298426132,-228.81165093650566
A5,17,A5_17,26.370557161984873,2.0,0,0,2,even,45.0,6.15747288324646e-08,1.4486807564661202e-08,6.284298167231937,-18.76815159894284,-228.81165093650566
A5,18,A5_18,26.370557161984873,2.0,0,0,2,even,45.0,6.049794804915916e-08,1.5563588347966644e-08,5.896309093045784,-19.156140673128995,-228.81165093650566
A5,19,A5_19,26.370557161984873,2.0,0,0,2,even,45.0,6.387556244092175e-08,1.2185973956204055e-08,7.194744916176608,-17.85770484999817,-228.81165093650566
A5,20,A5_20,26.370557161984873,2.0,0,0,2,even,45.0,6.391414366864046e-08,1.2147392728485335e-08,7.211139019791249,-17.841310746383527,-228.81165093650566
A5,21,A5_21,26.370557161984873,2.0,0,0,2,even,45.0,6.247262048496893e-08,1.3588915912156878e-08,6.625049120560343,-18.427400645614433,-228.81165093650566
A5,22,A5_22,26.370557161984873,2.0,0,0,2,even,45.0,6.007345253619169e-08,1.5988083860934112e-08,5.748861748370857,-19.30358801780392,-228.81165093650566
A5,23,A5_23,26.370557161984873,2.0,0,0,2,even,45.0,6.473008562959205e-08,1.133145076753376e-08,7.568206653159971,-17.484243113014806,-228.81165093650566
A5,24,A5_24,26.370557161984873,2.0,0,0,2,even,45.0,6.353563295307669e-08,1.2525903444049116e-08,7.052083011787495,-18.000366754387283,-228.81165093650566
A5,25,A5_25,26.370557161984873,2.0,0,0,2,even,45.0,5.789390420984344e-08,1.8167632187282372e-08,5.033345094174263,-20.019104672000516,-228.81165093650566
A5,26,A5_26,26.370557161984873,2.0,0,0,2,even,45.0,6.221406220833484e-08,1.3847474188790977e-08,6.5251799480610675,-18.52726981811371,-228.81165093650566
