case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results,is_nlos_current_0p20,is_los_current_0p20,is_nlos_geo,is_los_geo,is_nlos_bounce_0p33,is_los_bounce_0p33,is_nlos_mixed_0p33,is_los_mixed_0p33,label_schema
192,A,2.5,2,2.7,4,2,0.65,2,2.54017715917611,36.1932073055647,36.1932073055647,27.6119893332794,38.6554923829236,1.0858169268981,drywall,patch_ffd,drywall,13,5.97665369649805e-09,6.40947135551461,leading_edge,1,1,R,1,1,2,1.06475464094415,-0.227672267249976,0.690160436299482,0.00896150349140634,0.0191867898062412,0.36948390102403,1.3776351744326e-08,4.75218433462323e-09,4.48249027237354e-09,0.147649842593746,9.96108949416347e-10,1.66136380366507,88.2481693516964,8.66313732859998,0.998377270531315,3,144.478888520328,0.173226744091949,0,,20,0,2,1,1,0,2.54017715917611,dielectric,0.00204337687192733,0.000594493928967782,0.290936996075056,0,A,2,36.1932073055647,36.1932073055647,drywall,1.0858169268981,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
193,A,2.5,2,2.7,0.459102602815945,1.35024593376714,0.65,2,2.96478372439185,46.2549933312101,46.2549933312101,30.6755547789743,24.1501273756198,1.13489642745706,drywall,patch_ffd,drywall,12,5.47859922178988e-09,3.47845485347074,leading_edge,1,1,R,1,1,2,1.08821041704791,0.260280650040691,1.24621386259247,0.0139764637946651,0.0146054482512614,0.354974705513455,4.22581772444049e-08,8.16411398556793e-09,7.47081712062257e-09,0.09252861020502,5.47859922178991e-09,1.59488947483917,65.103105479712,7.46098323966336,0.992193226477538,5,119.155252096122,0.101963115581996,0,,21,0,2,1,1,0,2.96478372439185,dielectric,0.00175073116293609,0.000563752879702659,0.322009964543732,0,A,2,46.2549933312101,46.2549933312101,drywall,1.13489642745706,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
194,A,2.5,2,2.7,0.981776227052011,0.527731796123461,1.2,2,2.59279329852772,54.6530189366268,54.6530189366268,39.6921316343058,21.9430666117669,0.844062604551787,glass,patch_ffd,glass,14,6.47470817120623e-09,5.83789456167117,leading_edge,1,1,R,1,1,2,0.695691167862599,-4.0958659705025,0.174107273102207,0.210526834020253,0.0298326865093475,0.438484628921062,3.35496844401484e-09,2.41079791050693e-09,4.48249027237354e-09,0.202034616538621,1.49416342412452e-09,1.64481416575779,113.254039649073,10.2469232779254,0.999931197493988,1,159.505892524843,0.253187194239234,0,,22,0,2,1,1,0,2.59279329852772,dielectric,0.00200191016407127,0.000617530334828753,0.30847055273094,0,A,2,54.6530189366268,54.6530189366268,glass,0.844062604551787,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
195,B,2.5,2,2.7,1.38888888888889,3.07142857142857,0.2,1,2.93811624768457,31.6919067778889,31.6919067778889,24.3033067518054,21.4881060770144,1.02057293119162,glass,patch_ffd,glass,19,8.96498054474708e-09,2.31304450093632,leading_edge,1,1,R,1,1,2,1.08904082677856,-0.990182495077303,0.983890183984994,0.00789069200011516,0.0143023381933017,0.326303360144316,1.52220979138608e-08,1.04850253794382e-08,1.29494163424124e-08,0.0665010144714538,2.49027237354087e-09,1.82182149760273,85.2579040731237,8.57314579769936,0.997575894417453,4,138.08835810567,0.0712384432145912,0,,21,0,2,1,0,1,2.93811624768457,dielectric,0.00176662147447332,0.00064725933072312,0.366382578314398,0,B,1,31.6919067778889,31.6919067778889,glass,1.02057293119162,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
196,C,2.5,2,2.7,4.05555555555556,1.78571428571429,0.2,1,2.95223160571231,32.1328585993789,32.1328585993789,10.7011044379533,35.8811076027709,0.805498466078117,drywall,patch_ffd,drywall,17,7.96887159533074e-09,0.518179588991975,leading_edge,1,1,R,1,1,2,2.29735949537288,3.3414203429666,2.43798541017463,0.00863196671009825,0.00847294666575729,0.312420206120188,9.60969818225483e-08,3.8160312653315e-08,1.69338521400778e-08,0.0443666018287857,7.4708171206226e-09,1.63738262926583,55.3367788497361,6.72457689649156,0.891236791443354,4,89.2379033938065,0.0464263826627341,0,,19,0,2,1,1,0,2.95223160571231,dielectric,0.0017581748151518,0.000564022548338655,0.320800038470554,0,C,1,32.1328585993789,32.1328585993789,drywall,0.805498466078117,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
197,C,2.5,2,2.7,4.54615357875792,0.701149089951037,0.65,2,3.17431223328753,49.773627389368,49.773627389368,29.5108664059908,21.4694135258164,1.08691248271878,brick,patch_ffd,brick,17,7.96887159533074e-09,0.954429175133964,leading_edge,1,1,R,1,1,2,2.47327016070226,2.85911388103381,0.886608121040133,0.00578585281646671,0.01629909354266,0.420702490055435,1.57899561948497e-08,1.21271150567028e-08,2.0420233463035e-08,0.0917854343368,7.4708171206226e-09,1.62114474913298,50.1332168685391,6.59002387116808,0.998425212383758,4,94.6686974830346,0.101061398712292,0,,13,0,2,1,1,0,3.17431223328753,dielectric,0.00163516972376812,0.000533611862467248,0.326334235957831,0,C,2,49.773627389368,49.773627389368,brick,1.08691248271878,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
198,C,2.5,2,2.7,0.424857223790068,2.01081454147153,1.2,2,2.56053402554301,54.1393921089553,54.1393921089553,25.8910906199676,35.1754658922887,0.949705677119704,drywall,patch_ffd,drywall,14,6.47470817120623e-09,6.3241402223702,leading_edge,1,1,R,1,1,2,1.77029273813699,0.995562486520926,1.02569710706929,0.0526802484498384,0.019602105251024,0.371780580866915,1.34448522317745e-08,3.41868407921644e-09,4.98054474708171e-09,0.135684391429976,2.98832684824904e-09,1.71899630178336,100.343288929386,9.52184815867353,0.998430268333428,2,145.788218219661,0.156984775103692,0,,21,0,2,1,1,0,2.56053402554301,dielectric,0.00202713153032902,0.000462130961947556,0.227972854762191,0,C,2,54.1393921089553,54.1393921089553,drywall,0.949705677119704,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
199,C,2.5,2,2.7,1.38888888888889,0.5,0.2,1,3.1200269071331,36.7479575427555,36.7479575427555,12.5019015637996,23.0492773910146,1.16722239801212,concrete,patch_ffd,concrete,20,9.46303501945525e-09,1.55376204652371,leading_edge,1,1,R,1,1,2,1.9414929315627,2.47368620550724,1.05269650070144,0.000486842395279963,0.0167608412187858,0.408424151963996,9.88878549953435e-08,3.72650943562969e-08,6.47470817120623e-09,0.127199692409909,9.46303501945529e-09,1.63032686576979,69.9051706939691,7.73482009912518,0.870570896373585,4,103.291859207541,0.14573745140068,0,,16,1,2,0,0,1,3.1200269071331,dielectric,0,0.000626917695936905,626917695.936905,1,C,1,36.7479575427555,36.7479575427555,concrete,1.16722239801212,1,0,1,0,0,0,1,0,mixed_0p33_primary_with_dual_aux
200,A,2.5,2,2.7,4.51337714872049,2.52371514666525,1.2,2,2.56475439327755,54.2075126439226,54.2075126439226,12.7448669450308,32.3800623793594,1.02144707234197,wood,patch_ffd,wood,15,6.9727626459144e-09,5.77439150239191,leading_edge,1,1,R,1,1,2,0.698110747897497,-6.10031169871859,1.13679929435911,0.0583740002966114,0.0141824703535321,0.328885831637469,4.5999439817154e-08,9.6969356801742e-09,1.09571984435798e-08,0.121936019861544,3.48638132295721e-09,1.64445212209155,87.9113019797253,8.77929292802936,0.977829516593006,3,134.789067879733,0.138869174251194,0,,21,0,2,1,1,0,2.56475439327755,dielectric,0.00202379583451086,0.000479757685854152,0.237058342384673,0,A,2,54.2075126439226,54.2075126439226,wood,1.02144707234197,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
201,C,2.5,2,2.7,0.5,3.07142857142857,0.2,1,3.37608637088471,42.2257715803606,42.2257715803606,12.3158459666515,39.8337365423374,1.05657110753789,wood,patch_ffd,wood,23,1.09571984435798e-08,0.398639829675927,leading_edge,1,1,R,1,1,2,1.93680062311138,1.60279615211441,0.98503276122815,0.00317971443124876,0.0132632629089134,0.454620899014096,6.1891610245157e-08,1.93044499506636e-08,1.59377431906615e-08,0.086053020909111,3.48638132295721e-09,1.64028131794918,41.2975136836096,6.0662532974582,0.954039371085759,2,65.9697290261084,0.0941553753968405,0,,11,1,2,0,0,1,3.37608637088471,dielectric,0,0.000590857288257443,590857288.257443,1,C,1,42.2257715803606,42.2257715803606,wood,1.05657110753789,1,0,1,0,0,0,1,0,mixed_0p33_primary_with_dual_aux
