case_id,room_type,is_nlos,gamma_cp_3_fp_only,ar_db_at_los,xpd_db_at_los
162,C,1,1.2056629410396,15.9534151423326,-2.79183770839476
163,C,1,1.01585887542196,14.5825942998784,-3.27968373024694
164,C,1,1.28681134444848,4.71425874318821,11.5382496579908
165,A,1,1.02146929461895,10.1180332874806,5.60613017638411
166,B,1,0.400003387379658,11.8001981692647,-4.56755637457331
167,A,1,0.729221422360908,1.05029090616545,24.381268293097
168,B,1,0.887271526003281,16.4382511294974,2.63786059444968
169,B,1,3.06894899209428,1.36022067745806,22.1424242672012
170,A,1,0.665940864726544,7.54984092800927,7.76210345451978
171,A,1,0.70825321582192,10.6646781281186,-5.24228076442551
172,B,1,0.509946465189798,1.26975578937494,22.7379311462814
173,C,1,0.753713002146289,7.94515880362635,-7.37254159009578
174,B,1,2.72695519045555,1.62680092050526,20.5955366532028
175,C,1,1.20255094226336,1.68937628933798,-20.2696794003999
176,C,1,1.06999427309891,7.49876008886985,7.81429358700904
177,B,0,0.313006473451944,6.80942746691944,8.56424543756025
178,B,1,0.0769192953061466,19.6170838165776,-1.82212735535538
179,A,1,1.48650599722698,7.83453591255258,-7.47906317385162
180,A,0,2.26514462864518,14.8182163678821,3.18989695657627
181,B,1,2.04176039575828,1.64022162837273,20.5245930877873
182,A,1,2.54232385281041,2.90902421412941,15.6026016116388
183,C,1,0.604165194016907,11.6521776917409,-4.64983049057661
184,B,1,1.05238400979523,16.6454324940862,2.57475925487619
185,A,1,0.258720755032559,8.92300402548302,-6.50674909240366
186,A,1,1.52536139530488,3.37237280516624,-14.3463378315451
187,C,1,2.77961103662257,2.10246784832511,18.3845639389031
188,B,1,2.882194381891,22.6114076163075,1.28845503712028
189,C,1,3.1123171697256,7.0788033225085,-8.26064551628784
190,A,1,1.34567947701487,15.2208085911973,3.04237355071946
191,C,1,1.67101705018186,48.2535088612113,-0.0671693311648918
192,A,1,0.690160436299482,1.46700160276363,21.4888874097376
193,A,1,1.24621386259247,15.93241881364,2.79871193822463
194,A,1,0.174107273102207,8.25857205399887,7.08068682256256
195,B,1,0.983890183984994,5.84036315371804,9.78697668497008
196,C,1,2.43798541017463,11.7795918377552,-4.57891414368856
197,C,1,0.886608121040133,8.18932281048831,7.14394250219503
198,C,1,1.02569710706929,9.1245333758222,6.34370830099893
199,C,1,1.05269650070144,2.90017321881674,-15.6285826393588
200,A,1,1.13679929435911,5.75006008638055,-9.91278252313178
201,C,1,0.98503276122815,12.2345421845398,4.33514651904005
202,B,1,1.12654476612495,12.2345421845398,4.33514651904005
203,B,1,0.67653259728962,5.88507897602384,9.72550303623913
204,C,0,1.07492447987475,10.2267085616743,5.53158294683745
205,B,1,1.07178806275925,4.70716130095076,-11.5507161636177
206,C,1,1.24370316377328,13.7060510695029,3.63768778379196
207,B,1,0.663134711913569,3.43230140535571,14.1971845373147
208,A,1,1.50398114057574,24.5619293077331,-1.02862003472481
209,C,0,1.03727444119491,5.84036315371784,9.78697668497036
210,B,1,1.05876611736786,24.6632025596668,-1.01666906646565
211,B,1,1.0106006748019,12.564470817386,-4.16716703274428
212,C,1,1.43882687151828,13.3250326481249,3.80596316556362
213,B,1,0.144849026591177,7.89580826601998,7.41982989722416
214,B,1,3.73464427527628,1.99087339735405,-18.85392404508
215,A,1,1.56101578312896,4.0737176787307,-12.7542714695105
216,A,1,0.325835804432178,1.57773364266113,20.860048530368
217,C,1,0.0515708536239015,12.7260599723524,4.0874642348939
218,C,1,0.822681649694637,7.50561668560034,7.80726255319021
219,B,1,0.884130898350515,19.2822371131692,1.89430126939042
220,B,1,1.54028013212923,8.80550023692565,-6.60409166435193
221,B,1,0.352569754314601,7.94053085042633,-7.3769603664196
222,B,1,1.24448273100155,15.2208085911973,3.04237355071946
223,C,1,0.187037976037606,14.3505284521355,3.37070500570528
224,B,1,1.04901689772536,10.3895871472116,5.42194434055821
225,C,1,0.649718411205315,3.22518827459064,14.724786014966
226,C,1,0.479111369948071,9.09955698090206,6.36365186799922
227,C,1,1.33499429724805,13.1093992428827,3.90484471921941
228,A,1,1.35843393427279,2.48452645559391,16.9509556721952
229,B,1,0.583056133363871,2.68631700902578,16.2825910229987
230,B,1,0.0508875217377615,12.7260599723524,4.0874642348939
231,C,1,0.710716645800467,7.19123710626638,-8.13803215712228
232,B,1,0.383618248298226,9.67197744006373,5.92433384033048
233,C,1,0.82494127452846,16.2278012325873,2.70359053110734
234,B,1,1.32987864255418,13.0652105487104,3.92544397137358
235,A,1,0.520056588394104,19.1136802234162,1.93172452375961
236,B,1,0.555441518076755,7.22493517850493,8.10173694113946
237,A,1,0.201790210900274,16.0091117389273,2.77368702001437
238,B,1,0.0404050329840329,15.9845204025909,2.78168587894732
239,A,1,0.681139085481868,12.651706406304,4.12393336431471
240,B,1,0.534218343192383,16.0091117389273,2.77368702001437
241,C,1,1.41490068230728,15.2732923482655,3.02367210755777
242,B,1,1.80406142537161,2.13424049078195,-18.2555666695873
243,A,1,0.57540470673175,1.58901760918924,20.7984895623198
244,C,0,2.14409277749628,6.13022768096793,-9.39777468394982
245,C,1,1.28128977533431,1.39195043463907,21.9429716633771
246,A,1,0.711781456691412,10.9432870069555,5.0670794925121
247,B,1,1.53713572143023,18.0140465196588,2.1950516559704
248,B,1,3.45090950813201,7.22160665922716,-8.10531279209945
249,C,0,1.72608964146119,16.5174680927569,2.61354745991255
250,B,1,1.26900312396143,9.28088535004428,-6.22051045210906
251,B,1,0.658703497651791,2.37854852746051,17.3246881168982
252,A,1,0.37645973072018,6.15392763808977,9.36689747075229
253,C,1,1.01642237856786,19.9964501358783,-1.74372080817313
254,A,0,0.605874411938608,5.15867429980727,10.7963147963489
255,A,1,0.77599532883339,8.59210382801594,6.78533172034359
256,C,1,1.75494922240623,1.12679015605477,-23.7721944371607
257,A,1,1.40463434299781,3.7602211509439,13.4268081050815
258,C,1,0.563809573657864,13.5212750019367,3.71828600645226
259,A,1,0.984538105710496,2.75266961304781,-16.0740777146467
260,B,1,0.681939400428391,1.46700160276363,21.4888874097376
261,C,1,1.55211467769044,15.2815980144579,3.02072354142064
262,C,1,1.35331574147059,32.317197542376,0.420793821108989
263,A,1,0.71199869248107,3.88576165218456,13.1505578791153
264,B,1,1.65523813386075,0.754338710159366,27.2510150586094
265,C,1,0.493188448121648,31.0799779316601,0.485241947136093
266,C,1,0.555503444333787,1.03988084440908,24.4675804296571
267,B,1,0.784096683150947,3.82286713336143,13.2877501333595
268,B,1,0.579773224219343,2.75446815840942,16.0684982876235
