case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results
505,C,2.5,2,2.7,1.38888888888889,3.07142857142857,1.2,1,2.15233061700754,45.8196691153216,45.8196691153216,27.4257831456383,21.9770727983149,0.829126681321409,brick,patch_ffd,brick,11,4.98054474708171e-09,1.33011238742795,leading_edge,1,1,R,1,1,2,0.733009241361603,-5.49794893187391,0.719043847499504,0.000154029195176708,0.0222190426263588,0.447883596267961,1.60059782620344e-08,6.73496024625095e-09,1.59377431906615e-08,0.149563892434561,1.49416342412452e-09,1.63953985759486,65.8095822985356,7.56150258093679,0.997825524757267,5,113.864447554828,0.17586728868171,0,,21,0,2,1,1,0,2.15233061700754,dielectric,0.00241159012311739,0.000450900414889785,0.186972243155035,0,C,1,45.8196691153216,45.8196691153216,brick,0.829126681321409
506,B,2.5,2,2.7,1.38888888888889,2.21428571428571,1.2,1,1.87895882567488,37.030554763267,37.030554763267,18.6604417499653,20.133094069628,1.09738201727729,brick,patch_ffd,brick,9,3.98443579766537e-09,0.80314526319641,leading_edge,1,1,R,1,1,2,3.15834420596493,6.945999640589,1.66820431476032,0.000530717351597154,0.00896519441776557,0.350212913914737,6.24106522674738e-08,2.25793081171976e-08,2.63968871595331e-08,0.0575453773837266,1.49416342412452e-09,1.63149822335614,40.5306921835334,5.87270969340343,0.958759062314637,4,75.1429972429374,0.061059043059261,0,,20,0,2,1,1,0,1.87895882567488,dielectric,0.00276245502920705,0.000546352286891889,0.197777803119103,0,B,1,37.030554763267,37.030554763267,brick,1.09738201727729
507,A,2.5,2,2.7,2.5,3.7,1.2,2,2.26715680975093,48.5763343749974,48.5763343749974,35.3928289479115,22.7415315152492,1.1297477903577,drywall,patch_ffd,drywall,11,4.98054474708171e-09,1.9454229067024,leading_edge,1,1,R,1,1,2,1.06516082804727,-1.00421463921944,0.659248707697714,0.0165391777623219,0.0119522737545428,0.325060304096401,7.64711989176798e-09,6.49558999079558e-09,1.84280155642023e-08,0.098087067139177,9.96108949416347e-10,1.68100480474271,62.0801948247196,7.2026887032933,0.999771443111373,3,116.282877915037,0.108754474589969,0,,23,0,2,1,0,1,2.26715680975093,dielectric,0.00228944872067706,0.000524038637909564,0.228892935306536,0,A,2,48.5763343749974,48.5763343749974,drywall,1.1297477903577
508,A,2.5,2,2.7,0.705052042552556,0.321026701528749,1.2,2,2.87937311005784,58.6042224212214,58.6042224212214,11.735183195102,22.1903563398662,0.882578111460691,glass,patch_ffd,glass,15,6.9727626459144e-09,4.05180596018979,leading_edge,1,1,R,1,1,2,0.366603779621162,-8.77347568102565,0.383288652035626,0.00643822150216755,0.0190215623709318,0.348977192260536,4.87631124719971e-08,1.00272321178587e-08,4.98054474708171e-09,0.150483573182661,9.96108949416347e-10,1.66445427030195,117.094525033397,10.4209834660445,0.972097284826805,1,160.562903124309,0.177140274669483,0,,17,0,2,1,0,1,2.87937311005784,dielectric,0.00180266296143686,0.000529169833134466,0.29354895754483,0,A,2,58.6042224212214,58.6042224212214,glass,0.882578111460691
509,A,2.5,2,2.7,0.540662103669481,3.17593042179272,1.2,2,2.73346252011885,56.7183880925348,56.7183880925348,18.8664086154893,23.0805617394047,1.16777354742227,brick,patch_ffd,brick,18,8.46692607003891e-09,1.81819495405726,leading_edge,1,1,R,1,1,2,1.13479023835114,-0.259863765382828,1.23584919402665,0.00228570430074482,0.00809758582691655,0.317654435515497,3.08442381880387e-08,1.16935997859062e-08,1.4443579766537e-08,0.043105676921378,2.49027237354087e-09,1.68130459313458,46.1574855007123,6.38462011777839,0.989649956083454,4,82.4971274461651,0.0450474789971517,0,,21,0,2,1,0,1,2.73346252011885,dielectric,0.00189888802917731,0.000537243390482263,0.282925260587915,0,A,2,56.7183880925348,56.7183880925348,brick,1.16777354742227
510,C,2.5,2,2.7,2.86107768272216,3.55916523047564,0.65,2,2.60074476042617,37.9790559720387,37.9790559720387,12.136788864193,32.3779718395288,1.17978818015176,drywall,patch_ffd,drywall,14,6.47470817120623e-09,2.94164107374695,leading_edge,1,1,R,1,1,2,0.756617783842078,-3.43430285860494,0.679294156735312,0.113791499377589,0.0197690668092684,0.378356607345102,5.5692745496394e-08,1.28418568387861e-08,4.98054474708171e-09,0.146983098523328,2.98832684824904e-09,1.65921860259483,97.5639352080751,9.21723439772509,0.968334945902897,4,141.963480588083,0.172309714225924,0,,22,0,2,1,0,1,2.60074476042617,dielectric,0.00199578956637329,0.000611677114555637,0.306483772067797,0,C,2,37.9790559720387,37.9790559720387,drywall,1.17978818015176
511,B,2.5,2,2.7,0.317533983615809,2.02940326251242,0.2,2,3.3187380831452,41.1230932852082,41.1230932852082,20.4358366030781,36.8728539562331,0.836167006808749,glass,patch_ffd,glass,21,9.96108949416342e-09,4.02422110575758,leading_edge,1,1,R,1,1,2,0.897229367194352,-1.21102718948493,1.69966764699791,0.0118359149104151,0.0115580899328292,0.309075324679083,2.08467457285535e-08,5.39726515746963e-09,9.96108949416342e-09,0.0924771601407746,1.49416342412452e-09,1.71289565173081,76.3000156415906,8.14688347156042,0.994768121488315,3,124.379989481413,0.101900642142648,0,,18,0,2,1,0,1,3.3187380831452,dielectric,0.00156400991208665,0.000540073936916824,0.345313627965615,0,B,2,41.1230932852082,41.1230932852082,glass,0.836167006808749
512,A,2.5,2,2.7,4.69392100839214,2.50915303567509,0.2,2,3.36489616553045,42.0153976804506,42.0153976804506,17.6669688994603,32.3082568459993,1.19394101765652,glass,patch_ffd,glass,19,8.96498054474708e-09,4.93992645187175,leading_edge,1,1,R,1,1,2,0.894177779118864,-1.70917866632009,0.581893467325735,0.0300125695134639,0.0292385674104989,0.446017642681942,3.10829289498603e-08,5.84971541259416e-09,4.48249027237354e-09,0.196756477869401,1.49416342412452e-09,1.64150107991369,102.484792688184,9.55083278614486,0.988899045159609,2,151.093272813585,0.244952461424781,0,,16,0,2,1,0,1,3.36489616553045,dielectric,0.00154255555069715,0.000632335457282746,0.409927186736949,0,A,2,42.0153976804506,42.0153976804506,glass,1.19394101765652
513,B,2.5,2,2.7,0.322116630694535,3.5539647923216,1.2,2,3.06724347681635,60.722598648605,60.722598648605,28.8749553819447,37.7674959351943,0.904728848072447,glass,patch_ffd,glass,29,1.39455252918288e-08,1.89435675310263,leading_edge,1,1,R,1,1,2,1.2270621409817,-0.902429979585623,0.293190256656602,0.270093848344829,0.0123021772061448,0.326322243275107,1.0847553677545e-08,7.04164152154913e-09,9.96108949416342e-09,0.0533654209393767,7.4708171206226e-09,2.3698277630343,70.2325237076267,7.84591124509328,0.998862042065563,3,118.763158054004,0.0563738343388353,0,,19,0,2,1,0,1,3.06724347681635,dielectric,0.00169224885369911,0.000590962671535993,0.349217356681436,0,B,2,60.722598648605,60.722598648605,glass,0.904728848072447
514,C,2.5,2,2.7,0.431881686044365,2.72206806626343,0.65,2,3.00016593755014,46.8982920894983,46.8982920894983,14.023484152114,27.9841531649544,0.802904540269087,glass,patch_ffd,glass,29,1.39455252918288e-08,1.75825422032062,leading_edge,1,1,R,1,1,2,1.08636803790856,-3.83145080127809,0.794194494097453,0.148879229797259,0.0167267871547884,0.429859366620983,4.86265996491004e-08,1.09072413408197e-08,7.96887159533074e-09,0.115437710625599,8.96498054474712e-09,1.6119171354774,63.9280947218752,7.65775838337817,0.973151071362052,3,93.0578161430976,0.13050263617641,0,,14,1,2,0,0,1,3.00016593755014,dielectric,0,0.000539982214291736,539982214.291736,1,C,2,46.8982920894983,46.8982920894983,glass,0.802904540269087
515,B,2.5,2,2.7,4.05555555555556,2.21428571428571,1.2,1,2.17155968229443,46.3106697646876,46.3106697646876,17.8255868542432,38.2004371499732,1.17176209964565,brick,patch_ffd,brick,6,2.49027237354086e-09,3.7917264835867,leading_edge,1,1,R,1,1,2,1.51533480240086,-0.329247499965126,1.98805487585039,0.011793379041996,0.00995260648662647,0.302916025844983,5.96268243883666e-08,1.3935021069997e-08,1.39455252918288e-08,0.066196469107036,2.49027237354087e-09,1.7753300388112,64.7375732813368,7.38902732089697,0.973796372413895,4,111.50271618115,0.0708890756107279,0,,17,0,2,1,0,1,2.17155968229443,dielectric,0.00239023559885506,0.000630763346036348,0.263891704373614,0,B,1,46.3106697646876,46.3106697646876,brick,1.17176209964565
516,C,2.5,2,2.7,0.338433615215437,3.69499411657279,0.2,2,3.71421247252321,47.6939820346229,47.6939820346229,32.6049671572549,37.3188530342768,1.05278924373472,brick,patch_ffd,brick,27,1.29494163424125e-08,0.665419979689929,leading_edge,1,1,R,1,1,2,0.932867444619946,-2.11128489034623,0.258918294686971,0.0570928830798594,0.016875777029058,0.333670974405256,8.89672696058264e-09,9.04001772597116e-09,1.19533073929961e-08,0.079552927718693,1.99221789883269e-09,1.77066275946974,95.0308295222097,9.0735453148827,0.999193148547637,4,155.818864110771,0.0864285738032964,0,,10,1,2,0,0,1,3.71421247252321,dielectric,0,0.000455938924431061,455938924.431061,1,C,2,47.6939820346229,47.6939820346229,brick,1.05278924373472
