scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage
open_office,False,P0,10.0,343,9.389152917455192e-08,9.389152917971085e-08,5.158925876747053e-18,9.389152917455192e-10,0.5743440233236151,1.0,4.8224894357619656e-08,4.822489428134761e-08,-7.627204788246894e-17,-9.152646142942967e-17,4.8224894357619656e-08,0.052478134110787174,0.052478134110787174,0.0
open_office,False,P0,20.0,343,9.38914911122317e-07,9.389149111451763e-07,2.285934709866899e-17,9.38914911122317e-09,0.6355685131195336,1.0,4.822488720979045e-07,4.822488720597685e-07,-3.8135964384230364e-17,-9.000075524458865e-17,4.822488720979045e-07,0.052478134110787174,0.052478134110787174,0.0
open_office,False,P1,0.0,192,2.0070455936441487e-08,2.007045593580589e-08,-6.356004090372147e-19,2.0070455936441488e-10,0.5572916666666666,1.0,2.1518482640195025e-09,2.1518482617313406e-09,-2.288161899695211e-18,-7.627206117939729e-17,4.822489516813944e-09,0.3229166666666667,0.3229166666666667,0.0
open_office,False,P1,10.0,192,2.0070440321072658e-07,2.0070440320270213e-07,-8.024445845590196e-18,2.007044032107266e-09,0.5,1.0,2.151848230682106e-08,2.1518482323600913e-08,1.6779851725283248e-17,-9.152647052841641e-17,4.8224894357619656e-08,0.3229166666666667,0.3229166666666667,0.0
open_office,False,P1,20.0,192,2.007028409740067e-06,2.0070284097282307e-06,-1.183658860714449e-17,2.007028409740067e-08,0.6041666666666666,1.0,2.1518481011147248e-07,2.1518481006952288e-07,-4.194959788034484e-17,-1.0678072674562462e-16,4.822488720979045e-07,0.3229166666666667,0.3229166666666667,0.0
open_office,False,P2,0.0,192,2.3773347438083814e-08,2.3773347442533024e-08,4.449202991968945e-18,2.3773347438083813e-10,0.578125,1.0,2.104928428753165e-09,2.1049284257022825e-09,-3.0508823950635127e-18,-6.101765013465791e-17,4.822489516813944e-09,0.19270833333333334,0.19270833333333334,0.0
open_office,False,P2,10.0,192,2.3773341338971236e-07,2.3773341339201642e-07,2.3040577175126015e-18,2.377334133897124e-09,0.5364583333333334,1.0,2.104928418047044e-08,2.1049284163690586e-08,-1.6779855034005698e-17,-7.627206111735874e-17,4.8224894357619656e-08,0.19270833333333334,0.19270833333333334,0.0
open_office,False,P2,20.0,192,2.3773280304188713e-06,2.3773280304361126e-06,1.7240725743324824e-17,2.3773280304188712e-08,0.6197916666666666,1.0,2.104928279104132e-07,2.1049282790354874e-07,-6.864460883667257e-18,-1.1364510821995307e-16,4.822488720979045e-07,0.19270833333333334,0.19270833333333334,0.0
factory_lite,False,P0,0.0,340,5.8310274823540196e-08,5.831027482528997e-08,1.7497702442013905e-18,5.83102748235402e-10,0.5441176470588235,1.0,5.085498707495871e-10,5.085499279536317e-10,5.720404459724813e-17,-7.627206111735874e-17,5.085498707495871e-10,0.05,0.05,0.0
factory_lite,False,P0,10.0,340,5.831025427432151e-07,5.831025427279159e-07,-1.5299267473153303e-17,5.8310254274321505e-09,0.40588235294117647,1.0,5.085498767560279e-09,5.085498752305867e-09,-1.525441238890787e-17,-1.2203524087774783e-16,5.085498767560279e-09,0.05,0.05,0.0
factory_lite,False,P0,20.0,340,5.8310048781487626e-06,5.831004878065807e-06,-8.295621487898636e-17,5.8310048781487625e-08,0.38823529411764707,1.0,5.0854986512470044e-08,5.085498654069071e-08,2.822066287812053e-17,-5.491486544737922e-16,5.0854986512470044e-08,0.05,0.05,0.0
factory_lite,False,P1,0.0,192,5.033923272911263e-08,5.0339232731178335e-08,2.0656996000868695e-18,5.033923272911264e-10,0.5677083333333334,1.0,6.981955577595593e-10,6.981955386915444e-10,-1.9068014865749378e-17,-8.313655045603906e-17,5.085498707495871e-10,0.03125,0.03125,0.0
factory_lite,False,P1,10.0,192,5.033921754415518e-07,5.033921754546611e-07,1.310926238939769e-17,5.033921754415519e-09,0.578125,1.0,6.98195557228985e-09,6.981955621866687e-09,4.9576837575613586e-17,-9.15264455475619e-17,5.085498767560279e-09,0.03125,0.03125,0.0
factory_lite,False,P1,20.0,192,5.033906573423368e-06,5.03390657354707e-06,1.2370287493439546e-16,5.033906573423368e-08,0.6354166666666666,1.0,6.981955439299287e-08,6.981955441434906e-08,2.135618875956347e-17,-1.9830604071010856e-16,5.0854986512470044e-08,0.03125,0.03125,0.0
factory_lite,False,P2,0.0,192,9.716648209209503e-08,9.71664820930484e-08,9.53396187318288e-19,9.716648209209503e-10,0.53125,1.0,3.5135172583612555e-10,3.5135170753083123e-10,-1.8305294318682288e-17,-7.627206409520894e-17,5.085498707495871e-10,0.08333333333333333,0.08333333333333333,0.0
factory_lite,False,P2,10.0,192,9.716634382610963e-07,9.716634382823888e-07,2.1292449976184634e-17,9.716634382610964e-09,0.53125,1.0,3.513517008993574e-09,3.5135170532313686e-09,4.423779452162578e-17,-9.152627614097246e-17,5.085498767560279e-09,0.08333333333333333,0.08333333333333333,0.0
factory_lite,False,P2,20.0,192,9.716496122844909e-06,9.716496123010622e-06,1.657133515500654e-16,9.716496122844909e-08,0.515625,1.0,3.5135170038452475e-08,3.513516998811292e-08,-5.0339551867127294e-17,-3.477971491534781e-16,5.0854986512470044e-08,0.08333333333333333,0.08333333333333333,0.0
l_corridor_proxy,True,P1,0.0,12,1.5203093929917663e-08,1.520309394008727e-08,1.0169608328203631e-17,1.5203093929917662e-10,0.5833333333333334,1.0,3.5903855099715054e-09,3.590385480988123e-09,-2.898338254630822e-17,-5.949220405676054e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,10.0,12,1.5203093048159012e-07,1.5203093050955658e-07,2.7966434707116643e-17,1.5203093048159012e-09,0.75,1.0,3.5903854551049746e-08,3.5903854605202905e-08,5.415315889346217e-17,-6.101764856301474e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,20.0,12,1.520308407725117e-06,1.5203084077327438e-06,7.627156701480617e-18,1.520308407725117e-08,0.5833333333333334,1.0,3.590385044469306e-07,3.5903850445532054e-07,8.389914282113048e-18,-9.534002213365024e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,0.0,12,3.39547811355488e-08,3.3954781119023185e-08,-1.652561252520453e-17,3.39547811355488e-10,0.3333333333333333,1.0,9.108659896046647e-09,9.108659884605838e-09,-1.1440809498476056e-17,-6.788212466680527e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,10.0,12,3.395477558788879e-07,3.395477558801591e-07,1.2712155770014265e-18,3.395477558788879e-09,0.5,1.0,9.108659699552264e-08,9.108659704433676e-08,4.8814111703571303e-17,-5.2627731303051493e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,20.0,12,3.3954720196448506e-06,3.395472019682987e-06,3.81360085005297e-17,3.3954720196448505e-08,0.5833333333333334,1.0,9.108657406662472e-07,9.10865740743282e-07,7.703478781658163e-17,-1.883908000844918e-16,0.0,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,0.0,12,1.9899276588790886e-08,1.9899276581163682e-08,-7.627205470670899e-18,1.9899276588790887e-10,0.5,1.0,3.348719153460711e-09,3.348719149647108e-09,-3.813602890431814e-18,-7.322117946675778e-17,3.0214166391164595e-09,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,10.0,12,1.9899274410530593e-07,1.9899274410784835e-07,2.5424157132980854e-18,1.9899274410530594e-09,0.5833333333333334,1.0,3.348719127530175e-08,3.3487191285979835e-08,1.0678087762336835e-17,-8.161103220663325e-17,3.02141656785594e-08,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,20.0,12,1.989925273301658e-06,1.989925273286404e-06,-1.5254225170362563e-17,1.989925273301658e-08,0.4166666666666667,1.0,3.348718787384115e-07,3.348718786720549e-07,-6.635661402746109e-17,-1.2584868776191612e-16,3.0214163487742224e-07,0.0,0.0,0.0
lobby_blocker_proxy,True,P3,0.0,12,4.148616068261965e-09,4.148616053007552e-09,-1.5254411751289482e-17,4.148616068261965e-11,0.3333333333333333,1.0,1.677370445426371e-09,1.6773704492399742e-09,3.8136030972269675e-18,-6.483125070898401e-17,3.0214166391164595e-09,0.5833333333333334,0.5833333333333334,0.0
