case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results
120,C,2.5,2,2.7,3.03734500966213,3.66435964357124,1.2,2,2.30409042412779,49.3817434181677,49.3817434181677,20.5863336704105,21.3171083628757,0.86090601049577,wood,patch_ffd,wood,12,5.47859922178988e-09,3.5449855272913,leading_edge,1,1,R,1,1,2,3.5219265084275,10.4958874340995,3.5783080718304,0.00268493213231202,0.0224450693663122,0.392433979349392,5.82133072078644e-08,1.30420015306906e-08,4.98054474708171e-09,0.158801103805344,1.49416342412452e-09,1.66293547678672,109.12124113259,10.0089823315212,0.961737315219551,2,149.823817315144,0.188779496173515,-10.9214811642784,-9.47827842625611,-9.74157045279512,-0.850340739644286,-0.79732559096152,-0.808103824413476,0,-11.0735545621676,0.158801103805342,0.208374508270126,0.0495734044647841,0.715158630454851,12.3636902604376,46.936699044728,-2.60583698441176e-10,0.053049286326173,0,,20,0,2,1,0,1,2.30409042412779,dielectric,0.00225274980673703,0.000453002602862241,0.201088732316167,0,C,2,49.3817434181677,49.3817434181677,wood,0.86090601049577
121,A,2.5,2,2.7,2.5,3.2,0.65,2,2.37539470404394,30.3432488842396,30.3432488842396,20.4027957905823,23.7633046408035,1.12242526618604,brick,patch_ffd,brick,12,5.47859922178988e-09,2.63087703488326,leading_edge,1,1,R,1,1,2,10.6945202058129,16.4898480192643,8.58738821523639,0.000119246652025229,0.00775853322315509,0.341726953529514,1.00800270761873e-07,3.88811025370286e-08,1.34474708171206e-08,0.0593894724372166,5.47859922178991e-09,1.67696787862863,54.7462142561346,6.96195599853985,0.872099178534237,5,68.2989880560819,0.0631392810275053,-18.7950295403596,-14.1353093113669,-14.6011908259879,-0.973948492333225,-0.92568865190721,-0.932994338439913,0,-18.6772219350948,0.059389472437216,0.155988771887336,0.0965992994501201,0.815226829365439,75.7709886729735,409.720310178075,-3.47115327287223e-09,0.497525934623599,0,,23,0,2,1,0,1,2.37539470404394,dielectric,0.00218512706491347,0.000623805910401808,0.285478094348948,0,A,2,30.3432488842396,30.3432488842396,brick,1.12242526618604
122,C,2.5,2,2.7,3.61111111111111,0.5,1.2,1,2.3946957846947,51.2161315007703,51.2161315007703,11.0425108767203,36.1308626056925,1.163026166564,drywall,patch_ffd,drywall,13,5.97665369649805e-09,2.88865681028015,leading_edge,1,1,R,1,1,2,4.37221747470608,10.1299314360773,4.20427335761263,0.0137102361972233,0.0173865267997138,0.444120991342918,1.51807744525492e-07,9.09921891406294e-08,5.47859922178988e-09,0.11130233937986,4.48249027237356e-09,1.65640436320909,77.6376992043046,7.89414785192877,0.693595180649868,16,90.6156787534889,0.125242075355743,-12.264241656901,-7.91637022654278,-8.67560580464771,-0.887912374894372,-0.721806311472289,-0.761096470369612,-4.98054474708173e-10,-8.89809206683742,0.111302339379859,0.142543821646181,0.0312414822663221,0.655343529354523,16.8431829393759,49.2915134130143,5.99767969411523e-09,0.945693546996847,0,,19,0,2,1,0,1,2.3946957846947,dielectric,0.00216751509349664,0.000509502208196371,0.235062819043369,0,C,1,51.2161315007703,51.2161315007703,drywall,1.163026166564
123,B,2.5,2,2.7,4.37095776319759,3.48693351771264,0.2,2,3.45853353862105,43.709737418098,43.709737418098,39.1165702665325,26.6409523977817,0.942236519577902,concrete,patch_ffd,concrete,20,9.46303501945525e-09,4.44513443207281,leading_edge,1,1,R,1,1,2,3.30828562836789,6.7239490454416,2.73079137317497,0.0308341801095549,0.0235502382176935,0.427109609715067,5.69551606460402e-09,3.23162932667031e-09,5.47859922178988e-09,0.147635206692148,1.49416342412452e-09,1.665196051003,90.7648327241923,9.05827813934956,0.999711199150874,2,132.711859191915,0.173206598690224,-8.92668229823581,-7.2286281493922,-7.52295598840129,-0.772993212316253,-0.68166975809525,-0.699393507723132,0,-8.72577044409839,0.147635206692147,0.203968248885934,0.0563330421937865,0.675843388886644,7.81030924408414,30.4570455772694,-1.37739319985128e-09,0.254458291472956,0,,20,0,2,1,0,1,3.45853353862105,dielectric,0.00150079193961729,0.000548949535987261,0.365773243776379,0,B,2,43.709737418098,43.709737418098,concrete,0.942236519577902
124,C,2.5,2,2.7,4.05555555555556,1.35714285714286,0.2,1,3.01380463742131,33.9509201057552,33.9509201057552,23.1164064477089,23.8234612324855,1.15192762302725,drywall,patch_ffd,drywall,22,1.04591439688716e-08,2.08628406283412,leading_edge,1,1,R,1,1,2,10.8367664455164,17.6505844744513,23.4643860702738,0.0880405197470526,0.0107529229915095,0.302348583621899,8.39059924381767e-08,2.76417832464459e-08,6.47470817120623e-09,0.0626595574952623,5.97665369649808e-09,2.59167427317697,87.1473914818475,8.72593105324092,0.911720376118683,2,120.921568898746,0.0668482385416178,-26.1498058605726,-5.46555810010768,-15.8358668518413,-0.995158312268639,-0.557532554727891,-0.949153694758961,-2.98832684824904e-09,-17.3243956819214,0.0626595574952606,0.12959208117677,0.0669325236815097,0.0819992714104857,412.079097820625,51.4746337678891,-4.73341387195094e-09,0.181562675271707,0,,21,0,2,1,0,1,3.01380463742131,dielectric,0.00172225471857383,0.000672241841428209,0.390326607428245,0,C,1,33.9509201057552,33.9509201057552,drywall,1.15192762302725
125,B,2.5,2,2.7,0.5,0.5,1.2,1,2.91547594742265,59.0362434679265,59.0362434679265,10.9861693343967,31.2469334686197,1.14338006812803,concrete,patch_ffd,concrete,19,8.96498054474708e-09,1.82593158987743,leading_edge,1,1,R,1,1,2,4.12550778590177,9.51290482459072,10.8722705608473,0.0917253106748243,0.00726124736913486,0.30628727289122,1.30138786060181e-07,6.63669840474993e-08,1.29494163424124e-08,0.0524445346865371,8.96498054474712e-09,1.78107735608148,52.063234824387,6.35004128669512,0.780857601935444,14,79.5694662391021,0.0553471924402734,-18.6961960027409,-4.44778420585054,-8.28043624874522,-0.97335682231106,-0.471556535402013,-0.741282601393781,-1.49416342412452e-09,-13.5622829011097,0.0524445346865358,0.177430185591052,0.124985650904516,0.337406057239208,74.0661209916348,49.7344132150277,-7.54492945560984e-09,0.891234578057071,0,,18,0,2,1,0,1,2.91547594742265,dielectric,0.00178034027763017,0.000612612261391073,0.344098411460154,0,B,1,59.0362434679265,59.0362434679265,concrete,1.14338006812803
126,B,2.5,2,2.7,4.5,0.5,0.2,1,3.53553390593274,45,45,11.0279732201479,29.7778829943481,0.86211692762118,concrete,patch_ffd,concrete,23,1.09571984435798e-08,2.66382597158704,leading_edge,1,1,R,1,1,2,4.18346570719413,9.2900124769424,9.7018062687525,0.0941270103014681,0.00882315230353019,0.310344248714069,1.47047042777566e-07,8.67446985152004e-08,1.19533073929961e-08,0.0698803168108853,1.09571984435798e-08,1.77141797941444,75.950342687363,7.72686045556642,0.71820486381471,13,94.1736683242161,0.0751304569442995,-17.3931202168462,-5.33316311469695,-8.57496682235003,-0.964200756261879,-0.546938840294218,-0.75617851230932,-1.49416342412452e-09,-12.1917928083444,0.0698803168108844,0.152380747493342,0.0825004306824575,0.385298647244053,54.8671019597583,45.2272975046659,6.28913811084146e-09,0.973864363187372,0,,18,0,2,1,0,1,3.53553390593274,dielectric,0.00146810620284214,0.000515417592670757,0.351076503643231,0,B,1,45,45,concrete,0.86211692762118
127,A,2.5,2,2.7,4.5,0.5,0.2,1,3.53553390593274,45,45,22.9588957434579,39.9167528562689,1.12805354209768,drywall,patch_ffd,drywall,23,1.09571984435798e-08,2.17710852316086,leading_edge,1,1,R,1,1,2,4.57792368521465,12.1614704078446,10.9458850918544,0.104368731482248,0.0153868145505929,0.3374096314828,5.79208667795127e-08,1.40216917277129e-08,4.98054474708171e-09,0.117102348623814,2.98832684824904e-09,1.76208020417269,95.4366136797821,9.13520047266676,0.959928409612818,2,138.939868370116,0.132634114997683,-18.6007463425067,-8.548756692157,-11.8322221900582,-0.97277283366498,-0.754883463028277,-0.876910410274486,-1.49416342412452e-09,-13.4717954720017,0.11710234862381,0.164268305795135,0.0471659571713249,0.386124615170297,72.456046633371,53.5760331404299,-1.69087155235306e-09,0.0503430744962263,0,,18,0,2,1,0,1,3.53553390593274,dielectric,0.00146810620284214,0.000588130606077196,0.400604945976403,0,A,1,45,45,drywall,1.12805354209768
128,C,2.5,2,2.7,3.26502137503149,0.381776447967819,0.65,2,2.72147114050594,41.1256472060417,41.1256472060417,27.1172559730299,32.8243958017036,0.911976091832199,brick,patch_ffd,brick,18,8.46692607003891e-09,1.94676534414259,leading_edge,1,1,R,1,1,2,0.660046654783046,-5.58878558549676,0.398095173768641,0.0105970980812102,0.0174701656499408,0.372617469670453,9.99831002294435e-09,4.14771210960844e-09,9.46303501945525e-09,0.131721275704088,9.96108949416347e-10,1.66235924545275,75.8009794916368,8.0938809145377,0.999104517877783,3,129.349189829217,0.151703907994406,8.13155218792375,3.98959707050536,4.35621106418199,0.733462014721748,0.429529289992184,0.463317476642477,0,8.00026174937206,0.131721275704083,0.0552232313854534,-0.0764980443186298,0.253465972272544,0.153760499517621,2.62999650721009,8.11211225352499e-09,0.934662366961809,0,,15,1,2,0,0,1,2.72147114050594,dielectric,0,0.000524808279294458,524808279.294458,1,C,2,41.1256472060417,41.1256472060417,brick,0.911976091832199
129,C,2.5,2,2.7,2.27777777777778,2.64285714285714,0.2,1,2.59087784779056,15.2202177920417,15.2202177920417,32.9189617040256,23.6003213375862,1.14120789008971,drywall,patch_ffd,drywall,13,5.97665369649805e-09,2.62920988608093,leading_edge,1,1,R,1,1,2,15.377139264321,19.4265634905434,8.44650076844959,0.00573871860364461,0.0138919718383985,0.354823884216533,4.22654409619043e-08,1.01444115160147e-08,9.96108949416342e-09,0.107350690201036,9.96108949416347e-10,1.67144836373389,66.0972404921386,7.60355306877402,0.978860134301932,3,113.430884186717,0.120260766487583,-19.262025734594,-18.7546884440749,-18.8114200886246,-0.976573340781746,-0.973708571536672,-0.974045353543844,4.98054474708173e-10,-22.7296723030722,0.107350690201034,0.228378925177655,0.121028234976621,0.86926161932207,84.3728216800749,623.965448526703,-2.76524733584112e-09,0.727462124126148,0,,14,0,2,1,0,1,2.59087784779056,dielectric,0.00200339018764814,0.000750795201936924,0.374762343634274,0,C,1,15.2202177920417,15.2202177920417,drywall,1.14120789008971
130,A,2.5,2,2.7,0.5,1.35714285714286,0.2,1,3.26546555733213,40.0407024618274,40.0407024618274,16.3922327586727,23.6125728331533,0.930824016545645,wood,patch_ffd,wood,18,8.46692607003891e-09,1.27490080185047,leading_edge,1,1,R,1,1,2,9.55462383925691,16.4331528941242,7.79366711837186,0.00287084606257415,0.0103425556807924,0.411247884069071,1.50162586496131e-07,1.01099124411483e-07,8.96498054474708e-09,0.0574697884363868,8.46692607003895e-09,1.60734780861099,48.6516954134281,6.08514143075105,0.664047997171158,37,62.8656817172806,0.0609739483480822,-19.5382354964241,-15.3541310140801,-15.7340681026792,-0.978000999125013,-0.943357856616509,-0.947979144195235,0,-17.8348370469737,0.0574697884363846,0.13799277164961,0.0805229832132258,0.839221476940744,89.9132197123277,561.422087011775,3.39447435774559e-09,0.83563809634972,0,,21,0,2,1,0,1,3.26546555733213,dielectric,0.00158952503602555,0.000569510153739752,0.358289514686574,0,A,1,40.0407024618274,40.0407024618274,wood,0.930824016545645
131,B,2.5,2,2.7,4.5,0.928571428571429,0.2,1,3.37608637088471,42.2257715803606,42.2257715803606,27.6811301823076,32.3578137370406,1.04309379115339,wood,patch_ffd,wood,21,9.96108949416342e-09,1.63402941535777,leading_edge,1,1,R,1,1,2,10.4123795373772,15.1797564754297,12.1251589922853,0.00155933773584527,0.0164121069883192,0.386784076226545,4.45147693577547e-08,9.91501870364391e-09,6.47470817120622e-09,0.104391923588718,1.49416342412452e-09,1.6549520117293,81.5587072439153,8.62854049107056,0.976019540562094,3,112.776933618368,0.116559828275575,-20.5354247277523,-11.3593202160563,-13.8638512562896,-0.982474711205736,-0.863715169457782,-0.921084669331375,-9.96108949416347e-10,-16.1918369334133,0.104391923588713,0.198217278842008,0.0938253552532948,0.482661099799817,113.120801287691,117.177441970723,-2.6101446685541e-09,0.313855515538971,0,,21,0,2,1,0,1,3.37608637088471,dielectric,0.00153744267398537,0.00058736233335218,0.382038526242813,0,B,1,42.2257715803606,42.2257715803606,wood,1.04309379115339
132,C,2.5,2,2.7,0.411154193522982,0.543595241123042,0.2,2,3.56852793528593,45.5273282647673,45.5273282647673,29.2004947581305,37.7718954014499,0.931826214024853,drywall,patch_ffd,drywall,21,9.96108949416342e-09,0.50544774083613,leading_edge,1,1,R,1,1,2,25.688957525522,23.6025991744384,24.1147197543597,0.00144181849324199,0.00942680233529111,0.387456902656863,8.24937418768716e-08,2.86259985621494e-08,1.39455252918288e-08,0.0614155676313745,3.98443579766539e-09,1.67173455555511,45.8225057266162,6.35897590284069,0.920551598736553,3,64.5521498509013,0.0654342491877744,-27.3868892879458,-19.7860331955016,-20.9004307723043,-0.996356245453606,-0.979208386044945,-0.983876049464748,-4.98054474708173e-10,-23.9261680274938,0.0614155676313594,0.151713654008724,0.090298086377365,0.719528744814735,547.884392329711,1453.20946158121,-2.87852689906562e-09,0.697616577718501,0,,12,0,2,1,0,1,3.56852793528593,dielectric,0.00145453233147876,0.000533127638940918,0.366528558632251,0,C,2,45.5273282647673,45.5273282647673,drywall,0.931826214024853
133,C,2.5,2,2.7,1.83333333333333,0.5,0.2,1,2.99072640748773,33.2885231343062,33.2885231343062,23.4434773649945,39.2991437848384,1.08493905861511,glass,patch_ffd,glass,20,9.46303501945525e-09,3.48021223553864,leading_edge,1,1,R,1,1,2,0.344143389303687,-9.83505759410538,0.0879623802725394,0.0388440808300392,0.01445323981111,0.328860241451703,1.48969255324198e-08,4.35814342032321e-09,8.96498054474708e-09,0.1185321511296,9.96108949416347e-10,1.67885678273766,83.2672538302992,8.47569361279452,0.997619634157162,2,137.383817710307,0.134471326755138,23.1663714345478,9.09570309034451,9.61876442799163,0.990399296312209,0.780708174287745,0.803141829157786,2.49027237354087e-09,11.9512147258509,0.118532151129599,0.0532778085856387,-0.0652543425439603,0.0978474784569952,0.00482350637164698,0.915616435328849,1.26730517677467e-08,0.805184172402184,0,,15,1,2,0,0,1,2.99072640748773,dielectric,0,0.000645038787912165,645038787.912165,1,C,1,33.2885231343062,33.2885231343062,glass,1.08493905861511
