case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,slab_placement_results
1123,2.94199421431109,0.888957228177147,0.18998944199202,-0.31988634081935,4.36998983211175,0.0197592392196877,31.0558130835587,9.21392229464574,19.1865668620218,4.8287980939008,drywall,patch_ffd,ceiling,2.08647648573982,10.2717042936006,10.2717042936006,2.94199421431109,0.888957228177147,10.2717042936006,0,1,0,1,0,0.705127680215116,leading_edge,1,1,R,1,1,2,23.1613973003861,23.0361066679255,0.260655499625116,0.651698994494283,0.00107134623765981,0.337996907839166,1.49885182694935e-07,2.34048626545989e-07,5.11501945525292e-07,0.00341529661744971,0,1.5,4.00816829139695,0.835195379825335,0.144510086320102,89,9.64045449801411,0.00342700084183282,4.8973289988039,-22.196216573211,-22.1813878051822,0.51081052735059,-0.988010611287394,-0.98796985081127,4.48249027237356e-09,-34.4756181350905,0.00341529661744965,0.147130228320331,0.143714931702881,0.993978273646027,0.323792734956707,48384.6324377904,-5.30746805689271e-09,0.940898701253758,0,,2,0,1,1,0,1,2.08647648573982,dielectric,0.002487705609497,0.000595849145004945,0.239517546903559,0,10.2717042936006,10.2717042936006,ceiling
1124,2.61684896504281,0.221082100505454,1.60233249641104,1.71820806646448,3.8781603850234,0.0275754538988342,39.3793919167775,8.02042868748354,29.6359999306939,3.77916590544248,glass,patch_ffd,floor,3.35550402442518,44.4402312718057,44.4402312718057,2.61684896504281,0.221082100505454,44.4402312718057,0,1,0,18,8.46692607003891e-09,3.32744908340995,leading_edge,1,1,R,1,1,2,3.29996133380103,9.55933525312277,2.60786734343912,0.0114244643456392,0.0160185878221804,0.314792645772688,1.95489986832295e-08,3.68497762432534e-09,4.98054474708171e-09,0.132858946811816,9.96108949416347e-10,1.68749920886643,118.923136763793,10.5597803961698,0.996173946750026,1,166.175955929548,0.1532149196758,-8.82770969074779,-9.65368665972701,-9.55138574037048,-0.768366528059445,-0.804564382525361,-0.800371081310042,4.98054474708173e-10,-12.585684909697,0.132858946811814,0.217737922995058,0.0848789761832443,0.79873846435436,7.63433070896239,60.2310362177987,9.55025238976354e-11,0.00240510177930464,0,,2,0,1,1,0,1,3.35550402442518,dielectric,0.00154687320291553,0.000473766580902061,0.30627370104357,0,44.4402312718057,44.4402312718057,floor
1125,2.11532625418845,0.808082751738072,-1.04942817878656,0.909600839471589,2.97340847117388,0.00974850787308434,20.9468109198372,12.2453806060159,21.9487287807193,1.78457965238555,glass,patch_ffd,wall_x,1.90723851793566,46.732010186985,46.732010186985,2.11532625418845,0.808082751738072,46.732010186985,0,1,0,9,3.98443579766537e-09,6.78755048045178,leading_edge,1,1,R,1,1,2,2.6250704327154,7.21053615826536,2.08898040475807,0.0155443558393218,0.0242142261344036,0.393356840484719,3.74668723122247e-08,6.66451648688102e-09,4.98054474708171e-09,0.17325110599899,1.49416342412452e-09,1.65834696116729,116.421426352878,10.4215803246033,0.98429206196795,1,160.875642603119,0.20955710646379,-6.66668507116209,-6.98918740823565,-6.93368074118337,-0.64549117531396,-0.666633876876665,-0.663068210879885,0,-6.3986873238244,0.173251105998989,0.162920768028439,-0.0103303379705504,0.69590768590981,4.641608503741,23.8431496656141,3.64550827795831e-11,0.0101701629035393,0,,2,0,1,1,1,0,1.90723851793566,dielectric,0.00272149456339452,0.000326407708575382,0.119936932068772,0,46.732010186985,46.732010186985,wall_x
1126,2.85229145865572,1.39494960490231,-1.34755157991432,-1.25417817527953,8.84570223372885,0.00217397536058225,38.2080120773681,7.50991298561088,33.6488917550355,1.64266081309542,ceramic_tile,patch_ffd,wall_y,2.34791469917,51.6330036731751,51.6330036731751,2.85229145865572,1.39494960490231,51.6330036731751,0,1,0,12,5.47859922178988e-09,1.52206317170174,leading_edge,1,1,R,1,1,2,9.14525480506171,16.0292830840238,7.27485731304595,0.00778496724507827,0.0139120735438718,0.355613884510066,2.5283447046098e-08,6.26258950353726e-09,1.04591439688716e-08,0.10587402296927,9.96108949416347e-10,1.66788827856575,67.4985633895155,7.82048805369249,0.993552857233265,2,113.090874206211,0.118410633052921,-17.3028696366319,-15.1896661053713,-15.4687594726961,-0.963462762721152,-0.941235950611176,-0.944792593621706,0,-17.2364895922798,0.105874022969265,0.161510377411365,0.0556363544420999,0.815105256144244,53.7386761822135,278.905403983778,-1.42362039303089e-09,0.693924622344551,0,,2,0,1,1,0,1,2.34791469917,dielectric,0.00221070180253713,0.000609020249475102,0.275487290405316,0,51.6330036731751,51.6330036731751,wall_y
1127,2.72026851818532,0.366590187885026,-0.879185879409017,-0.730938872738884,3.8226464172936,0.00129881816665267,31.3575244609162,11.4842941825827,10.3124084953837,3.85319502456227,metal_pec,ideal,floor,2.61668514131108,25.9090790205286,25.9090790205286,2.72026851818532,0.366590187885026,25.9090790205286,0,1,0,14,6.47470817120623e-09,0.0447215264326549,leading_edge,1,1,R,1,1,2,0.822292393554304,-2.01454407476428,0.0384564764703344,0.797424460826247,0.0242374508538518,0.398839133646297,7.29529494917712e-08,1.90269574826586e-08,4.48249027237354e-09,0.17590694821085,9.96108949416347e-10,1.65101004112025,119.385188270993,10.508110280286,0.937683822982486,1,156.633455019237,0.213455201240863,25.532295814611,1.16499654563684,2.00231334987002,0.994420604635264,0.133326645060299,0.226526323079826,1.99221789883269e-09,4.06194932740475,0.175906948197449,0.126289375153153,-0.0496175730442959,0.385717342523668,0.00279750208277992,3.57552067872957,2.25434372657938e-09,0.0579482861269456,0,,2,0,1,1,0,1,2.61668514131108,PEC,0.00198363157099514,0.00157738628118577,0.795201238098079,0,25.9090790205286,25.9090790205286,floor
1128,2.72317078621105,0.134725967284609,0.10738876259539,-1.02413744448949,5.85512300292326,0.00822923361131289,21.5262145437932,14.5245033029779,28.2575096648014,2.10042508447905,glass,patch_ffd,floor,2.78575598934371,21.6939809049688,21.6939809049688,2.72317078621105,0.134725967284609,21.6939809049688,0,1,0,15,6.9727626459144e-09,2.1452382010563,leading_edge,1,1,R,1,1,2,10.8262297851589,20.0194510411138,10.105133230254,0.0143579848100185,0.0274105032702858,0.419611338057804,7.09373734710794e-08,1.85699317224748e-08,4.48249027237354e-09,0.194421557420967,2.49027237354087e-09,1.64024308195674,121.696950202559,10.6059361168547,0.93740098547326,1,160.035265678343,0.241344041926609,-20.1755556315277,-20.4073844652012,-20.3574782918652,-0.980975053536189,-0.981955063543509,-0.981748410627646,0,-20.0908408761359,0.19442155742096,0.186445605566925,-0.00797595185403538,0.805812944396939,104.125131563663,454.170715688992,1.22941623705034e-10,0.0189161915843485,0,,2,0,1,1,0,1,2.78575598934371,dielectric,0.00186324260901306,0.000712411076429183,0.382350142157032,0,21.6939809049688,21.6939809049688,floor
1129,2.95952554902197,0.198976915720768,-0.853379385286442,1.40733756224992,9.130812894588,0.0317773820273929,38.9826679712123,7.02049166691911,37.3491953407808,2.49470097696965,metal_pec,ideal,ceiling,3.21395148472601,30.80371822641,30.80371822641,2.95952554902197,0.198976915720768,30.80371822641,0,1,0,18,8.46692607003891e-09,0.0363153385810491,leading_edge,1,1,R,1,1,2,0.783623533474554,-2.11889513604297,0.0389323144286193,0.39097934026314,0.0271647064687521,0.408622953496809,3.5405246603451e-09,2.30575857017472e-09,4.48249027237354e-09,0.193948678909583,9.96108949416347e-10,1.64929245858974,121.011100512521,10.6609270573061,0.999872661552755,1,167.244796416758,0.240615794348195,31.1955330970373,1.20934844183078,2.1465671577456,0.99848243659805,0.1383386223445,0.242221449401533,2.98832684824904e-09,1.98429210334689,0.193948678885657,0.199243184321332,0.00529450543567467,0.378786642630662,0.000759358205629001,3.14440734214526,2.97202232631234e-09,0.000135584518149545,0,,2,0,1,1,0,1,3.21395148472601,PEC,0.00161500236774764,0.00126453973266052,0.782995590541522,0,30.80371822641,30.80371822641,ceiling
1130,2.9532014444053,0.775231663112531,0.202202592417164,1.5506986439299,7.71076324037011,0.030640757695856,22.6115891796966,6.37982063370046,23.7491964601039,3.67094295521832,concrete,ideal,wall_y,2.6812505554108,35.6791078342416,35.6791078342416,2.9532014444053,0.775231663112531,35.6791078342416,0,1,0,14,6.47470817120623e-09,0.0439062600850285,leading_edge,1,1,R,1,1,2,0.309173442902771,-10.2118334398904,0.0102202832031364,0.43416446793271,0.0177012354795585,0.328399774932803,1.4365615686495e-08,3.10390926102277e-09,4.98054474708171e-09,0.1451921678178,9.96108949416347e-10,1.67656559116427,120.183297553612,10.6158554331274,0.997876328089964,1,168.729489519818,0.169853576852643,41.8000817329696,9.46089978943731,10.1431210050691,0.999867873112893,0.796595596062008,0.823555959506125,4.98054474708173e-09,7.53494275442524,0.145192167805438,0.216761140067641,0.0715689722622034,0.0882083158046349,6.6068101406436e-05,0.666311396045266,4.6693011200953e-09,0.00761028055897461,0,,2,0,1,1,0,1,2.6812505554108,dielectric,0.00193586505639466,0.000601640621405634,0.3107864463064,0,35.6791078342416,35.6791078342416,wall_y
1131,2.30186743010041,0.950659480885579,-1.20642648307691,0.0134775390358293,4.40346531594309,0.00215794347149587,38.2297165157424,5.10419462281189,35.9252706994963,3.62645201817918,ceramic_tile,ideal,floor,1.81146609826106,41.7618590936198,41.7618590936198,2.30186743010041,0.950659480885579,41.7618590936198,0,1,0,8,3.4863813229572e-09,0.064666264266358,leading_edge,1,1,R,1,1,2,0.0150186584771744,-36.609963350494,0.00108720386133443,0.3052792345261,0.0144399352799305,0.301352772193797,4.59705165553811e-09,2.80449307396292e-09,4.98054474708171e-09,0.125953725245408,9.96108949416347e-10,1.69094004839947,112.275790083123,10.1452695220798,0.99985783374472,2,163.45867697522,0.144104184049949,58.2727534279077,35.2742025089746,35.8335242605457,0.999997023472076,0.999406417895666,0.999478127755103,5.47859922178991e-09,37.7196847736475,0.125953725240619,0.0747805854924037,-0.0511731397482149,0.000259351688219564,1.48841712174737e-06,0.00205964069385002,1.41705988554713e-08,0.974980162503495,0,,2,0,1,1,1,0,1.81146609826106,dielectric,0.00286538029204149,0.000531207972024986,0.185388296799695,0,41.7618590936198,41.7618590936198,floor
1132,2.75083635282317,0.880126154391207,0.785297946318056,1.22552247973736,8.18575166955246,0.0043236106283896,35.8125792827303,14.6931291800996,18.377360659258,1.29991320012106,glass,ideal,floor,2.37026472347507,37.8853579127491,37.8853579127491,2.75083635282317,0.880126154391207,37.8853579127491,0,1,0,12,5.47859922178988e-09,0.0496077190466838,leading_edge,1,1,R,1,1,2,0.0837581180715091,-22.0222093659445,0.00451481574501335,0.416764058367615,0.0179866956866399,0.340004228406866,2.5008403857949e-08,4.64535047215977e-09,4.48249027237354e-09,0.143197755244556,9.96108949416347e-10,1.67348129219174,107.99375591471,9.87908901574178,0.993478667966094,2,159.946914056903,0.167130462275375,43.1642313419481,20.8790234497726,21.5046994524001,0.999903487421891,0.983797020344742,0.985955715683024,-3.98443579766539e-09,34.4877439275474,0.143197755235502,0.00499197289141293,-0.13820578234409,0.00694529476419625,4.82588385847506e-05,0.0488444148968544,-1.59845063094789e-08,0.930976322078903,0,,2,0,1,1,0,1,2.37026472347507,dielectric,0.00218985635074914,0.00064000458499205,0.292258706728917,0,37.8853579127491,37.8853579127491,floor
1133,2.03548501864462,1.07388914224951,-1.46399072389314,-1.09697202005229,7.2893921964561,0.0160735034469475,37.3259997425085,13.6813838678837,14.832936765602,4.64827472733426,wood,patch_ffd,ceiling,2.06670827208942,62.2717226171528,62.2717226171528,2.03548501864462,1.07388914224951,62.2717226171528,0,1,0,12,5.47859922178988e-09,1.95473926756852,leading_edge,1,1,R,1,1,2,7.49308987808433,13.3427739286808,9.69737979096852,0.0144726713200651,0.0112562149650648,0.304863357200145,1.13193108785576e-07,4.62406425472553e-08,5.47859922178988e-09,0.0837476610379986,3.48638132295721e-09,1.72618313010926,100.951777912092,9.52119786099682,0.83964629660419,1,124.501630021884,0.091402398091419,-18.1923823933164,-9.50797522089737,-11.3882111110781,-0.970128548582256,-0.798567634913995,-0.864557584793644,-9.96108949416347e-10,-13.3254438594637,0.0837476610379959,0.142175826836119,0.0584281657981235,0.552336585567267,65.9535595050334,97.3882205167213,-5.56727644931784e-09,0.814106256805804,0,,2,0,1,1,0,1,2.06670827208942,dielectric,0.00251150069303731,0.000901198660409312,0.358828752429862,0,62.2717226171528,62.2717226171528,ceiling
1134,2.45489750331186,0.862809948384878,1.15947882451594,0.431499691279581,6.12419039264034,0.00341235272146653,26.9255765143585,14.4479133272869,28.9090621502937,3.16323397474777,brick,patch_ffd,ceiling,2.01626533735732,37.8497951550487,37.8497951550487,2.45489750331186,0.862809948384878,37.8497951550487,0,1,0,10,4.48249027237354e-09,6.39963187834274,leading_edge,1,1,R,1,1,2,3.64375076409437,10.2515461556015,3.20700820320547,0.00624437509176035,0.0331639618056454,0.44699597578348,2.389915116604e-08,3.80604626483584e-09,4.48249027237354e-09,0.222732139618114,1.49416342412452e-09,1.64214986057489,123.211739526256,10.7334530602115,0.994019697228319,2,170.62878346826,0.2865577633799,-10.2266797881622,-10.4762854218291,-10.4206659956163,-0.826626843282988,-0.835513923640635,-0.83357025229573,0,-10.1220014162317,0.222732139618113,0.213002287884874,-0.00972985173323909,0.721119553053749,10.5358111824917,38.9066128441723,-6.81075022856355e-11,0.00504257368072714,0,,2,0,1,1,0,1,2.01626533735732,dielectric,0.00257433342799102,0.000769282050992756,0.298827666466303,0,37.8497951550487,37.8497951550487,ceiling
