scenario_id,case_id,link_id,target_tau_ns,target_rank,target_in_Wearly,target_is_first,bounce_count,parity,incidence_angle_deg,Pco_target,Pcross_target,xpd_target_raw_db,xpd_target_ex_db,C_target_db
A4,15,A4_15,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.5364482385243642e-09,2.511374863975517e-09,-2.133936092690601,-27.19680091013348,-216.072215247589
A4,16,A4_16,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,4.361660175219172e-09,9.096081153491618e-09,-3.192025004916718,-28.254889822359598,-221.28972176471206
A4,17,A4_17,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,2.149731122562979e-09,3.950702683138545e-09,-2.6429020337305693,-27.705766851173447,-217.8536071906382
A4,18,A4_18,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,5.057293105215904e-09,8.400448223494885e-09,-2.2038433463133478,-27.266708163756228,-221.28972176471206
A4,19,A4_19,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,2.3488946566152425e-09,3.751539149086281e-09,-2.0334594293189907,-27.09632424676187,-217.8536071906382
A4,20,A4_20,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,4.9332831608576094e-09,8.52445816785318e-09,-2.3753074005252293,-27.43817221796811,-221.28972176471206
A4,21,A4_21,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,2.3664590810161212e-09,3.733974724685403e-09,-1.9807237449508013,-27.04358856239368,-217.8536071906382
A4,22,A4_22,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,4.805138999554398e-09,8.652602329156391e-09,-2.554407889976946,-27.617272707419826,-221.28972176471206
A4,23,A4_23,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,2.1265836611594426e-09,3.973850144542081e-09,-2.715290128577847,-27.778154946020727,-217.8536071906382
A5,0,A5_0,24.160978418103074,2.0,1,0,2,even,14.181769186520743,1.9316253031389132e-08,7.870119077934002e-08,-6.100584176874715,-31.163448994317594,3.356862519779976
A5,1,A5_1,26.370557161984873,2.0,0,0,2,even,45.0,6.102588975220721e-08,1.5035646644918587e-08,6.08392009372243,-18.97894472372045,0.0
A5,2,A5_2,26.370557161984873,2.0,0,0,2,even,45.0,6.158816625038151e-08,1.447337014674429e-08,6.289276043927586,-18.773588773515293,0.0
A5,3,A5_3,26.370557161984873,2.0,0,0,2,even,45.0,6.281009870568729e-08,1.325143769143851e-08,6.757664770503392,-18.305200046939486,0.0
A5,4,A5_4,24.263339143683368,2.0,1,0,2,even,28.16831682046073,2.1795968415000525e-08,7.622147539572861e-08,-5.437011811354406,-30.499876628797285,3.3883159239101666
A5,5,A5_5,26.370557161984873,2.0,0,0,2,even,45.0,6.08841170454375e-08,1.517741935168831e-08,6.033060783477795,-19.029804033965085,0.0
A5,6,A5_6,26.370557161984873,2.0,0,0,2,even,45.0,6.029360894877378e-08,1.5767927448352025e-08,5.824966668853964,-19.237898148588915,0.0
A5,7,A5_7,26.370557161984873,2.0,0,0,2,even,45.0,5.907863643510246e-08,1.698289996202334e-08,5.414186116237239,-19.64867870120564,0.0
A5,8,A5_8,26.370557161984873,2.0,0,0,2,even,45.0,6.00679220114769e-08,1.5993614385648906e-08,5.746959874904675,-19.315904942538204,0.0
A5,9,A5_9,26.370557161984873,2.0,0,0,2,even,45.0,6.300136467607541e-08,1.3060171721050408e-08,6.834010695554142,-18.228854121888737,0.0
A5,10,A5_10,26.370557161984873,2.0,0,0,2,even,45.0,6.363430877021687e-08,1.2427227626908942e-08,7.0931707764397505,-17.96969404100313,0.0
A5,11,A5_11,26.370557161984873,3.0,0,0,2,even,45.0,6.156638250270779e-08,1.4495153894418014e-08,6.281208056074414,-18.781656761368467,0.0
A5,12,A5_12,26.370557161984873,2.0,0,0,2,even,45.0,6.100168052167855e-08,1.5059855875447254e-08,6.0752098382087,-18.98765497923418,0.0
