scenario_id,case_id,link_id,xpd_early_ex_db,xpd_late_ex_db,l_pol_db,rho_early_linear,rho_early_db,ds_ns,early_energy_fraction,EL_proxy_db,LOSflag,material,stress_flag,claim_caution_early,claim_caution_late
A6_on,9,A6_on_9,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.250000000000001,0.5000000000000004,-33.51988291836204,1,PEC,0,0,0
A6_on,10,A6_on_10,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.250000000000001,0.5000000000000004,-34.48898304844261,1,PEC,0,0,0
A6_on,11,A6_on_11,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.250000000000001,0.5000000000000004,-34.48898304844261,1,PEC,0,0,0
A6_on,12,A6_on_12,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.250000000000001,0.5000000000000004,-34.48898304844261,1,PEC,0,0,0
A6_on,13,A6_on_13,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.250000000000001,0.5000000000000004,-34.48898304844261,1,PEC,0,0,0
A6_on,14,A6_on_14,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.250000000000001,0.5000000000000004,-34.48898304844261,1,PEC,0,0,0
A6_on,15,A6_on_15,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,16,A6_on_16,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,17,A6_on_17,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,18,A6_on_18,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,19,A6_on_19,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,20,A6_on_20,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.124999999999999,0.5000000000000004,-39.54048283164168,1,PEC,0,0,0
A6_on,21,A6_on_21,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.124999999999999,0.5000000000000004,-39.54048283164168,1,PEC,0,0,0
A6_on,22,A6_on_22,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.124999999999999,0.5000000000000004,-39.54048283164168,1,PEC,0,0,0
A6_on,23,A6_on_23,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.124999999999999,0.5000000000000004,-39.54048283164168,1,PEC,0,0,0
A6_on,24,A6_on_24,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,6.124999999999999,0.5000000000000004,-39.54048283164168,1,PEC,0,0,0
A6_on,25,A6_on_25,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,26,A6_on_26,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,27,A6_on_27,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,28,A6_on_28,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,29,A6_on_29,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.999999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,30,A6_on_30,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,31,A6_on_31,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,32,A6_on_32,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,33,A6_on_33,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,34,A6_on_34,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,35,A6_on_35,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000004,-43.06230801275531,1,PEC,0,0,0
A6_on,36,A6_on_36,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000004,-43.06230801275531,1,PEC,0,0,0
A6_on,37,A6_on_37,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000004,-43.06230801275531,1,PEC,0,0,0
A6_on,38,A6_on_38,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000004,-43.06230801275531,1,PEC,0,0,0
A6_on,39,A6_on_39,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000004,-43.06230801275531,1,PEC,0,0,0
A6_on,40,A6_on_40,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,41,A6_on_41,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,42,A6_on_42,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,43,A6_on_43,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,44,A6_on_44,-17.062864817442932,-33.06286481744283,15.999999999999893,0.15848931924611329,-7.999999999999919,5.749999999999999,0.5000000000000002,-43.18130024575239,1,PEC,0,0,0
A6_on,45,A6_on_45,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,46,A6_on_46,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,47,A6_on_47,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,48,A6_on_48,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,49,A6_on_49,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,50,A6_on_50,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.0,0.5000000000000004,-33.51988291836204,1,PEC,0,0,0
A6_on,51,A6_on_51,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.0,0.5000000000000004,-33.51988291836204,1,PEC,0,0,0
A6_on,52,A6_on_52,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.0,0.5000000000000004,-33.51988291836204,1,PEC,0,0,0
A6_on,53,A6_on_53,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.0,0.5000000000000004,-33.51988291836204,1,PEC,0,0,0
A6_on,54,A6_on_54,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.0,0.5000000000000004,-33.51988291836204,1,PEC,0,0,0
A6_on,55,A6_on_55,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,56,A6_on_56,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,57,A6_on_57,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,58,A6_on_58,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,59,A6_on_59,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,13.000000000000002,0.5000000000000002,-34.48898304844261,1,PEC,0,0,0
A6_on,60,A6_on_60,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,61,A6_on_61,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,62,A6_on_62,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,63,A6_on_63,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,64,A6_on_64,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,65,A6_on_65,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.75,0.5000000000000002,-39.54048283164168,1,PEC,0,0,0
A6_on,66,A6_on_66,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.75,0.5000000000000002,-39.54048283164168,1,PEC,0,0,0
A6_on,67,A6_on_67,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.75,0.5000000000000002,-39.54048283164168,1,PEC,0,0,0
A6_on,68,A6_on_68,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.75,0.5000000000000002,-39.54048283164168,1,PEC,0,0,0
A6_on,69,A6_on_69,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.75,0.5000000000000002,-39.54048283164168,1,PEC,0,0,0
A6_on,70,A6_on_70,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,71,A6_on_71,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,72,A6_on_72,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,73,A6_on_73,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,74,A6_on_74,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.624999999999998,0.5000000000000003,-39.80377221886517,1,PEC,0,0,0
A6_on,75,A6_on_75,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.374999999999998,0.5000000000000003,-43.18130024575239,1,PEC,0,0,0
A6_on,76,A6_on_76,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.374999999999998,0.5000000000000003,-43.18130024575239,1,PEC,0,0,0
A6_on,77,A6_on_77,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.374999999999998,0.5000000000000003,-43.18130024575239,1,PEC,0,0,0
A6_on,78,A6_on_78,-17.062864817442932,-17.062864817442932,0.0,0.15848931924611329,-7.999999999999919,12.374999999999998,0.5000000000000003,-43.18130024575239,1,PEC,0,0,0
