EL_db,L_m,P_lin,case_id,incidence_deg,link_id,los_flag_ray,material_class,n_bounce,parity,ray_index,run_id,scenario_id,surface_seq,tau_s
2.7199659283313338,17.46424919657298,1.5586380409247115e-08,21,13.240519915187184,B2_21,0.0,103|104,2.0,even,13.0,B2_20260309T023028Z,B2,103|104,5.8254464815699196e-08
2.7199659283313338,4.0,2.971153765512727e-07,22,0.0,B2_22,0.0,201,1.0,odd,0.0,B2_20260309T023028Z,B2,201,1.3342563807926082e-08
2.719965928331348,7.211102550927978,9.142011586193013e-08,22,33.690067525979785,B2_22,0.0,105|106,2.0,even,1.0,B2_20260309T023028Z,B2,105|106,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193013e-08,22,45.0,B2_22,0.0,105|201,2.0,even,2.0,B2_20260309T023028Z,B2,105|201,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193013e-08,22,33.690067525979785,B2_22,0.0,106|105,2.0,even,3.0,B2_20260309T023028Z,B2,106|105,2.405364897781377e-08
2.719965928331348,7.211102550927978,9.142011586193013e-08,22,45.0,B2_22,0.0,106|201,2.0,even,4.0,B2_20260309T023028Z,B2,106|201,2.405364897781377e-08
2.7199659283313338,8.0,7.427884413781818e-08,22,0.0,B2_22,0.0,101|201,2.0,even,5.0,B2_20260309T023028Z,B2,101|201,2.6685127615852163e-08
2.7199659283313338,8.94427190999916,5.942307531025462e-08,22,26.56505117707798,B2_22,0.0,103,1.0,odd,6.0,B2_20260309T023028Z,B2,103,2.983487966865117e-08
2.7199659283313338,8.94427190999916,5.942307531025462e-08,22,26.56505117707798,B2_22,0.0,104,1.0,odd,7.0,B2_20260309T023028Z,B2,104,2.983487966865117e-08
2.7199659283313338,12.0,3.3012819616808086e-08,22,0.0,B2_22,0.0,201|102,2.0,even,8.0,B2_20260309T023028Z,B2,201|102,4.0027691423778243e-08
2.7199659283313338,14.422205101855955,2.2855028965482542e-08,22,44.99999999999999,B2_22,0.0,103|102,2.0,even,9.0,B2_20260309T023028Z,B2,103|102,4.810729795562754e-08
2.7199659283313338,14.422205101855955,2.2855028965482542e-08,22,44.99999999999999,B2_22,0.0,104|102,2.0,even,10.0,B2_20260309T023028Z,B2,104|102,4.810729795562754e-08
2.719965928331348,16.492422502470642,1.747737509125133e-08,22,14.036243467926484,B2_22,0.0,103|104,2.0,even,11.0,B2_20260309T023028Z,B2,103|104,5.5012799896622627e-08
2.719965928331348,16.492422502470642,1.747737509125133e-08,22,14.036243467926484,B2_22,0.0,104|103,2.0,even,12.0,B2_20260309T023028Z,B2,104|103,5.5012799896622627e-08
2.7199659283313338,4.47213595499958,2.376923012410184e-07,23,26.56505117707798,B2_23,0.0,201,1.0,odd,0.0,B2_20260309T023028Z,B2,201,1.4917439834325585e-08
2.719965928331348,7.280109889280518,8.969520801547853e-08,23,34.49623729009093,B2_23,0.0,105|106,2.0,even,1.0,B2_20260309T023028Z,B2,105|106,2.428383268160975e-08
2.719965928331348,7.280109889280518,8.969520801547853e-08,23,34.49623729009093,B2_23,0.0,106|105,2.0,even,2.0,B2_20260309T023028Z,B2,106|105,2.428383268160975e-08
2.725201650515686,7.483314773547883,8.478782831905602e-08,23,47.19384598153302,B2_23,0.0,105|201,2.0,even,3.0,B2_20260309T023028Z,B2,105|201,2.4961651215214634e-08
2.725201650515686,7.483314773547883,8.478782831905602e-08,23,47.19384598153302,B2_23,0.0,106|201,2.0,even,4.0,B2_20260309T023028Z,B2,106|201,2.4961651215214634e-08
2.719965928331348,8.06225774829855,7.313609268954406e-08,23,29.74488129694223,B2_23,0.0,104,1.0,odd,5.0,B2_20260309T023028Z,B2,104,2.689279711065496e-08
2.7199659283313338,8.110350040397627,7.227130780976908e-08,23,9.462322208025574,B2_23,0.0,101|201,2.0,even,6.0,B2_20260309T023028Z,B2,101|201,2.7053215729655303e-08
2.7286481048020335,8.602325267042627,6.411286338502022e-08,23,52.563616135157936,B2_23,0.0,105|104,2.0,even,7.0,B2_20260309T023028Z,B2,105|104,2.8694268443012755e-08
2.7286481048020335,8.602325267042627,6.411286338502023e-08,23,52.563616135157936,B2_23,0.0,106|104,2.0,even,8.0,B2_20260309T023028Z,B2,106|104,2.8694268443012755e-08
2.719965928331348,10.63014581273465,4.206943384796781e-08,23,45.0,B2_23,0.0,101|104,2.0,even,9.0,B2_20260309T023028Z,B2,101|104,3.545834969849258e-08
2.7199659283313338,12.165525060596437,3.2120581248786284e-08,23,9.462322208025594,B2_23,0.0,201|102,2.0,even,10.0,B2_20260309T023028Z,B2,201|102,4.0579823594482944e-08
2.7199659283313338,15.0,2.1128204554757176e-08,23,44.99999999999999,B2_23,0.0,103|102,2.0,even,11.0,B2_20260309T023028Z,B2,103|102,5.0034614279722804e-08
2.7199659283313338,15.524174696260022,1.9725502177677854e-08,23,14.931417178137552,B2_23,0.0,103|104,2.0,even,12.0,B2_20260309T023028Z,B2,103|104,5.178307286256021e-08
