stage,cp_feature,cir_feature,pearson,spearman,abs_pearson,abs_spearman
stage1,xpr_late_db,mean_excess_delay,-0.4291052975684065,-0.6351212656801406,0.4291052975684065,0.6351212656801406
stage1,lambda_l_late_fraction,energy_concentration_50ns,-0.41899686444678574,-0.6203569458174384,0.41899686444678574,0.6203569458174384
stage1,lambda_l_late_fraction,rms_delay_spread,0.5527122688955342,0.616227659580851,0.5527122688955342,0.616227659580851
stage1,lambda_l_late_fraction,mean_excess_delay,0.4247441592780631,0.6127640969737885,0.4247441592780631,0.6127640969737885
stage1,delta_p_l_given_r_db,mean_excess_delay,-0.4768731257141287,-0.6079978986664332,0.4768731257141287,0.6079978986664332
stage1,delta_p_l_given_r_db,energy_concentration_50ns,0.4716570727951806,0.6061556340172927,0.4716570727951806,0.6061556340172927
stage1,gamma_delay_linear,peak_to_avg_ratio,-0.3036600381939008,-0.6035932123992458,0.3036600381939008,0.6035932123992458
stage1,delta_p_l_given_r_db,rms_delay_spread,-0.5854432865298657,-0.6019669482185498,0.5854432865298657,0.6019669482185498
stage1,xpr_fp_db,skewness_total,0.4972477040940032,0.6007755116417235,0.4972477040940032,0.6007755116417235
stage1,gamma_anchor_linear,skewness_total,-0.1443670850981758,-0.6007755116417235,0.1443670850981758,0.6007755116417235
stage1,s3_fp,skewness_total,0.4734672043247455,0.6007752631972515,0.4734672043247455,0.6007752631972515
stage1,gamma_anchor_linear,kurtosis_total,-0.13670013193164862,-0.5826287971809775,0.13670013193164862,0.5826287971809775
stage1,xpr_fp_db,kurtosis_total,0.532770020377763,0.5826287971809775,0.532770020377763,0.5826287971809775
stage1,s3_fp,kurtosis_total,0.5157046177756903,0.5826284816253868,0.5157046177756903,0.5826284816253868
stage1,delta_p_l_given_r_db,peak_to_avg_ratio,0.5628459354840636,0.5764543613838179,0.5628459354840636,0.5764543613838179
stage1,xpr_fp_db,rise_time_fp,-0.46193825496934826,-0.5755092386785576,0.46193825496934826,0.5755092386785576
stage1,s3_fp,rise_time_fp,-0.4448976410541605,-0.5755092386785576,0.4448976410541605,0.5755092386785576
stage1,gamma_anchor_linear,rise_time_fp,0.09126331115765307,0.5755092386785576,0.09126331115765307,0.5755092386785576
stage1,xpr_all_db,peak_to_avg_ratio,0.533780933655285,0.5638814239868248,0.533780933655285,0.5638814239868248
stage1,s3_all,peak_to_avg_ratio,0.5571211138838533,0.5638814239868248,0.5571211138838533,0.5638814239868248
stage1,xpr_late_db,peak_to_avg_ratio,0.5240718488657857,0.5562596075844009,0.5240718488657857,0.5562596075844009
stage1,s3_late,peak_to_avg_ratio,0.5526892058884001,0.5562596075844009,0.5526892058884001,0.5562596075844009
stage1,f_r_fp,mean_excess_delay,-0.665074585197531,-0.547148992349888,0.665074585197531,0.547148992349888
stage1,gamma_delay_linear,k_factor_estimate,-0.22333958408313523,-0.5420706562300729,0.22333958408313523,0.5420706562300729
stage1,gamma_delay_linear,fp_to_total_ratio,-0.24373751980109218,-0.5420706562300729,0.24373751980109218,0.5420706562300729
stage1,gamma_delay_linear,rise_time_fp,0.06521456057298258,0.5356364048965925,0.06521456057298258,0.5356364048965925
stage1,lambda_l_late_fraction,peak_to_avg_ratio,-0.548008684115722,-0.5328519747613305,0.548008684115722,0.5328519747613305
stage1,delta_p_l_given_r_db,k_factor_estimate,0.5257043728047086,0.532569055618784,0.5257043728047086,0.532569055618784
stage1,delta_p_l_given_r_db,fp_to_total_ratio,0.5339276699814284,0.532569055618784,0.5339276699814284,0.532569055618784
stage1,delta_f_l_minus_r_fp,peak_to_avg_ratio,-0.5844901444124015,-0.5300704984522776,0.5844901444124015,0.5300704984522776
