,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar
peak_to_avg_ratio,-0.6195396159488462,-0.721510455723384,-0.742209079731211,0.6577267895251988,-0.5583490245520544,-0.10140270647925471,0.9543577398175267,0.9550211710023523,0.6199331608814623,-0.5369984992035922,1.0,0.6577267895251988,0.6706697291855255,0.5562596075844009,0.5638814239868248,0.6706693389632599,0.5562596075844009,0.5638814239868248,0.5078637939556079,0.5764543613838179,0.6577267895251988,-0.15876384964042775,-0.5300704984522776,-0.5328519747613305,-0.6706697291855255,-0.6035932123992458,0.4927014685223854,-0.42022139469126607
k_factor_estimate,-0.44006379467375495,-0.547148992349888,-0.6969976040066245,1.0,-0.29190493907478854,-0.6547693339005973,0.6610301943366883,0.6598256955361884,0.44090436810048533,-0.423003919191664,0.6577267895251988,1.0,0.5247155894128432,0.44816695735188417,0.4621770820196758,0.5247148080794232,0.44816695735188417,0.4621770820196758,0.26909474878717077,0.532569055618784,1.0,-0.14158357306484146,-0.6865750665083408,-0.4733105085900565,-0.5247155894128432,-0.5420706562300729,0.3381072446785827,-0.2663108349234261
xpr_fp_db,-0.7293004210333801,-0.7419178259908695,-0.44197508471372043,0.5247155894128432,-0.5755092386785576,-0.14712600007554058,0.5826287971809775,0.6007755116417235,0.7312923528102614,-0.4521511235015093,0.6706697291855255,0.5247155894128432,1.0,0.9210581001175667,0.9278039919782213,0.9999999995555555,0.9210581001175667,0.9278039919782213,0.6042443179435996,0.8952254016917113,0.5247155894128432,-0.3589362643262516,-0.6110299687811076,-0.8634539523837725,-1.0,-0.9262853544761505,0.5656127717347524,-0.09008456645384072
xpr_late_db,-0.638967557663062,-0.6351212656801406,-0.34973215019518605,0.44816695735188417,-0.520007266518715,-0.13099842429798353,0.46227088691898743,0.4726646569627397,0.6427733536414837,-0.3656378673701775,0.5562596075844009,0.44816695735188417,0.9210581001175667,1.0,0.9976401606266845,0.9210579756731084,1.0,0.9976401606266845,0.4266076592443861,0.9740527824503091,0.44816695735188417,-0.5175066499451834,-0.6885877698430856,-0.9563820324868925,-0.9210581001175667,-0.9897259393028821,0.44356157195128576,0.15671893919099325
xpr_all_db,-0.6451079765675529,-0.6429621083291231,-0.35809004449877885,0.4621770820196758,-0.5299978660311858,-0.13376750249543048,0.4701563700173744,0.48066585296287256,0.6489174796574977,-0.3718157271792333,0.5638814239868248,0.4621770820196758,0.9278039919782213,0.9976401606266845,1.0,0.9278038626448736,0.9976401606266845,1.0,0.43571968057984234,0.9775666761740751,0.4621770820196758,-0.5149562803284756,-0.6958302346478038,-0.9470067523340836,-0.9278039919782213,-0.9908833976537108,0.45113312834812536,0.14811199112355458
s3_fp,-0.7293002765889196,-0.7419175944352883,-0.4419744350658936,0.5247148080794232,-0.5755092386785576,-0.14712535563099846,0.5826284816253868,0.6007752631972515,0.7312921630324626,-0.4521517770448244,0.6706693389632599,0.5247148080794232,0.9999999995555555,0.9210579756731084,0.9278038626448736,1.0,0.9210579756731084,0.9278038626448736,0.6042451043723495,0.89522517013613,0.5247148080794232,-0.35893604965956105,-0.6110296021144003,-0.8634538226059802,-0.9999999995555555,-0.9262852006983556,0.5656121730680193,-0.09008455445383938
s3_late,-0.638967557663062,-0.6351212656801406,-0.34973215019518605,0.44816695735188417,-0.520007266518715,-0.13099842429798353,0.46227088691898743,0.4726646569627397,0.6427733536414837,-0.3656378673701775,0.5562596075844009,0.44816695735188417,0.9210581001175667,1.0,0.9976401606266845,0.9210579756731084,1.0,0.9976401606266845,0.4266076592443861,0.9740527824503091,0.44816695735188417,-0.5175066499451834,-0.6885877698430856,-0.9563820324868925,-0.9210581001175667,-0.9897259393028821,0.44356157195128576,0.15671893919099325
s3_all,-0.6451079765675529,-0.6429621083291231,-0.35809004449877885,0.4621770820196758,-0.5299978660311858,-0.13376750249543048,0.4701563700173744,0.48066585296287256,0.6489174796574977,-0.3718157271792333,0.5638814239868248,0.4621770820196758,0.9278039919782213,0.9976401606266845,1.0,0.9278038626448736,0.9976401606266845,1.0,0.43571968057984234,0.9775666761740751,0.4621770820196758,-0.5149562803284756,-0.6958302346478038,-0.9470067523340836,-0.9278039919782213,-0.9908833976537108,0.45113312834812536,0.14811199112355458
delta_tau_l_given_r_s,-0.43963121083909035,-0.4666300992078334,-0.3419521330596961,0.26909474878717077,-0.39342436880487514,0.013528660582342504,0.5022593859282702,0.5265787768339985,0.4398291624192148,-0.4086003738719102,0.5078637939556079,0.26909474878717077,0.6042443179435996,0.4266076592443861,0.43571968057984234,0.6042451043723495,0.4266076592443861,0.43571968057984234,1.0,0.34079305536537446,0.26909474878717077,0.07550025905031675,-0.11946284290053497,-0.36490242473908335,-0.6042443179435996,-0.4240471903667812,0.6029534970952155,-0.26400505200507
delta_p_l_given_r_db,-0.6019669482185498,-0.6079978986664332,-0.39794245531180633,0.532569055618784,-0.5274222905590872,-0.19745461214756582,0.4918919550991061,0.4968681974297997,0.6061556340172927,-0.3776772039052371,0.5764543613838179,0.532569055618784,0.8952254016917113,0.9740527824503091,0.9775666761740751,0.89522517013613,0.9740527824503091,0.9775666761740751,0.34079305536537446,1.0,0.532569055618784,-0.612623268958141,-0.8077642759738084,-0.9367481245275694,-0.8952254016917113,-0.9830184345576038,0.41769693841077093,0.18219464557718285
f_r_fp,-0.44006379467375495,-0.547148992349888,-0.6969976040066245,1.0,-0.29190493907478854,-0.6547693339005973,0.6610301943366883,0.6598256955361884,0.44090436810048533,-0.423003919191664,0.6577267895251988,1.0,0.5247155894128432,0.44816695735188417,0.4621770820196758,0.5247148080794232,0.44816695735188417,0.4621770820196758,0.26909474878717077,0.532569055618784,1.0,-0.14158357306484146,-0.6865750665083408,-0.4733105085900565,-0.5247155894128432,-0.5420706562300729,0.3381072446785827,-0.2663108349234261
f_l_fp,0.07409758112195346,0.06666041362893485,0.08758629819861247,-0.14158357306484146,0.25348791219827194,0.057588360727836053,-0.12609702467744718,-0.10878951164327907,-0.07796981310775701,0.04868153946145136,-0.15876384964042775,-0.14158357306484146,-0.3589362643262516,-0.5175066499451834,-0.5149562803284756,-0.35893604965956105,-0.5175066499451834,-0.5149562803284756,0.07550025905031675,-0.612623268958141,-0.14158357306484146,1.0,0.7738413837601538,0.5015172806130311,0.3589362643262516,0.5061381944597994,-0.07629550669950075,-0.5215704095078233
delta_f_l_minus_r_fp,0.35853976205997357,0.4114231208247912,0.477822291137634,-0.6865750665083408,0.3973167271983406,0.38796465613153264,-0.5000622355624706,-0.48971398863488763,-0.3623030140336682,0.3193891071121097,-0.5300704984522776,-0.6865750665083408,-0.6110299687811076,-0.6885877698430856,-0.6958302346478038,-0.6110296021144003,-0.6885877698430856,-0.6958302346478038,-0.11946284290053497,-0.8077642759738084,-0.6865750665083408,0.7738413837601538,1.0,0.6873396603710734,0.6110299687811076,0.7381526802391867,-0.2748133749792639,-0.21218364846484983
lambda_l_late_fraction,0.616227659580851,0.6127640969737885,0.34407847207489844,-0.4733105085900565,0.460815106192321,0.24520733760697894,-0.44002301244700137,-0.450727544747505,-0.6203569458174384,0.3575084758866247,-0.5328519747613305,-0.4733105085900565,-0.8634539523837725,-0.9563820324868925,-0.9470067523340836,-0.8634538226059802,-0.9563820324868925,-0.9470067523340836,-0.36490242473908335,-0.9367481245275694,-0.4733105085900565,0.5015172806130311,0.6873396603710734,1.0,0.8634539523837725,0.9563789320421036,-0.39992218665802076,-0.17786279754031084
gamma_anchor_linear,0.7293004210333801,0.7419178259908695,0.44197508471372043,-0.5247155894128432,0.5755092386785576,0.14712600007554058,-0.5826287971809775,-0.6007755116417235,-0.7312923528102614,0.4521511235015093,-0.6706697291855255,-0.5247155894128432,-1.0,-0.9210581001175667,-0.9278039919782213,-0.9999999995555555,-0.9210581001175667,-0.9278039919782213,-0.6042443179435996,-0.8952254016917113,-0.5247155894128432,0.3589362643262516,0.6110299687811076,0.8634539523837725,1.0,0.9262853544761505,-0.5656127717347524,0.09008456645384072
gamma_delay_linear,0.6684566604951845,0.6732654956961662,0.4119323031424525,-0.5420706562300729,0.5356364048965925,0.19458002371190597,-0.5131193619021513,-0.522816358535151,-0.6726322205146912,0.403027272933727,-0.6035932123992458,-0.5420706562300729,-0.9262853544761505,-0.9897259393028821,-0.9908833976537108,-0.9262852006983556,-0.9897259393028821,-0.9908833976537108,-0.4240471903667812,-0.9830184345576038,-0.5420706562300729,0.5061381944597994,0.7381526802391867,0.9563789320421036,0.9262853544761505,1.0,-0.4510313416701491,-0.10838272715363635
cp_phase_slope_delay_s,-0.3858833793203755,-0.4223241531471281,-0.35959857437802245,0.3381072446785827,-0.34961072863301057,-0.05528415637862108,0.4865741740637971,0.5014324868258319,0.38790463110051454,-0.376530273395491,0.4927014685223854,0.3381072446785827,0.5656127717347524,0.44356157195128576,0.45113312834812536,0.5656121730680193,0.44356157195128576,0.45113312834812536,0.6029534970952155,0.41769693841077093,0.3381072446785827,-0.07629550669950075,-0.2748133749792639,-0.39992218665802076,-0.5656127717347524,-0.4510313416701491,1.0,-0.2208645774293975
cp_phase_residual_circvar,0.4278192506465834,0.470829602092178,0.3011069577820009,-0.2663108349234261,0.18574992003796878,-0.04322937855165252,-0.419498808833201,-0.4568158112017568,-0.4244544742727194,0.42920161631095066,-0.42022139469126607,-0.2663108349234261,-0.09008456645384072,0.15671893919099325,0.14811199112355458,-0.09008455445383938,0.15671893919099325,0.14811199112355458,-0.26400505200507,0.18219464557718285,-0.2663108349234261,-0.5215704095078233,-0.21218364846484983,-0.17786279754031084,0.09008456645384072,-0.10838272715363635,-0.2208645774293975,1.0
