,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar
peak_to_avg_ratio,-0.7928887952126241,-0.8621954344641308,-0.6045928591436588,0.7958231389265071,-0.6103010763463554,-0.17116707569221964,0.965776524037056,0.9630450422532297,0.855886841922726,-0.7953604925831531,1.0,0.763578271803103,0.5821481040084913,0.5240718488657857,0.533780933655285,0.5576346398239937,0.5526892058884001,0.5571211138838533,0.3196003648644457,0.5628459354840636,0.7958231389172113,-0.20251075892491383,-0.5844901444124015,-0.548008684115722,-0.14136035515657,-0.3036600381939008,0.3283335650206394,-0.3791999797158911
k_factor_estimate,-0.5917140741620104,-0.6229399600015757,-0.41132662483557725,0.9969218808752314,-0.4650896016999256,-0.40488235961107405,0.7474112681874217,0.7257053806860339,0.6142947107679742,-0.5579580994162643,0.763578271803103,1.0,0.5286411046981625,0.4628506881608395,0.47599334321696546,0.5066848106041159,0.49858179074774434,0.5043662971846001,0.2651953664694969,0.5257043728047086,0.9969218808732889,-0.18623644180604057,-0.6822754638289411,-0.5005979478722046,-0.11022591048293266,-0.22333958408313523,0.28399373347410656,-0.23228012078677807
xpr_fp_db,-0.6099330957865151,-0.44495407242518703,-0.19174168644818998,0.5325206779272277,-0.46193825496934826,-0.15098227647645943,0.532770020377763,0.4972477040940032,0.4390328232439695,-0.3176648672763224,0.5821481040084913,0.5286411046981625,1.0,0.9466192315122333,0.9520285541798963,0.9689472094277947,0.971488424532899,0.9730545702184208,0.5465244152928281,0.9192559813954793,0.5325206778559924,-0.4587687043859037,-0.6303210074213975,-0.9491943378005512,-0.10543081592670772,-0.14194337091590487,0.4687143745512379,0.10652802717613744
xpr_late_db,-0.5841907970583821,-0.4291052975684065,-0.195502393035198,0.4691709076469913,-0.41545501545962976,-0.12791234133224416,0.4596300155095738,0.43941414176692495,0.42365339067472924,-0.302928828682133,0.5240718488657857,0.4628506881608395,0.9466192315122333,1.0,0.9990090790477177,0.9180105356206382,0.9508036812111481,0.9472921170325096,0.3938454694267245,0.9788876551012824,0.4691709075822817,-0.5838373466791129,-0.6882740411375049,-0.9397653356866824,-0.1053764093433324,-0.18592916982111957,0.3657132519651511,0.2472232220725223
xpr_all_db,-0.5901599571947166,-0.4361598376093039,-0.19831249202601728,0.482275353189893,-0.428407662654279,-0.13462776255868586,0.46980175474978647,0.44877935137905,0.43069264608881075,-0.30991732508393127,0.533780933655285,0.47599334321696546,0.9520285541798963,0.9990090790477177,1.0,0.9236433874367793,0.953744143422908,0.951423386447868,0.40170756929126666,0.980310535710039,0.48227535312510567,-0.5815491094302064,-0.6937376219317158,-0.9376152450523664,-0.10968858709070352,-0.18512833895667558,0.37341370791214173,0.24016838414060684
s3_fp,-0.5537304146280909,-0.4082448604632005,-0.15980190546386278,0.5084663784517415,-0.4448976410541605,-0.14859246207492896,0.5157046177756903,0.4734672043247455,0.40267242184369484,-0.2827007504994336,0.5576346398239937,0.5066848106041159,0.9689472094277947,0.9180105356206382,0.9236433874367793,1.0,0.985210937549019,0.9884977675153138,0.5010835266809859,0.9059537017640209,0.5084663783728248,-0.5199441691255057,-0.662453885564105,-0.9663262646110802,-0.07342727660559789,-0.10657479267713377,0.43927928353076445,0.17638822065305065
s3_late,-0.55951676065904,-0.42232526368211176,-0.18818550776637613,0.5020552897451022,-0.4269622084347479,-0.1456267946590865,0.506388954239483,0.4737174369210527,0.41674513809642044,-0.2989522625652826,0.5526892058884001,0.49858179074774434,0.971488424532899,0.9508036812111481,0.953744143422908,0.985210937549019,1.0,0.9994291461577104,0.4833009487646631,0.9389797386996094,0.5020552896688627,-0.5559844712951653,-0.6856223966353728,-0.9876391759796571,-0.0728525422808825,-0.13443740783358926,0.4321720240920738,0.21370310303191342
s3_all,-0.5615213126457121,-0.4247649167436559,-0.18896950776810315,0.5077749045937567,-0.4332939713464243,-0.1490414644348949,0.5114679941796482,0.4781476907906375,0.4191909965515636,-0.30125769570731004,0.5571211138838533,0.5043662971846001,0.9730545702184208,0.9472921170325096,0.951423386447868,0.9884977675153138,0.9994291461577104,1.0,0.4876569401010344,0.9365556800500888,0.5077749045172238,-0.5512422416762217,-0.6852368584981774,-0.9847978705081442,-0.07319375163254856,-0.13403173898115595,0.435756070311345,0.20732255776835973
delta_tau_l_given_r_s,-0.3108479775383307,-0.18497363671666436,-0.04780597227486199,0.2632051859364203,-0.2392732181502909,-0.05527269955021079,0.3292581409957039,0.28491999261684425,0.18112514424283221,-0.11722368743467598,0.3196003648644457,0.2651953664694969,0.5465244152928281,0.3938454694267245,0.40170756929126666,0.5010835266809859,0.4833009487646631,0.4876569401010344,1.0,0.293543554593671,0.2632051859042337,0.14610468140521404,-0.03562957317929632,-0.4643867370567378,-0.042189924014567476,-0.020150238511453155,0.5334111417086469,-0.2145507374983279
delta_p_l_given_r_db,-0.5854432865298657,-0.4768731257141287,-0.2491999435403351,0.5339276699814284,-0.4382219283351904,-0.16998153792537868,0.49794908262691373,0.4850280879905617,0.4716570727951806,-0.3618030709511766,0.5628459354840636,0.5257043728047086,0.9192559813954793,0.9788876551012824,0.980310535710039,0.9059537017640209,0.9389797386996094,0.9365556800500888,0.293543554593671,1.0,0.5339276699239074,-0.6962617951296041,-0.8068346275430804,-0.926396818913034,-0.10994913995739188,-0.19863739336933198,0.32756503600081155,0.30030607107852036
f_r_fp,-0.6169392150353729,-0.665074585197531,-0.45486736892038016,0.999999999999998,-0.4838166330044752,-0.4029151755595439,0.7780204414243694,0.7634553671590781,0.656533161809923,-0.6059447579008862,0.7958231389172113,0.9969218808732889,0.5325206778559924,0.4691709075822817,0.48227535312510567,0.5084663783728248,0.5020552896688627,0.5077749045172238,0.2632051859042337,0.5339276699239074,1.0,-0.19068347662608748,-0.6872473636159461,-0.5037525937094557,-0.11849359728519064,-0.2437375198060126,0.2882960927867868,-0.2510515956325191
f_l_fp,0.17943550224672666,0.18333245498509967,0.08176641742369155,-0.19068347665591157,0.1960799757888776,0.08915103441508875,-0.15507646915375414,-0.15333786658490292,-0.18274237255805628,0.13603460242634013,-0.20251075892491383,-0.18623644180604057,-0.4587687043859037,-0.5838373466791129,-0.5815491094302064,-0.5199441691255057,-0.5559844712951653,-0.5512422416762217,0.14610468140521404,-0.6962617951296041,-0.19068347662608748,1.0,0.8441414612660124,0.5484221742596308,0.03313009107547798,0.05082296404822189,-0.019740583462740765,-0.6343779115508072
delta_f_l_minus_r_fp,0.4697185183962993,0.4988909840247846,0.3089291307887565,-0.6872473636380154,0.40933170608102215,0.2860205168679692,-0.5396659177708555,-0.5304247604229138,-0.493789497855099,0.4315972671833716,-0.5844901444124015,-0.6822754638289411,-0.6303210074213975,-0.6882740411375049,-0.6937376219317158,-0.662453885564105,-0.6856223966353728,-0.6852368584981774,-0.03562957317929632,-0.8068346275430804,-0.6872473636159461,0.8441414612660124,1.0,0.6809532546506164,0.0892305631677053,0.17072419601870237,-0.1720584715858422,-0.33233084575578314
lambda_l_late_fraction,0.5527122688955342,0.4247441592780631,0.20661603304511025,-0.503752593783911,0.39097648571183674,0.1479234242377598,-0.5022421987949405,-0.47402060677171876,-0.41899686444678574,0.3029856166361471,-0.548008684115722,-0.5005979478722046,-0.9491943378005512,-0.9397653356866824,-0.9376152450523664,-0.9663262646110802,-0.9876391759796571,-0.9847978705081442,-0.4643867370567378,-0.926396818913034,-0.5037525937094557,0.5484221742596308,0.6809532546506164,1.0,0.04576700870058886,0.14692090358443857,-0.4105395393507576,-0.2119710669323757
gamma_anchor_linear,0.12514832017189773,0.14959906574414966,0.15424636729076216,-0.11849359728363003,0.09126331115765307,0.04057829121130405,-0.13670013193164862,-0.1443670850981758,-0.144231794277559,0.14993225142783373,-0.14136035515657,-0.11022591048293266,-0.10543081592670772,-0.1053764093433324,-0.10968858709070352,-0.07342727660559789,-0.0728525422808825,-0.07319375163254856,-0.042189924014567476,-0.10994913995739188,-0.11849359728519064,0.03313009107547798,0.0892305631677053,0.04576700870058886,1.0,0.4693193276225823,-0.05464680347699142,0.0461163130051119
gamma_delay_linear,0.23223196168718901,0.3394997400991177,0.3747092799948307,-0.24373751980109218,0.06521456057298258,-0.0389461235964753,-0.3016718739816462,-0.34739957757947926,-0.33616563939003063,0.34388374576385305,-0.3036600381939008,-0.22333958408313523,-0.14194337091590487,-0.18592916982111957,-0.18512833895667558,-0.10657479267713377,-0.13443740783358926,-0.13403173898115595,-0.020150238511453155,-0.19863739336933198,-0.2437375198060126,0.05082296404822189,0.17072419601870237,0.14692090358443857,0.4693193276225823,1.0,-0.07651984842405196,0.11358204484415878
cp_phase_slope_delay_s,-0.28656689808527214,-0.2155750145154459,-0.10979353252911182,0.2882960928150823,-0.23499611719481966,-0.037316885123007064,0.3358724795970947,0.3083932319529037,0.21770531474146496,-0.1717192793153362,0.3283335650206394,0.28399373347410656,0.4687143745512379,0.3657132519651511,0.37341370791214173,0.43927928353076445,0.4321720240920738,0.435756070311345,0.5334111417086469,0.32756503600081155,0.2882960927867868,-0.019740583462740765,-0.1720584715858422,-0.4105395393507576,-0.05464680347699142,-0.07651984842405196,1.0,-0.15465810231625865
cp_phase_residual_circvar,0.345132219418533,0.36619327722611755,0.22923211636942517,-0.251051595605886,0.22511034445678196,0.020152471916285216,-0.3701569391903228,-0.38231702267988277,-0.364617289933779,0.34925423984195336,-0.3791999797158911,-0.23228012078677807,0.10652802717613744,0.2472232220725223,0.24016838414060684,0.17638822065305065,0.21370310303191342,0.20732255776835973,-0.2145507374983279,0.30030607107852036,-0.2510515956325191,-0.6343779115508072,-0.33233084575578314,-0.2119710669323757,0.0461163130051119,0.11358204484415878,-0.15465810231625865,1.0
