stage,feature_a,feature_b,pair_type,pearson,spearman,abs_pearson,abs_spearman
stage1,fp_to_total_ratio,skewness_total,cir_cir,0.7634553671609294,0.6598256955361884,0.7634553671609294,0.6598256955361884
stage1,skewness_total,k_factor_estimate,cir_cir,0.7257053806860339,0.6598256955361884,0.7257053806860339,0.6598256955361884
stage1,skewness_total,f_r_fp,cp_cir,0.7634553671590781,0.6598256955361884,0.7634553671590781,0.6598256955361884
stage1,fp_to_total_ratio,peak_to_avg_ratio,cir_cir,0.7958231389265071,0.6577267895251988,0.7958231389265071,0.6577267895251988
stage1,peak_to_avg_ratio,f_r_fp,cp_cir,0.7958231389172113,0.6577267895251988,0.7958231389172113,0.6577267895251988
stage1,peak_to_avg_ratio,k_factor_estimate,cir_cir,0.763578271803103,0.6577267895251988,0.763578271803103,0.6577267895251988
stage1,fp_kurtosis,k_factor_estimate,cir_cir,-0.40488235961107405,-0.6547693339005973,0.40488235961107405,0.6547693339005973
stage1,fp_to_total_ratio,fp_kurtosis,cir_cir,-0.40291517555385725,-0.6547693339005973,0.40291517555385725,0.6547693339005973
stage1,fp_kurtosis,f_r_fp,cp_cir,-0.4029151755595439,-0.6547693339005973,0.4029151755595439,0.6547693339005973
stage1,energy_concentration_50ns,xpr_all_db,cp_cir,0.43069264608881075,0.6489174796574977,0.43069264608881075,0.6489174796574977
stage1,energy_concentration_50ns,s3_all,cp_cir,0.4191909965515636,0.6489174796574977,0.4191909965515636,0.6489174796574977
stage1,rms_delay_spread,s3_all,cp_cir,-0.5615213126457121,-0.6451079765675529,0.5615213126457121,0.6451079765675529
stage1,rms_delay_spread,xpr_all_db,cp_cir,-0.5901599571947166,-0.6451079765675529,0.5901599571947166,0.6451079765675529
stage1,mean_excess_delay,xpr_all_db,cp_cir,-0.4361598376093039,-0.6429621083291231,0.4361598376093039,0.6429621083291231
stage1,mean_excess_delay,s3_all,cp_cir,-0.4247649167436559,-0.6429621083291231,0.4247649167436559,0.6429621083291231
stage1,energy_concentration_50ns,xpr_late_db,cp_cir,0.42365339067472924,0.6427733536414837,0.42365339067472924,0.6427733536414837
stage1,energy_concentration_50ns,s3_late,cp_cir,0.41674513809642044,0.6427733536414837,0.41674513809642044,0.6427733536414837
stage1,rms_delay_spread,xpr_late_db,cp_cir,-0.5841907970583821,-0.638967557663062,0.5841907970583821,0.638967557663062
stage1,rms_delay_spread,s3_late,cp_cir,-0.55951676065904,-0.638967557663062,0.55951676065904,0.638967557663062
stage1,mean_excess_delay,s3_late,cp_cir,-0.42232526368211176,-0.6351212656801406,0.42232526368211176,0.6351212656801406
stage1,mean_excess_delay,xpr_late_db,cp_cir,-0.4291052975684065,-0.6351212656801406,0.4291052975684065,0.6351212656801406
stage1,skewness_total,num_significant_peaks,cir_cir,-0.8549436336980408,-0.6282477527283828,0.8549436336980408,0.6282477527283828
stage1,energy_concentration_50ns,lambda_l_late_fraction,cp_cir,-0.41899686444678574,-0.6203569458174384,0.41899686444678574,0.6203569458174384
stage1,mean_excess_delay,skewness_total,cir_cir,-0.8597605139084362,-0.6202275346919482,0.8597605139084362,0.6202275346919482
stage1,energy_concentration_50ns,peak_to_avg_ratio,cir_cir,0.855886841922726,0.6199331608814623,0.855886841922726,0.6199331608814623
stage1,rms_delay_spread,peak_to_avg_ratio,cir_cir,-0.7928887952126241,-0.6195396159488462,0.7928887952126241,0.6195396159488462
stage1,rms_delay_spread,lambda_l_late_fraction,cp_cir,0.5527122688955342,0.616227659580851,0.5527122688955342,0.616227659580851
stage1,mean_excess_delay,lambda_l_late_fraction,cp_cir,0.4247441592780631,0.6127640969737885,0.4247441592780631,0.6127640969737885
stage1,delta_p_l_given_r_db,f_l_fp,cp_cp,-0.6962617951296041,-0.612623268958141,0.6962617951296041,0.612623268958141
stage1,xpr_fp_db,delta_f_l_minus_r_fp,cp_cp,-0.6303210074213975,-0.6110299687811076,0.6303210074213975,0.6110299687811076
stage1,delta_f_l_minus_r_fp,gamma_anchor_linear,cp_cp,0.0892305631677053,0.6110299687811076,0.0892305631677053,0.6110299687811076
stage1,s3_fp,delta_f_l_minus_r_fp,cp_cp,-0.662453885564105,-0.6110296021144003,0.662453885564105,0.6110296021144003
stage1,mean_excess_delay,delta_p_l_given_r_db,cp_cir,-0.4768731257141287,-0.6079978986664332,0.4768731257141287,0.6079978986664332
stage1,energy_concentration_50ns,delta_p_l_given_r_db,cp_cir,0.4716570727951806,0.6061556340172927,0.4716570727951806,0.6061556340172927
stage1,s3_fp,delta_tau_l_given_r_s,cp_cp,0.5010835266809859,0.6042451043723495,0.5010835266809859,0.6042451043723495
stage1,xpr_fp_db,delta_tau_l_given_r_s,cp_cp,0.5465244152928281,0.6042443179435996,0.5465244152928281,0.6042443179435996
stage1,delta_tau_l_given_r_s,gamma_anchor_linear,cp_cp,-0.042189924014567476,-0.6042443179435996,0.042189924014567476,0.6042443179435996
stage1,peak_to_avg_ratio,gamma_delay_linear,cp_cir,-0.3036600381939008,-0.6035932123992458,0.3036600381939008,0.6035932123992458
