x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,snr_db,1,1,"[1.27, 29.65]","[10.00, 16.00]",120,0.790518518518519,0.875555555555556,0.0850370370370369
los_angle_from_anchor_bore_deg,snr_db,2,1,"[29.65, 38.57]","[10.00, 16.00]",111,0.786144578313253,0.82960413080895,0.0434595524956971
los_angle_from_anchor_bore_deg,snr_db,3,1,"[38.57, 45.77]","[10.00, 16.00]",118,0.812863372093023,0.872093023255814,0.0592296511627907
los_angle_from_anchor_bore_deg,snr_db,4,1,"[45.77, 53.49]","[10.00, 16.00]",120,0.79763148728666,0.879136189481017,0.0815047021943575
los_angle_from_anchor_bore_deg,snr_db,5,1,"[53.49, 77.65]","[10.00, 16.00]",131,0.728846153846154,0.825824175824176,0.096978021978022
los_angle_from_anchor_bore_deg,snr_db,1,2,"[1.27, 29.65]","[16.00, 22.00]",126,0.854742827604032,0.903592659601964,0.0488498319979324
los_angle_from_anchor_bore_deg,snr_db,2,2,"[29.65, 38.57]","[16.00, 22.00]",120,0.7090625,0.7853125,0.0762499999999999
los_angle_from_anchor_bore_deg,snr_db,3,2,"[38.57, 45.77]","[16.00, 22.00]",115,0.892249527410208,0.945179584120983,0.0529300567107752
los_angle_from_anchor_bore_deg,snr_db,4,2,"[45.77, 53.49]","[16.00, 22.00]",120,0.76037037037037,0.84037037037037,0.0800000000000001
los_angle_from_anchor_bore_deg,snr_db,5,2,"[53.49, 77.65]","[16.00, 22.00]",119,0.771551724137931,0.786997126436782,0.0154454022988506
los_angle_from_anchor_bore_deg,snr_db,1,3,"[1.27, 29.65]","[22.00, 28.00]",134,0.775797373358349,0.831613508442777,0.0558161350844277
los_angle_from_anchor_bore_deg,snr_db,2,3,"[29.65, 38.57]","[22.00, 28.00]",108,0.826262626262626,0.865454545454545,0.0391919191919192
los_angle_from_anchor_bore_deg,snr_db,3,3,"[38.57, 45.77]","[22.00, 28.00]",114,0.779264214046823,0.849498327759197,0.0702341137123746
los_angle_from_anchor_bore_deg,snr_db,4,3,"[45.77, 53.49]","[22.00, 28.00]",131,0.803869047619048,0.874702380952381,0.0708333333333334
los_angle_from_anchor_bore_deg,snr_db,5,3,"[53.49, 77.65]","[22.00, 28.00]",113,0.796640141467728,0.840848806366048,0.0442086648983201
los_angle_from_anchor_bore_deg,snr_db,1,4,"[1.27, 29.65]","[28.00, 34.00]",98,0.891295293627655,0.90295710120783,0.0116618075801751
los_angle_from_anchor_bore_deg,snr_db,2,4,"[29.65, 38.57]","[28.00, 34.00]",113,0.700213371266003,0.761379800853485,0.0611664295874821
