x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,snr_db,1,2,"[1.27, 29.65]","[16.00, 22.00]",126,0.84750581545619,0.899457224088912,0.0519514086327216
los_angle_from_anchor_bore_deg,snr_db,2,2,"[29.65, 38.57]","[16.00, 22.00]",120,0.6984375,0.78,0.0815625
los_angle_from_anchor_bore_deg,snr_db,3,2,"[38.57, 45.77]","[16.00, 22.00]",115,0.875708884688091,0.933837429111531,0.0581285444234405
los_angle_from_anchor_bore_deg,snr_db,4,2,"[45.77, 53.49]","[16.00, 22.00]",120,0.764814814814815,0.825925925925926,0.0611111111111111
los_angle_from_anchor_bore_deg,snr_db,5,2,"[53.49, 77.65]","[16.00, 22.00]",119,0.769755747126437,0.799209770114943,0.0294540229885057
los_angle_from_anchor_bore_deg,snr_db,1,3,"[1.27, 29.65]","[22.00, 28.00]",134,0.780018761726079,0.862335834896811,0.0823170731707318
los_angle_from_anchor_bore_deg,snr_db,2,3,"[29.65, 38.57]","[22.00, 28.00]",108,0.818585858585859,0.827474747474747,0.00888888888888895
los_angle_from_anchor_bore_deg,snr_db,3,3,"[38.57, 45.77]","[22.00, 28.00]",114,0.775441949354993,0.838509316770186,0.0630673674151934
los_angle_from_anchor_bore_deg,snr_db,4,3,"[45.77, 53.49]","[22.00, 28.00]",131,0.80625,0.882440476190476,0.0761904761904763
los_angle_from_anchor_bore_deg,snr_db,5,3,"[53.49, 77.65]","[22.00, 28.00]",113,0.774093722369584,0.824491600353669,0.050397877984085
los_angle_from_anchor_bore_deg,snr_db,1,4,"[1.27, 29.65]","[28.00, 34.00]",98,0.890878800499792,0.897126197417742,0.00624739691795084
los_angle_from_anchor_bore_deg,snr_db,2,4,"[29.65, 38.57]","[28.00, 34.00]",113,0.707681365576102,0.743598862019915,0.0359174964438123
los_angle_from_anchor_bore_deg,snr_db,3,4,"[38.57, 45.77]","[28.00, 34.00]",136,0.845899470899471,0.936507936507937,0.0906084656084656
los_angle_from_anchor_bore_deg,snr_db,4,4,"[45.77, 53.49]","[28.00, 34.00]",114,0.825457641549596,0.882077479778629,0.0566198382290336
los_angle_from_anchor_bore_deg,snr_db,5,4,"[53.49, 77.65]","[28.00, 34.00]",139,0.741483516483517,0.888736263736264,0.147252747252747
los_angle_from_anchor_bore_deg,snr_db,1,5,"[1.27, 29.65]","[34.00, 39.99]",122,0.778677462887989,0.811605937921728,0.0329284750337384
los_angle_from_anchor_bore_deg,snr_db,2,5,"[29.65, 38.57]","[34.00, 39.99]",148,0.735354456348302,0.777068611807613,0.0417141554593117
los_angle_from_anchor_bore_deg,snr_db,3,5,"[38.57, 45.77]","[34.00, 39.99]",117,0.81661316211878,0.882423756019262,0.0658105939004815
los_angle_from_anchor_bore_deg,snr_db,4,5,"[45.77, 53.49]","[34.00, 39.99]",115,0.810755336617406,0.898193760262726,0.0874384236453203
los_angle_from_anchor_bore_deg,snr_db,5,5,"[53.49, 77.65]","[34.00, 39.99]",98,0.811506849315069,0.907945205479452,0.0964383561643836
los_angle_from_anchor_bore_deg,slab_placement,1,1,"[1.27, 29.65]","wall_y",143,0.795880149812734,0.811277569704536,0.015397419891802
los_angle_from_anchor_bore_deg,slab_placement,2,1,"[29.65, 38.57]","wall_y",156,0.704008049639443,0.78383364078484,0.0798255911453967
los_angle_from_anchor_bore_deg,slab_placement,3,1,"[38.57, 45.77]","wall_y",150,0.78587962962963,0.817708333333333,0.0318287037037038
los_angle_from_anchor_bore_deg,slab_placement,4,1,"[45.77, 53.49]","wall_y",155,0.737581825182903,0.832306507508664,0.0947246823257605
los_angle_from_anchor_bore_deg,slab_placement,5,1,"[53.49, 77.65]","wall_y",146,0.757688338493292,0.837151702786378,0.0794633642930858
los_angle_from_anchor_bore_deg,slab_placement,1,2,"[1.27, 29.65]","ceiling",150,0.839270447420918,0.912510686805358,0.0732402393844401
los_angle_from_anchor_bore_deg,slab_placement,2,2,"[29.65, 38.57]","ceiling",148,0.817521367521368,0.858547008547008,0.041025641025641
los_angle_from_anchor_bore_deg,slab_placement,3,2,"[38.57, 45.77]","ceiling",153,0.887964148527529,1,0.112035851472471
los_angle_from_anchor_bore_deg,slab_placement,4,2,"[45.77, 53.49]","ceiling",141,0.888822115384615,0.953725961538461,0.064903846153846
los_angle_from_anchor_bore_deg,slab_placement,5,2,"[53.49, 77.65]","ceiling",158,0.900219298245614,0.957236842105263,0.0570175438596491
los_angle_from_anchor_bore_deg,slab_placement,1,3,"[1.27, 29.65]","wall_x",163,0.777556644213105,0.829454990814452,0.0518983466013472
los_angle_from_anchor_bore_deg,slab_placement,2,3,"[29.65, 38.57]","wall_x",140,0.6427540713255,0.717377860235003,0.0746237889095032
los_angle_from_anchor_bore_deg,slab_placement,3,3,"[38.57, 45.77]","wall_x",152,0.769720940452648,0.924631949022193,0.154911008569545
los_angle_from_anchor_bore_deg,slab_placement,4,3,"[45.77, 53.49]","wall_x",149,0.652247191011236,0.741760299625468,0.0895131086142321
los_angle_from_anchor_bore_deg,slab_placement,5,3,"[53.49, 77.65]","wall_x",146,0.678487460815047,0.806034482758621,0.127547021943574
los_angle_from_anchor_bore_deg,slab_placement,1,4,"[1.27, 29.65]","floor",144,0.837400177462289,0.906832298136646,0.0694321206743567
los_angle_from_anchor_bore_deg,slab_placement,2,4,"[29.65, 38.57]","floor",156,0.758967741935484,0.820645161290323,0.0616774193548386
los_angle_from_anchor_bore_deg,slab_placement,3,4,"[38.57, 45.77]","floor",145,0.815628815628816,0.881257631257631,0.0656288156288156
los_angle_from_anchor_bore_deg,slab_placement,4,4,"[45.77, 53.49]","floor",155,0.852237252861602,0.936004162330905,0.0837669094693028
los_angle_from_anchor_bore_deg,slab_placement,5,4,"[53.49, 77.65]","floor",150,0.779613127580961,0.858726363833949,0.0791132362529883
eps_r,xpol_coupling_db,1,1,"[2.00, 3.60]","[20.01, 24.00]",120,0.60003624501631,0.866618339978253,0.266582094961943
eps_r,xpol_coupling_db,2,1,"[3.60, 5.20]","[20.01, 24.00]",123,0.72180667433832,0.813291139240506,0.0914844649021863
eps_r,xpol_coupling_db,3,1,"[5.20, 6.80]","[20.01, 24.00]",120,0.863991662324127,0.91401771756123,0.0500260552371026
eps_r,xpol_coupling_db,4,1,"[6.80, 8.40]","[20.01, 24.00]",123,0.86959370904325,0.95478374836173,0.0851900393184797
eps_r,xpol_coupling_db,5,1,"[8.40, 10.00]","[20.01, 24.00]",114,0.849285714285714,0.88,0.0307142857142857
eps_r,xpol_coupling_db,1,2,"[2.00, 3.60]","[24.00, 28.00]",115,0.736822289156626,0.803463855421687,0.0666415662650602
eps_r,xpol_coupling_db,2,2,"[3.60, 5.20]","[24.00, 28.00]",100,0.78978978978979,0.813813813813814,0.0240240240240239
eps_r,xpol_coupling_db,3,2,"[5.20, 6.80]","[24.00, 28.00]",119,0.750452898550725,0.894021739130435,0.14356884057971
eps_r,xpol_coupling_db,4,2,"[6.80, 8.40]","[24.00, 28.00]",132,0.858958837772397,0.955205811138014,0.0962469733656173
eps_r,xpol_coupling_db,5,2,"[8.40, 10.00]","[24.00, 28.00]",134,0.907552083333333,1,0.0924479166666666
eps_r,xpol_coupling_db,1,3,"[2.00, 3.60]","[28.00, 32.00]",132,0.75,0.835326086956522,0.0853260869565218
eps_r,xpol_coupling_db,2,3,"[3.60, 5.20]","[28.00, 32.00]",114,0.702639492148346,0.824590711660541,0.121951219512195
eps_r,xpol_coupling_db,3,3,"[5.20, 6.80]","[28.00, 32.00]",119,0.750206782464847,0.840777502067825,0.0905707196029775
eps_r,xpol_coupling_db,4,3,"[6.80, 8.40]","[28.00, 32.00]",112,0.83695652173913,0.922282608695652,0.0853260869565217
eps_r,xpol_coupling_db,5,3,"[8.40, 10.00]","[28.00, 32.00]",123,0.89646017699115,0.976106194690265,0.0796460176991151
eps_r,xpol_coupling_db,1,4,"[2.00, 3.60]","[32.00, 36.00]",124,0.797752808988764,0.842375601926164,0.0446227929373997
eps_r,xpol_coupling_db,2,4,"[3.60, 5.20]","[32.00, 36.00]",133,0.778282828282828,0.829545454545454,0.0512626262626262
eps_r,xpol_coupling_db,3,4,"[5.20, 6.80]","[32.00, 36.00]",113,0.864625850340136,0.912244897959184,0.0476190476190477
eps_r,xpol_coupling_db,4,4,"[6.80, 8.40]","[32.00, 36.00]",120,0.820964749536178,0.855751391465677,0.0347866419294991
eps_r,xpol_coupling_db,5,4,"[8.40, 10.00]","[32.00, 36.00]",110,0.89928628072958,0.963521015067407,0.064234734337827
eps_r,xpol_coupling_db,1,5,"[2.00, 3.60]","[36.00, 40.00]",109,0.75970695970696,0.83956043956044,0.0798534798534799
eps_r,xpol_coupling_db,2,5,"[3.60, 5.20]","[36.00, 40.00]",130,0.707556935817805,0.817287784679089,0.109730848861284
eps_r,xpol_coupling_db,3,5,"[5.20, 6.80]","[36.00, 40.00]",129,0.746746746746747,0.785785785785786,0.0390390390390392
eps_r,xpol_coupling_db,4,5,"[6.80, 8.40]","[36.00, 40.00]",113,0.934922680412371,0.967139175257732,0.0322164948453608
eps_r,xpol_coupling_db,5,5,"[8.40, 10.00]","[36.00, 40.00]",119,0.74421768707483,0.87687074829932,0.13265306122449
eps_r,snr_db,1,1,"[2.00, 3.60]","[10.00, 16.00]",116,0.763392857142857,0.831473214285714,0.068080357142857
eps_r,snr_db,2,1,"[3.60, 5.20]","[10.00, 16.00]",111,0.776496034607066,0.852559480894016,0.0760634462869502
eps_r,snr_db,3,1,"[5.20, 6.80]","[10.00, 16.00]",116,0.833854166666667,0.889583333333333,0.0557291666666667
eps_r,snr_db,4,1,"[6.80, 8.40]","[10.00, 16.00]",132,0.850215517241379,0.879849137931034,0.0296336206896551
