case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,slab_placement_results_tbl
1059,2.24724452772084,0.567100741858009,0.255120778343312,-0.467015189138944,2.70338265645651,0.0367414042483199,30.5127161924772,11.0124488630782,37.1832393785583,4.86112770258298,brick,ideal,ceiling,1.76240544132231,17.5746764105219,17.5746764105219,2.24724452772084,0.567100741858009,17.5746764105219,0,1,0,8,3.4863813229572e-09,0.0679436001067312,leading_edge,1,1,R,1,1,2,0.0090607730702689,-40.9331174357464,0.00246998431487428,0.00253106766326638,0.0186099654211089,0.348475781347735,4.12162684664367e-09,2.65167969380822e-09,4.98054474708171e-09,0.143958448719256,9.96108949416347e-10,1.66896033107024,110.537257791524,10.1554533775578,0.999888099206982,1,157.540957166028,0.168167594790085,0,,2,0,1,1,1,0,1.76240544132231,dielectric,0.00294514482079909,0.000463736253622906,0.157457877910765,0,17.5746764105218,17.5746764105218,ceiling
1060,2.44383763670211,0.912367587248178,0.845915390352507,1.59255436381459,5.60249463772274,0.0242927237018493,28.1923546267648,6.13060139509902,20.6767978946128,3.56763722915965,drywall,ideal,wall_x,2.36584081495661,49.6597112409583,49.6597112409583,2.44383763670211,0.912367587248178,49.6597112409583,0,1,0,12,5.47859922178988e-09,0.0497511878974854,leading_edge,1,1,R,1,1,2,0.213311516042948,-13.4399535990754,0.0174788722628033,0.0790266387469808,0.0199678690596404,0.348169917325647,2.06514470926486e-08,3.66407697096843e-09,4.48249027237354e-09,0.157618672413339,9.96108949416347e-10,1.66807864279562,121.428218350915,10.6732298346732,0.995819849904353,1,169.333289843017,0.187110833599435,0,,2,0,1,1,0,1,2.36584081495661,dielectric,0.00219395118422358,0.000449890433589646,0.205059454752116,0,49.6597112409583,49.6597112409583,wall_x
1061,2.90271489828261,1.01352202487614,0.472764002102722,0.482630458458557,3.50036366725594,0.00244486675701999,29.4501172614448,10.4410294284533,35.8848668518981,3.51748170243232,brick,ideal,wall_x,2.00636180038544,19.6777641238181,19.6777641238181,2.90271489828261,1.01352202487614,19.6777641238181,0,1,0,10,4.48249027237354e-09,0.0580869422384519,leading_edge,1,1,R,1,1,2,0.123474605762547,-18.1677816177767,0.0011399995292752,0.237879203137029,0.0294589482213339,0.424572940676296,4.01495695469819e-09,2.26161367052786e-09,4.48249027237354e-09,0.205458965093841,9.96108949416347e-10,1.64455634937767,121.412190813643,10.6785457160967,0.999871272637138,1,167.998625353221,0.25858823656365,0,,2,0,1,1,1,0,2.00636180038544,dielectric,0.00258704051116871,0.000320720654004708,0.12397202618981,0,19.6777641238181,19.6777641238181,wall_x
1062,2.96811677045481,0.654333689219871,0.947682897136947,-0.790696854295313,9.42103097470191,0.00597585413032659,27.8642738495496,6.12450837178134,10.8385501622533,4.76057119828518,ceramic_tile,patch_ffd,wall_y,2.62238375069848,28.0764300497926,28.0764300497926,2.96811677045481,0.654333689219871,28.0764300497926,0,1,0,14,6.47470817120623e-09,0.586800608541776,leading_edge,1,1,R,1,1,2,3.95320995467498,7.50151741623894,2.79098980416381,0.0536322459721559,0.004880999924457,0.31080668403659,1.57198061311933e-07,1.17896883393267e-07,1.29494163424125e-08,0.0429991551752562,6.47470817120625e-09,1.71382693545657,37.3045025059527,5.14452280087124,0.574673259439501,49,51.9423047249041,0.0449311569658338,0,,2,0,1,1,0,1,2.62238375069848,dielectric,0.00197932101137982,0.000540382065198996,0.273013857829097,0,28.0764300497926,28.0764300497926,wall_y
1063,2.91911141646919,0.681879668716163,0.738263724112182,-0.357246314380911,7.5923456972379,0.0109727877702475,36.3647374356907,14.9736267116792,28.1866864758745,4.42803643817789,drywall,ideal,floor,2.38282692376781,20.1326721546389,20.1326721546389,2.91911141646919,0.681879668716163,20.1326721546389,0,1,0,12,5.47859922178988e-09,0.0495259912259634,leading_edge,1,1,R,1,1,2,0.0276493045747718,-31.6049533954506,0.00302087351836329,0.234571083854888,0.0171538818889583,0.325253837347567,7.9769854826501e-09,2.92452417817543e-09,6.9727626459144e-09,0.141870932829695,9.96108949416347e-10,1.68182476567841,111.88055239175,10.0720727010151,0.999290485496966,2,166.690431946003,0.165325867934432,0,,2,0,1,1,0,1,2.38282692376781,dielectric,0.00217831148619517,0.00065710057729855,0.301655930046211,0,20.1326721546389,20.1326721546389,floor
1064,2.40363147066046,0.396362836789684,1.76798343376027,0.66413426300019,8.8144060796136,0.0134849447184762,21.4672600130393,9.80198081382292,39.0176598337687,2.73306346015707,metal_pec,patch_ffd,floor,2.75607821185521,43.2554223970041,43.2554223970041,2.40363147066046,0.396362836789684,43.2554223970041,0,1,0,18,8.46692607003891e-09,2.99811219151158,leading_edge,1,1,R,1,1,2,1.97162583482566,3.94198889497704,3.68135143519658,0.325683503529839,0.0147740740401784,0.313188176000883,1.76735096035137e-08,3.31201594745485e-09,4.98054474708171e-09,0.149937763400148,8.46692607003895e-09,1.61880423324262,103.957108968486,9.60640797245953,0.998488347318436,4,154.839824652608,0.176384453919375,0,,2,0,1,1,0,1,2.75607821185521,PEC,0.00188330622669979,0.00154231767777535,0.818941527357466,0,43.2554223970041,43.2554223970041,floor
1065,2.41784246923325,0.362390546268488,0.60904907654839,1.36192175065157,9.84259129021208,0.0341048784249222,36.44098398544,11.1683330045422,13.1654514732079,4.68784949486053,concrete,ideal,wall_y,2.53981381998008,35.9731493125803,35.9731493125803,2.41784246923325,0.362390546268488,35.9731493125803,0,1,0,13,5.97665369649805e-09,0.0457291336737983,leading_edge,1,1,R,1,1,2,0.32410461310735,-9.91160667572753,0.0196361027051496,0.0625667220200049,0.0158069197116283,0.31239005103216,5.48904181853244e-08,1.11232086146952e-08,4.98054474708171e-09,0.135110820111361,2.49027237354087e-09,1.68205229688284,121.577497478366,10.6494440525103,0.97201353205394,1,166.512167436438,0.156217493816673,0,,2,0,1,1,0,1,2.53981381998008,dielectric,0.00204366919213757,0.000636076678185369,0.31124248514999,0,35.9731493125803,35.9731493125803,wall_y
1066,2.46511722798457,1.0061433247929,-1.74587787035903,0.341653715677968,5.75474484741157,0.00536828257106574,39.4428641045922,14.4739952301575,22.8767560542651,4.47799961175653,wood,patch_ffd,floor,2.30074371667952,50.6444060145376,50.6444060145376,2.46511722798457,1.0061433247929,50.6444060145376,0,1,0,11,4.98054474708171e-09,0.638951252343538,leading_edge,1,1,R,1,1,2,1.28333701400561,1.72893856192319,0.830858243675695,0.0343607014304278,0.0228366001813457,0.392807971998692,2.67891469041113e-08,4.71847331226208e-09,8.46692607003891e-09,0.171443888167207,4.98054474708173e-09,1.64026897704461,101.930202780158,9.5423570993353,0.994112291105584,2,152.147204342836,0.206918862487137,0,,2,0,1,1,0,1,2.30074371667952,dielectric,0.00225602670129189,0.000549315466100934,0.243488016248377,0,50.6444060145376,50.6444060145376,floor
1067,2.52866045198091,0.192637445203628,-1.43602606278243,1.24926707285532,2.39165459649129,0.00275754876220096,27.6571167803646,12.932157248858,39.7546025301103,2.20675936313439,ceramic_tile,ideal,wall_x,3.01327771048466,39.1729143158758,39.1729143158758,2.52866045198091,0.192637445203628,39.1729143158758,0,1,0,17,7.96887159533074e-09,0.0389626343826182,leading_edge,1,1,R,1,1,2,0.14558098675556,-16.747444699673,0.00332539275530211,0.134472284861294,0.0366083456540693,0.468781978516216,2.47947262809314e-09,2.10464805787028e-09,4.48249027237354e-09,0.239232721761535,1.49416342412452e-09,1.63462632836203,122.184803732229,10.7070777561126,0.999952230603549,1,171.250324351152,0.314462423141373,0,,2,0,1,1,1,0,3.01327771048466,dielectric,0.00172255588643493,0.000261654816891314,0.151899174332651,0,39.1729143158758,39.1729143158758,wall_x
1068,2.30822134595227,0.181125622707754,0.396480257960869,-0.0249422323806212,2.33110920729241,0.00291888422752932,30.4418651767131,12.997405055094,19.5455755134284,2.19299834963243,brick,ideal,ceiling,2.16387497923377,10.5788895565439,10.5788895565439,2.30822134595227,0.181125622707754,10.5788895565439,0,1,0,11,4.98054474708171e-09,0.0535326448902213,leading_edge,1,1,R,1,1,2,0.065323331658804,-23.7750838288187,0.00434316004650765,0.0738248423357851,0.0305150489886968,0.424749993189519,2.18037055923192e-08,3.65526428139461e-09,3.98443579766537e-09,0.214148258852871,9.96108949416347e-10,1.64391341602357,125.343641969285,10.8111990484763,0.994413791300473,2,173.876313997493,0.27250465659117,0,,2,0,1,1,1,0,2.16387497923377,dielectric,0.00239872419038576,0.000343471223557267,0.143189127342744,0,10.5788895565439,10.5788895565439,ceiling
1069,2.65219280176709,1.19924803461556,-0.132443996281491,1.34256845388391,3.51018659569268,0.00202997771500752,26.4385220636945,7.32568790156533,15.2489497751978,4.65649308323969,metal_pec,patch_ffd,wall_y,1.98269512580937,42.8772607548368,42.8772607548368,2.65219280176709,1.19924803461556,42.8772607548368,0,1,0,9,3.98443579766537e-09,1.06649156402547,leading_edge,1,1,R,1,1,2,2.10307284667573,5.88505081821878,1.56386982564046,0.0209845538351749,0.0172232973267668,0.341012461408112,7.79453823680863e-08,2.12796709784675e-08,4.98054474708171e-09,0.135968048122651,9.96108949416347e-10,1.67634542486511,112.699938537894,10.1096666174268,0.933728877697599,2,152.254071340904,0.15736460651394,0,,2,0,1,1,0,1,1.98269512580937,PEC,0.00261792102582573,0.0013196645811566,0.504088766673303,0,42.8772607548368,42.8772607548368,wall_y
1070,2.61455658981603,0.136519429549678,-1.72622441413519,-0.496598586961192,4.22473006488808,0.00262200665945835,23.2201858092866,5.46675795110442,35.1950311794184,1.50030503180772,metal_pec,ideal,ceiling,3.06057658819203,35.9369322732528,35.9369322732528,2.61455658981603,0.136519429549678,35.9369322732528,0,1,0,17,7.96887159533074e-09,0.0379618697061459,leading_edge,1,1,R,1,1,2,0.780961025628452,-2.16010232105393,0.0421233865055611,0.341048887540766,0.0280379755279625,0.415328518556992,5.22256925227346e-09,2.3256743529488e-09,4.48249027237354e-09,0.198511520505362,9.96108949416347e-10,1.64749220820328,121.115286653107,10.6599335132123,0.999762343622855,1,167.092232272979,0.247678570040744,0,,2,0,1,1,0,1,3.06057658819203,PEC,0.00169593509853146,0.00132913701647941,0.783719269463986,0,35.9369322732528,35.9369322732528,ceiling
1071,2.86657530510078,0.89832477867649,-0.972995980841605,1.62448095062071,7.2708387179893,0.0292351903910737,30.8164649555547,14.3544816775964,30.2433811251527,3.4667418748839,metal_pec,patch_ffd,wall_y,2.73123958532257,43.8923511350129,43.8923511350129,2.86657530510078,0.89832477867649,43.8923511350129,0,1,0,14,6.47470817120623e-09,0.512555438514909,leading_edge,1,1,R,1,1,2,0.639335762179947,-4.49141966223278,0.494934294902482,0.042223166838076,0.0166828856734532,0.34630936542488,1.4252687884838e-08,3.49294364179221e-09,5.97665369649805e-09,0.127570826442981,3.98443579766539e-09,1.68606985879224,95.5081340585204,9.31667931139261,0.997995837496447,1,142.999926800986,0.146224851609278,0,,2,0,1,1,0,1,2.73123958532257,PEC,0.001900433519473,0.00128954271833341,0.678551869939133,0,43.8923511350129,43.8923511350129,wall_y
1072,2.01780798828311,0.560119105944452,-0.13731291929505,-0.169636106030734,6.38528090001692,0.00751563076614424,24.9561989361118,11.948381370562,35.402281058574,1.14395872770443,concrete,patch_ffd,floor,1.47393626862505,8.51510052630644,8.51510052630644,2.01780798828311,0.560119105944452,8.51510052630644,0,1,0,6,2.49027237354086e-09,5.42152426891895,leading_edge,1,1,R,1,1,2,0.489886142473902,-6.44132670564703,0.174434155436952,0.00869417849414733,0.0331917615236988,0.453231233632432,9.07749278387355e-09,2.44298432605286e-09,4.48249027237354e-09,0.221801553176168,1.49416342412452e-09,1.63770073314004,115.738232451991,10.333802726114,0.999414803705921,1,166.105401177285,0.285019269932287,0,,2,0,1,1,0,1,1.47393626862505,dielectric,0.00352154931535845,0.00086998846772083,0.247047077809352,0,8.51510052630653,8.51510052630653,floor
1073,2.45838354037769,1.18027693314558,-0.205246134503601,-0.198334499316316,5.4995576961498,0.00131559451656042,36.8988500623281,8.09396802039532,13.4927263156779,3.42452743111655,ceramic_tile,ideal,ceiling,1.30958735821559,12.5882912887032,12.5882912887032,2.45838354037769,1.18027693314558,12.5882912887032,0,1,0,5,1.99221789883268e-09,0.0858475769122877,leading_edge,1,1,R,1,1,2,0.13867344274218,-17.476240980079,0.0234969776911228,0.000951599189773278,0.0231530067074438,0.376190128978897,4.32224494656575e-08,7.96535249115269e-09,4.48249027237354e-09,0.177429654597452,9.96108949416347e-10,1.65788785617733,121.566400148731,10.5658793029946,0.980348485767873,2,168.18440410909,0.215701496642968,0,,2,0,1,1,0,1,1.30958735821559,dielectric,0.00396349218331721,0.000909190875148677,0.229391363246676,0,12.5882912887032,12.5882912887032,ceiling
1074,2.2790343366555,0.669189247249225,-1.51679321738059,-0.136731217910899,6.77205151820314,0.00657744101202181,39.8963500490899,5.95516599582197,26.4597498740356,3.57602192761806,ceramic_tile,patch_ffd,wall_x,2.21606820791434,43.411059646518,43.411059646518,2.2790343366555,0.669189247249225,43.411059646518,0,1,0,10,4.48249027237354e-09,8.38390131079449,leading_edge,1,1,R,1,1,2,0.32350079696761,-9.76148885409335,0.207920250196471,0.153010846901433,0.0164632448078444,0.320011670297413,1.34203623962175e-08,3.07878979732532e-09,4.98054474708171e-09,0.132005946196016,2.49027237354087e-09,1.70248742384885,117.172848394287,10.4521411252693,0.998566921436762,1,165.263489146007,0.152081625003651,0,,2,0,1,1,0,1,2.21606820791434,dielectric,0.00234222901584047,0.000602210175502038,0.257109860491565,0,43.411059646518,43.411059646518,wall_x
1075,2.93113680278222,0.577485559417574,0.695334192942876,-0.770976194601941,8.38000604966587,0.00726460918217234,39.3640096532424,11.1130692247881,25.3634872915787,1.47871849282834,drywall,patch_ffd,floor,2.57246343179264,23.8027067085414,23.8027067085414,2.93113680278222,0.577485559417574,23.8027067085414,0,1,0,14,6.47470817120623e-09,0.787009605268165,leading_edge,1,1,R,1,1,2,1.75400391493354,4.38830744898493,1.8209987622726,0.0038732258426295,0.0357612465199811,0.465601703090711,1.91745226363126e-08,3.31085632657294e-09,4.48249027237354e-09,0.236107387243097,1.49416342412452e-09,1.63365666593258,118.380100815254,10.4472237041773,0.995590347431452,2,169.580785540073,0.309084527458619,0,,2,0,1,1,0,1,2.57246343179264,dielectric,0.00201773101747902,0.000690292062823586,0.342113025395252,0,23.8027067085414,23.8027067085414,floor
1076,2.16036571557988,0.233495389189007,-0.370456458967039,0.561295690050384,3.11976028286305,0.00570379927470781,20.0640721412023,9.33536813683475,30.3193151016746,4.12341653701339,drywall,ideal,ceiling,2.0408625858654,19.2402588889095,19.2402588889095,2.16036571557988,0.233495389189007,19.2402588889095,0,1,0,10,4.48249027237354e-09,0.0583476766016022,leading_edge,1,1,R,1,1,2,0.0211970612416162,-33.6954792833298,0.00293843992126656,0.117842655509301,0.0216507584432829,0.37517628498448,5.88885073511143e-09,2.63092962123668e-09,4.98054474708171e-09,0.160607576854368,9.96108949416347e-10,1.65963671725914,110.493196303965,10.1349314167278,0.999674739800716,1,158.123155287575,0.191337892058269,0,,2,0,1,1,1,0,2.0408625858654,dielectric,0.00254330658693395,0.000481307914556935,0.189244944761917,0,19.2402588889095,19.2402588889095,ceiling
1077,2.01558790562027,1.34166216803374,-1.32348206111015,-1.34576945621835,6.52739713927625,0.00292597670512887,22.8177023067228,6.12914835701692,24.9994186795156,4.33872570835356,glass,ideal,floor,2.00421458311034,70.3511716984699,70.3511716984699,2.01558790562027,1.34166216803374,70.3511716984699,0,1,0,10,4.48249027237354e-09,0.0581915968345326,leading_edge,1,1,R,1,1,2,0.0442953092822612,-27.2644184258993,0.0098222392808147,0.00443496741714056,0.0283464945535817,0.427146050259735,1.20078478018554e-08,2.94779343457119e-09,4.48249027237354e-09,0.197115256280249,9.96108949416347e-10,1.64414651287224,109.87868343277,9.99191486299877,0.998454565288764,2,159.712785734365,0.24550878295061,0,,2,0,1,1,0,1,2.00421458311034,dielectric,0.00258981213957806,0.000592837495506578,0.228911389535446,0,70.3511716984699,70.3511716984699,floor
