case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,slab_placement_results
330,2.65019444912162,1.24686943874238,-1.92373105367604,1.45205721942181,4.41854247585484,0.00125176464930008,35.1816579243028,12.880733986675,13.9043987028753,2.7231958857997,metal_pec,patch_ffd,floor,2.78900204734748,59.7904596220219,59.7904596220219,2.65019444912162,1.24686943874238,59.7904596220219,0,1,0,14,6.47470817120623e-09,0.485330956402665,leading_edge,1,1,R,1,1,2,2.37553554221753,4.12405599892196,0.961480338246638,0.00100374765339606,0.0132364667034349,0.335006330761066,6.91616907215294e-08,1.88659607417195e-08,9.96108949416342e-09,0.100788822647287,1.49416342412452e-09,1.69638047799409,78.7719606375688,8.31151658742113,0.943459224052646,2,121.243693453505,0.112085820534404,0,,2,0,1,1,0,1,2.78900204734748,PEC,0.00186107402201267,0.00113293958484443,0.608755789100324,0,59.7904596220219,59.7904596220219,floor
331,2.48759042490876,1.14361679384589,-0.0585640936395824,0.206046178216875,9.46524910813433,0.00509383780995687,39.9128333580594,5.54242703274772,21.5197025629121,1.48201483603696,drywall,patch_ffd,floor,1.36093714094882,9.05583701839052,9.05583701839052,2.48759042490876,1.14361679384589,9.05583701839052,0,1,0,6,2.49027237354086e-09,4.54667515347632,leading_edge,1,1,R,1,1,2,0.86878483697014,-1.80028147520392,1.13161837952402,0.00210258407497055,0.0263206501883592,0.412244498419703,2.0093596179308e-08,3.75545829827854e-09,4.48249027237354e-09,0.185850478061786,9.96108949416347e-10,1.65145574885017,111.378219693936,10.0773258605798,0.995939997495958,2,159.213537152126,0.228275609152651,0,,2,0,1,1,1,0,1.36093714094882,dielectric,0.0038139448924436,0.000726915225169815,0.190594055674486,0,9.05583701839052,9.05583701839052,floor
332,2.16267156504344,0.84731319618372,-0.0313568411923404,1.56547620969175,7.15731920992197,0.036295920352406,29.6199254834525,8.16171509047875,12.1579849711065,1.76263167506353,metal_pec,patch_ffd,wall_x,2.04496128401731,49.9677115742107,49.9677115742107,2.16267156504344,0.84731319618372,49.9677115742107,0,1,0,10,4.48249027237354e-09,1.6086770320211,leading_edge,1,1,R,1,1,2,0.630915484052121,-8.39762131165489,0.416634987383193,0.0677295051133967,0.0133318859306524,0.392812116313596,5.96421924161313e-08,1.84262841120884e-08,1.59377431906615e-08,0.0973182911913023,4.48249027237356e-09,1.6531196847434,59.9473988073566,7.40902320904445,0.958882278125854,2,88.8208558249626,0.10781019515698,0,,2,0,1,1,0,1,2.04496128401731,PEC,0.0025382090596169,0.000966582140594746,0.380812658804644,0,49.9677115742107,49.9677115742107,wall_x
333,2.36589516109221,0.38708099444728,-0.914371758423034,1.42395525360883,4.07998650317449,0.00119732710862069,25.4963406742835,14.5663622270035,25.7413430748605,3.91632485046331,concrete,ideal,wall_x,2.60373381569554,40.5365988998821,40.5365988998821,2.36589516109221,0.38708099444728,40.5365988998821,0,1,0,14,6.47470817120623e-09,0.0446831890358941,leading_edge,1,1,R,1,1,2,0.187633032542966,-14.5413028139405,0.00251231384698866,0.380211547099939,0.0293684104104407,0.42420713055839,9.48940966927128e-09,2.5020316060007e-09,4.48249027237354e-09,0.204913180515233,9.96108949416347e-10,1.64489696380764,121.463552352753,10.6771390391648,0.998931636509665,1,167.771283316424,0.257724283051279,0,,2,0,1,1,1,0,2.60373381569554,dielectric,0.0019934984238287,0.000372266592965636,0.186740349787016,0,40.5365988998821,40.5365988998821,wall_x
334,2.61933253528984,1.48379809530255,1.4557642415166,-1.63655011119544,3.22226712145316,0.00994421211294937,20.8121589108412,6.34719945750455,10.2434540299154,3.50825283042891,glass,ideal,ceiling,2.46718143996939,62.5963882930741,62.5963882930741,2.61933253528984,1.48379809530255,62.5963882930741,0,1,0,13,5.97665369649805e-09,0.0457311190180968,leading_edge,1,1,R,1,1,2,0.234148667124025,-13.0839933345964,0.0520077543577753,0.00218952115456394,0.0296455450657225,0.437621154935506,6.78740238003897e-08,1.58607876470354e-08,4.48249027237354e-09,0.203181970637101,9.96108949416347e-10,1.64061335078773,117.40725808627,10.408661744987,0.954736316266868,1,159.131420104761,0.254991683357813,0,,2,0,1,1,0,1,2.46718143996939,dielectric,0.00210383361903166,0.000521040748744141,0.247662526176364,0,62.5963882930741,62.5963882930741,ceiling
335,2.88221979382555,0.92111869368463,-1.66499219496113,-1.03041472963682,8.73236537777239,0.00324772020096791,36.4083729419818,11.710774206983,23.8731539455377,2.20001428740575,glass,patch_ffd,wall_x,2.77125802647605,44.9553711894625,44.9553711894625,2.88221979382555,0.92111869368463,44.9553711894625,0,1,0,16,7.47081712062257e-09,6.36154655059723,leading_edge,1,1,R,1,1,2,0.524596051834525,-5.68939129884766,0.713735555602095,0.02117351267055,0.0319676838963227,0.439334038093167,1.20690765816882e-08,2.57269764401835e-09,4.48249027237354e-09,0.220035445107728,2.98832684824904e-09,1.63020545019952,121.569204686554,10.6454540399026,0.998607790037679,1,170.260765785157,0.282109544244763,0,,2,0,1,1,0,1,2.77125802647605,dielectric,0.00187299024777525,0.000642725974082261,0.343155002993579,0,44.9553711894625,44.9553711894625,wall_x
336,2.05826954316152,0.441545335109791,1.42093302965255,-0.323700497973979,2.84508733062062,0.00201394194810196,32.3176911562592,12.2936986544609,17.2420898926994,3.38518338644335,glass,ideal,floor,2.17660971514111,42.0319354910014,42.0319354910014,2.05826954316152,0.441545335109791,42.0319354910014,0,1,0,11,4.98054474708171e-09,0.0504957483355648,leading_edge,1,1,R,1,1,2,0.0934628065859719,-20.7942456975,0.0214895010124121,0.0747773592047853,0.0307178748527156,0.420774557573649,3.23999021334586e-08,5.30067511262497e-09,3.98443579766537e-09,0.219537778317777,9.96108949416347e-10,1.64025208038955,129.064178082776,10.9754786183596,0.9884920943266,2,178.355019909002,0.281291998790898,0,,2,0,1,1,1,0,2.17660971514111,dielectric,0.00238468992468043,0.000465115858701003,0.19504248912501,0,42.0319354910014,42.0319354910014,floor
337,2.23177229385309,0.93571376401738,0.275045006886235,0.791190695407314,2.00259710053906,0.00371612840087066,27.469665794484,12.3250570865018,19.6766775765255,4.76531458687198,glass,ideal,wall_y,1.54317859791797,32.8743496765729,32.8743496765729,2.23177229385309,0.93571376401738,32.8743496765729,0,1,0,7,2.98832684824903e-09,0.0753498506507958,leading_edge,1,1,R,1,1,2,0.0851399529426931,-21.4162355228184,0.00715560850902579,0.0211584439587353,0.0318556268552825,0.440218266636361,2.17099510923393e-08,3.5476462424936e-09,4.48249027237354e-09,0.217155725242832,9.96108949416347e-10,1.63972934017842,122.264717211377,10.713602410543,0.995066274398111,1,168.983052674663,0.277393259738907,0,,2,0,1,1,1,0,1.54317859791797,dielectric,0.00336353761299018,0.000202827056506171,0.0603017060736414,0,32.8743496765729,32.8743496765729,wall_y
338,2.27022604072833,0.164986251485795,1.14695630304427,-1.30174339075029,2.36271250028443,0.00156304830976239,24.6619696059346,7.52506874584292,16.7504198977873,2.3925176533892,metal_pec,ideal,wall_x,2.72801744618047,39.492257584547,39.492257584547,2.27022604072833,0.164986251485795,39.492257584547,0,1,0,15,6.9727626459144e-09,0.0426678733862732,leading_edge,1,1,R,1,1,2,0.123028886666784,-20.1586436720034,0.0113256906637245,0.0182364189072968,0.0240915554134061,0.445463939940683,2.86769322545366e-08,6.24364778883832e-09,9.96108949416343e-09,0.162747738661077,9.96108949416347e-10,1.63848029696746,75.5246852653891,8.21562799742566,0.990537041383635,2,124.805247811736,0.194383158070918,0,,2,0,1,1,0,1,2.72801744618047,PEC,0.00190267817565678,0.00113534593087169,0.596709388585793,0,39.492257584547,39.492257584547,wall_x
339,2.04163751918639,0.825322636909433,-0.588566531898477,0.208041281652764,4.11224778378935,0.00182271141846487,35.1594934666795,7.98966071696029,10.1402406751421,2.41492560473262,glass,ideal,wall_y,1.36715530580514,27.1683914748989,27.1683914748989,2.04163751918639,0.825322636909433,27.1683914748989,0,1,0,5,1.99221789883268e-09,0.0866861207194563,leading_edge,1,1,R,1,1,2,0.21830262702155,-13.3696971041025,0.0120295927225724,0.481518582980533,0.0174041235312149,0.334322656603575,5.8363735413588e-08,1.30615921110765e-08,4.98054474708171e-09,0.137121581143217,1.49416342412452e-09,1.68837029630725,117.706976463302,10.4542168536973,0.960579091467408,1,160.071366897944,0.158911821348931,0,,2,0,1,1,1,0,1.36715530580514,dielectric,0.0037965981155314,0.000354148539555742,0.0932804918453089,0,27.1683914748989,27.1683914748989,wall_y
