scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage,raw_total_snr_threshold_db,lp_raw_total_snr_mean_db,cp_raw_total_snr_mean_db,delta_raw_total_snr_mean_db,lp_raw_total_snr_p05_db,cp_raw_total_snr_p05_db,coverage_lp_raw_total_snr,coverage_cp_raw_total_snr,delta_coverage_raw_total_snr,best_port_threshold_db,lp_best_port_snr_mean_db,cp_best_port_snr_mean_db,delta_best_port_snr_mean_db,lp_best_port_outage,cp_best_port_outage,delta_best_port_outage,lp_fixed_single_rate_raw_mean,cp_fixed_single_rate_raw_mean,delta_fixed_single_rate_raw_mean,lp_fixed_single_rate_raw_p05,cp_fixed_single_rate_raw_p05,lp_fixed_egc_rate_raw_mean,cp_fixed_egc_rate_raw_mean,delta_fixed_egc_rate_raw_mean,lp_fixed_egc_rate_raw_p05,cp_fixed_egc_rate_raw_p05,lp_port_power_imbalance_raw_db_mean,cp_port_power_imbalance_raw_db_mean
straight_corridor,False,P0,10.0,768,2.9043611670852627e-07,2.9043611671365553e-07,5.129242895855811e-18,2.9043611670852626e-09,0.546875,1.0,4.0023010017401766e-08,4.0023010013912884e-08,-3.48888238762616e-18,-4.4403980400643604e-17,4.0023010017401766e-08,0.05078125,0.05078125,0.0,-30.0,-30.23264434296698,-24.21204442963896,6.0205999133280175,-36.75317181288148,-30.732571899687276,0.4791666666666667,0.8997395833333334,0.4205729166666667,-30.0,-32.369444174364794,-26.369199053049574,6.00024512131522,0.6875,0.24088541666666666,-0.44661458333333337,0.0010041524592771394,0.005353167995937817,0.004349015536660678,0.00012124326317457159,0.0004381682981732885,0.0012818158402030267,0.005297285759374881,0.004015469919171855,0.00018154097502424396,0.00034742625181903504,-1.3953050113361252,0.624514780404592
straight_corridor,False,P0,20.0,768,2.90435566381554e-06,2.9043556638800523e-06,6.451172787827539e-17,2.9043556638155403e-08,0.6888020833333334,1.0,4.0023005277013057e-07,4.002300527715578e-07,1.427250516123496e-18,-1.300398861942692e-16,4.0023005277013057e-07,0.05078125,0.05078125,0.0,-30.0,-20.23264434296698,-14.212044429638967,6.0205999133280175,-26.753171812881483,-20.732571899687276,1.0,1.0,0.0,-30.0,-22.36944417436479,-16.369199053049574,6.00024512131522,0.00390625,0.0,-0.00390625,0.0099009462058572,0.05084818767123195,0.04094724146537474,0.0012117168448196926,0.0043728097528316625,0.012643640966259598,0.050490572390848,0.0378469314245884,0.001813759501293849,0.003467294384441362,-1.3953050113361252,0.624514780404592
straight_corridor,False,P1,0.0,5120,2.962798719917359e-08,2.9627987200380326e-08,1.2067363023594887e-18,2.962798719917359e-10,0.53359375,1.0,3.346947395780251e-09,3.346947418775145e-09,2.2994893937215735e-17,-3.48888106413718e-17,4.002301037096177e-09,0.077734375,0.077734375,0.0,-30.0,-40.67702872168847,-34.656428808323334,6.020599913365142,-47.54068983475761,-41.52008992123721,0.0095703125,0.16171875,0.15214843749999998,-30.0,-42.74919073109917,-36.902700613856005,5.846490117243161,0.9962890625,0.9294921875,-0.06679687500000009,0.00011582617795878143,0.0004211299415914525,0.00030530376363267103,7.484200293751028e-06,4.0517914689381256e-05,0.00012663047248373296,0.00044734939603047056,0.0003207189235467377,7.74056175306509e-06,3.061446278751972e-05,-0.023532008377560733,-0.049087407081900424
straight_corridor,False,P1,10.0,5120,2.9627978160129996e-07,2.962797816093451e-07,8.045103846830248e-18,2.9627978160129997e-09,0.5818359375,1.0,3.3469473820972e-08,3.3469473838892155e-08,1.79201532869121e-17,-4.440392216712848e-17,4.0023010017401766e-08,0.077734375,0.077734375,0.0,-30.0,-30.677028721688476,-24.656428808323334,6.0205999133651416,-37.5406898347576,-31.5200899212372,0.4306640625,0.8830078125,0.45234375000000004,-30.0,-32.74919073109917,-26.902700613856005,5.846490117243161,0.7177734375,0.262890625,-0.4548828125,0.0011544814531728768,0.004188950182101876,0.003034468728929,7.483885448843875e-05,0.0004050904368778124,0.0012609974070500237,0.004445859590646861,0.003184862183596837,7.74026370398419e-05,0.00030609370519536604,-0.023532008377560733,-0.049087407081900424
straight_corridor,False,P1,20.0,5120,2.9627887743896567e-06,2.9627887744726706e-06,8.301406092537687e-17,2.9627887743896567e-08,0.6619140625,1.0,3.346947094512207e-07,3.346947094746913e-07,2.3470594754147018e-17,-1.2686867954304384e-16,4.0023005277013057e-07,0.077734375,0.077734375,0.0,-30.0,-20.677028721688476,-14.656428808323335,6.020599913365142,-27.5406898347576,-21.5200899212372,0.9890625,1.0,0.010937500000000044,-30.0,-22.74919073109917,-16.902700613856005,5.846490117243161,0.041796875,0.0005859375,-0.041210937499999996,0.011220862876573428,0.040010714915517366,0.02878985203894393,0.0007480739483939231,0.00404207325888799,0.012174612319717412,0.0421341801551145,0.029959567835397084,0.0007737285198391919,0.0030558606269379725,-0.023532008377560733,-0.049087407081900424
straight_corridor,False,P2,0.0,5120,6.420731446828146e-08,6.42073144687919e-08,5.104468887400842e-19,6.420731446828147e-10,0.5248046875,1.0,3.853880472139131e-09,3.853880496244122e-09,2.4104990998777212e-17,-4.1232220531024554e-17,4.002301037096177e-09,0.055078125,0.055078125,0.0,-30.0,-38.83421344019622,-32.81361352690813,6.020599913288089,-46.93097233691547,-40.91037242344474,0.0646484375,0.2857421875,0.22109375000000003,-30.0,-40.87100970163303,-35.06528802211344,5.80572167951959,0.963671875,0.8263671875,-0.1373046874999999,0.000249285383235933,0.0006798294797474375,0.0004305440965115044,8.909313176979672e-06,3.997981880086949e-05,0.00025008074354223073,0.0010095004634719954,0.0007594197199297646,1.0174807896778091e-05,4.122877073682281e-05,-0.13187518717531527,-0.07439931207052788
straight_corridor,False,P2,10.0,5120,6.420724892818722e-07,6.420724892869501e-07,5.077834273805959e-18,6.420724892818722e-09,0.5453125,1.0,3.853880455508814e-08,3.853880455492956e-08,-1.5858044959376604e-19,-5.3918941048656556e-17,4.0023010017401766e-08,0.055078125,0.055078125,0.0,-30.0,-28.83421344019622,-22.813613526908128,6.0205999132880885,-36.93097233691547,-30.91037242344474,0.554296875,0.9197265625,0.36542968749999993,-30.0,-30.871009701633035,-25.065288022113442,5.80572167951959,0.57890625,0.1921875,-0.38671874999999994,0.0024700619967735335,0.006730130178689539,0.0042600681819160045,8.908996214831675e-05,0.00039971168129308225,0.0024817755305395683,0.009801915918635828,0.007320140388096261,0.00010174281473441081,0.0004122201327201177,-0.13187518717531527,-0.07439931207052788
straight_corridor,False,P2,20.0,5120,6.420659354737291e-06,6.420659354788299e-06,5.1006878921575654e-17,6.420659354737292e-08,0.565234375,1.0,3.853880061453194e-07,3.853880061345356e-07,-1.0783788209731311e-17,-2.7276578483956607e-16,4.0023005277013057e-07,0.055078125,0.055078125,0.0,-30.0,-18.834213440196216,-12.813613526908131,6.0205999132880885,-26.930972336915467,-20.91037242344474,0.994140625,1.0,0.005859375,-30.0,-20.87100970163303,-15.06528802211344,5.80572167951959,0.0259765625,0.0001953125,-0.025781250000000002,0.023033444600926427,0.06202282293003643,0.03898937832911,0.0008905828495480018,0.003988498541456391,0.023332579808765425,0.08237031251718131,0.05903773270841588,0.0010169021805016179,0.004115462901184371,-0.13187518717531527,-0.07439931207052788
factory_lite,False,P0,0.0,2038,5.6920292588237346e-08,5.6920292587241315e-08,-9.960223618602241e-19,5.692029258823735e-10,0.5049067713444554,1.0,2.3603416957147213e-10,2.360341878088013e-10,1.8237329178748233e-17,-4.440391554968358e-17,2.3603416957147213e-10,0.050049067713444556,0.050049067713444556,0.0,-30.0,-40.51114041983478,-34.49054050662445,6.020599913210326,-58.966628033627515,-52.94602812038538,0.042688910696761534,0.42198233562315995,0.3792934249263984,-30.0,-42.63887106781482,-36.5920147803122,6.046856287502621,0.9867517173699706,0.7011776251226692,-0.28557409224730135,0.00017397841339905797,0.0011275127379145567,0.0009535343245154989,5.714817594117815e-07,3.6770776554611597e-06,0.00020634277688025605,0.0011092391099195458,0.0009028963330392897,6.962779652307755e-07,2.1933334920003005e-06,-0.8234085932827521,1.003819273267218
factory_lite,False,P0,10.0,2038,5.692027233520493e-07,5.69202723342226e-07,-9.82325829927475e-18,5.692027233520493e-09,0.4308145240431796,1.0,2.3603418390695133e-09,2.360341847474544e-09,8.405030594217149e-18,-7.294923027461892e-17,2.3603418390695133e-09,0.050049067713444556,0.050049067713444556,0.0,-30.0,-30.51114041983477,-24.49054050662445,6.020599913210326,-48.966628033627515,-42.94602812038538,0.577036310107949,0.7443572129538764,0.16732090284592738,-30.0,-32.63887106781482,-26.592014780312194,6.046856287502622,0.4631992149165849,0.3120706575073602,-0.1511285574092247,0.001735226575156889,0.011103131089197806,0.009367904514040916,5.71480094679665e-06,3.677029900574413e-05,0.0020557375258057173,0.010981563128927728,0.008925825603122009,6.962758432083516e-06,2.193314077971613e-05,-0.8234085932827521,1.003819273267218
