stage,cv_scheme,feature_set,feature_family,n_features,model,n,n_pos,AUC,PR_AUC,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_at_0p5,features
stage2,room_label_stratified5,CIR12_only,cir_only,12,svm_rbf,900,437,0.6637341781536196,0.6212174910239805,0.6111111111111112,0.6117500531307609,0.6128318584070797,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
stage2,room_label_stratified5,CP_greedy_only,cp_only,3,logistic_l1,900,437,0.6550750997128467,0.682008690838783,0.6377777777777778,0.6337486593749846,0.5699208443271768,lambda_l_late_fraction;gamma_delay_linear;delta_f_l_minus_r_fp
stage2,room_label_stratified5,CIR12_only,cir_only,12,hist_gradient_boosting,900,437,0.6547143047778146,0.5971667843273719,0.6044444444444445,0.6039855484330132,0.5908045977011495,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
stage2,room_label_stratified5,CP_ratio_fp6_only,cp_only,6,extra_trees,900,437,0.6544622425629291,0.6731688542663814,0.6111111111111112,0.6093727604766448,0.5783132530120482,xpr_fp_db;s3_fp;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;gamma_anchor_linear
stage2,room_label_stratified5,CP_greedy_only,cp_only,3,logistic_l2,900,437,0.6541607563843405,0.6808756876500859,0.6333333333333333,0.629236251488897,0.5634920634920635,lambda_l_late_fraction;gamma_delay_linear;delta_f_l_minus_r_fp
stage2,room_label_stratified5,CP_late_energy5_only,cp_only,5,logistic_l1,900,437,0.6530141204264299,0.6944744417435529,0.6266666666666667,0.6216645002495911,0.5384615384615384,xpr_late_db;s3_late;lambda_l_late_fraction;gamma_delay_linear;xpr_all_db
stage2,room_label_stratified5,CP_late_energy5_only,cp_only,5,svm_rbf,900,437,0.6520577667287761,0.6829484142461395,0.64,0.6347519658381563,0.55,xpr_late_db;s3_late;lambda_l_late_fraction;gamma_delay_linear;xpr_all_db
stage2,room_label_stratified5,CIR12_only,cir_only,12,logistic_l2,900,437,0.6478344890303513,0.6224272306642471,0.6055555555555555,0.6053224666511805,0.5952109464082098,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
stage2,room_label_stratified5,CP_late_energy5_only,cp_only,5,logistic_l2,900,437,0.6476615051573906,0.6902358116219153,0.6322222222222222,0.6269998171313342,0.5409153952843273,xpr_late_db;s3_late;lambda_l_late_fraction;gamma_delay_linear;xpr_all_db
stage2,room_label_stratified5,CIR12_only,cir_only,12,random_forest,900,437,0.6460700535261528,0.5935051880693168,0.6088888888888889,0.6098472305281939,0.6148796498905909,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate
