scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage
factory_lite,False,P1,0.0,6400,1.1826753402329682e-07,1.1826753402348414e-07,1.8733011659191086e-19,1.1826753402329682e-09,0.51484375,1.0,3.203509437300912e-10,3.203509408755526e-10,-2.8545385655672867e-18,-3.806052551236553e-17,2.3439014809871926e-10,0.03703125,0.03703125,0.0
factory_lite,False,P1,10.0,6400,1.182672115788e-06,1.1826721157903974e-06,2.397739156537397e-18,1.1826721157879999e-08,0.54640625,1.0,3.2035095176891843e-09,3.2035095332305597e-09,1.554137540547293e-17,-6.660588689028742e-17,2.3439014316942984e-09,0.03703125,0.03703125,0.0
factory_lite,False,P1,20.0,6400,1.1826398747119874e-05,1.1826398747147588e-05,2.7714717288088917e-17,1.1826398747119874e-07,0.53828125,1.0,3.2035094968005814e-08,3.203509492169886e-08,-4.630695373670268e-17,-4.854286528408086e-16,2.343901425654471e-08,0.03703125,0.03703125,0.0
factory_lite,False,P2,0.0,6400,1.257195020319299e-07,1.2571950203275305e-07,8.23157868879241e-19,1.257195020319299e-09,0.5359375,1.0,2.3867957250213496e-10,2.386795834445324e-10,1.0942397455550152e-17,-3.806051889492063e-17,2.3439014809871926e-10,0.049375,0.049375,0.0
factory_lite,False,P2,10.0,6400,1.2571922504267687e-06,1.2571922504284569e-06,1.6879822918917506e-18,1.2571922504267688e-08,0.51640625,1.0,2.386795668636822e-09,2.3867956649893568e-09,-3.647465318761764e-18,-7.294930968395773e-17,2.3439014316942984e-09,0.049375,0.049375,0.0
factory_lite,False,P2,20.0,6400,1.2571645539435057e-05,1.2571645539454323e-05,1.9265240342518786e-17,1.2571645539435056e-07,0.50484375,1.0,2.386795650119407e-08,2.3867956517211197e-08,1.6017128334782802e-17,-5.995937863508166e-16,2.343901425654471e-08,0.049375,0.049375,0.0
l_corridor_proxy,True,P1,0.0,64,3.059506863625291e-08,3.0595068635459985e-08,-7.92925822616288e-19,3.0595068636252913e-10,0.53125,1.0,1.4357957422248768e-08,1.4357957419394229e-08,-2.8545390825551696e-18,-4.075646528560896e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,10.0,64,3.059506531372686e-07,3.0595065314103506e-07,3.766412236485664e-18,3.0595065313726863e-09,0.546875,1.0,1.435795661625213e-07,1.435795661441254e-07,-1.8395914488028098e-17,-5.074738499634044e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,20.0,64,3.059503211155045e-06,3.059503211215357e-06,6.031177332554813e-17,3.0595032111550455e-08,0.59375,1.0,1.4357948559719404e-06,1.4357948559118366e-06,-6.010376387127064e-17,-1.5350979273414658e-16,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,0.0,64,4.717256068557739e-08,4.7172560684388e-08,-1.1893916032071817e-18,4.717256068557739e-10,0.484375,1.0,1.0669178306924992e-08,1.0669178290749277e-08,-1.617571540182147e-17,-4.075646346581162e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,10.0,64,4.717255002212772e-07,4.717255002273728e-07,6.095637449739539e-18,4.717255002212772e-09,0.546875,1.0,1.0669177985889667e-07,1.066917798619098e-07,3.0131344213999616e-18,-3.8060517571431646e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,20.0,64,4.717244345511781e-06,4.717244345584532e-06,7.275090214223076e-17,4.7172443455117816e-08,0.703125,1.0,1.0669174594917473e-06,1.0669174595417022e-06,4.995482685550643e-17,-3.084460736547641e-16,0.0,0.0,0.0,0.0
