case_id,room_type_cases_tbl,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,snr_db,xpol_coupling_db,eps_r_multiplier_cases_tbl,dominant_wall_material_cases_tbl,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results_tbl,grid_layer_results_tbl,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,dominant_wall_material_results_tbl,eps_r_multiplier_results_tbl
176,B,2.5,2,2.7,3.5,0.5,1.2,1,2.34520787991171,50.2378408481949,50.2378408481949,31.2476567292324,34.1312382797828,0.96960357040658,glass,patch_ffd,glass,13,5.97665369649805e-09,2.40403002923617,leading_edge,1,1,R,1,1,2,2.26054816639549,2.73143405213878,1.76368118887041,0.00629756932028902,0.0119053086213162,0.366871858096064,1.5582787361545e-08,1.12282717445978e-08,1.84280155642023e-08,0.0681801460680843,5.97665369649808e-09,1.61982768553031,46.9489380455537,6.37322973938249,0.998578497924917,4,90.9295358370882,0.0731688059450448,0,,22,0,2,1,0,1,2.34520787991171,dielectric,0.00221325337600944,0.000703575012766243,0.317891760786472,0,B,1,50.2378408481949,50.2378408481949,glass,0.96960357040658
177,A,2.5,2,2.7,3.5,2.75,1.2,1,1.95256241897666,39.8055710922652,39.8055710922652,15.8033621813034,33.8057454023117,1.01436975918427,brick,patch_ffd,brick,8,3.4863813229572e-09,7.7417520357126,leading_edge,1,1,R,1,1,2,0.646949993546738,-4.13245553136644,0.991422411326759,0.00539190308228499,0.0129683468237319,0.311048747443828,4.36810673794267e-08,8.41297428113505e-09,5.97665369649805e-09,0.0913035822108589,3.48638132295721e-09,2.24859981865684,87.3171560173523,8.68499656679128,0.985298984004824,3,137.790989125147,0.100477541699791,0,,21,0,2,1,1,0,1.95256241897666,dielectric,0.00265832180687924,0.000514389207909672,0.193501481490514,0,A,1,39.8055710922652,39.8055710922652,brick,1.01436975918427
178,A,2.5,2,2.7,4.5343694289115,1.34098876631294,0.65,2,2.96233940989473,46.2097267473929,46.2097267473929,38.7648534003421,35.9438234162652,0.963691040311514,drywall,patch_ffd,drywall,18,8.46692607003891e-09,0.972110969069642,leading_edge,1,1,R,1,1,2,1.57690328971022,3.15770820833777,2.06480510368101,0.000208707127569929,0.0125883438269902,0.352143264763583,8.87694070627014e-09,8.56956300298341e-09,1.99221789883268e-08,0.0596172781687175,2.49027237354087e-09,1.72082516000828,56.3933460313457,6.87825357101243,0.999629386929659,3,104.357325026431,0.0633968242766307,0,,21,0,2,1,0,1,2.96233940989473,dielectric,0.00175217574337405,0.000519467629667868,0.296470049669541,0,A,2,46.2097267473929,46.2097267473929,drywall,0.963691040311514
179,C,2.5,2,2.7,0.5,1.25,1.2,1,2.61007662722764,54.9216703540316,54.9216703540316,36.8281118171742,26.8656081095458,0.88826736569617,glass,patch_ffd,glass,11,4.98054474708171e-09,5.89367018359636,leading_edge,1,1,R,1,1,2,0.851106420044715,-4.94374478519466,0.0296304256049696,0.259015161375096,0.0139174418355106,0.367753321103929,2.29026074249327e-08,5.71876675898723e-09,1.29494163424125e-08,0.0911584496318717,4.98054474708173e-09,1.85565188160892,58.5163943544059,7.05084313744509,0.997907564932404,2,105.788710343311,0.100301806838549,0,,20,0,2,1,0,1,2.61007662722764,dielectric,0.00198865397418305,0.000600641665180198,0.302034276941993,0,C,1,54.9216703540316,54.9216703540316,glass,0.88826736569617
180,C,2.5,2,2.7,3.5,0.5,1.2,1,2.34520787991171,50.2378408481949,50.2378408481949,17.8845353442521,39.1779420509322,1.01708261286661,drywall,patch_ffd,drywall,12,5.47859922178988e-09,1.34254601500561,leading_edge,1,1,R,1,1,2,2.04643280755424,3.16712515701958,1.94103330317447,0.00650696771018322,0.0169908093446874,0.46251681362019,4.61464379355257e-08,1.32134932906142e-08,1.84280155642023e-08,0.115781675776912,5.47859922178991e-09,1.60643982949074,48.0494082107354,6.56841620794079,0.977686396906502,4,81.6492371094328,0.130942407101372,0,,19,0,2,1,0,1,2.34520787991171,dielectric,0.00221325337600944,0.000456914021953223,0.206444515980838,0,C,1,50.2378408481949,50.2378408481949,drywall,1.01708261286661
181,B,2.5,2,2.7,1.5,2,0.2,1,2.69258240356725,21.8014094863518,21.8014094863518,32.1063163832687,38.5908571683657,1.04806022201421,brick,patch_ffd,brick,15,6.9727626459144e-09,6.67172268960804,leading_edge,1,1,R,1,1,2,1.11024682447453,-3.97749376254969,0.55014062832165,0.0182321986985595,0.0140313991053506,0.368131170782339,8.39183089976351e-09,7.15887751351559e-09,1.19533073929961e-08,0.0903814582670159,1.49416342412452e-09,1.62823134548411,63.8234516952289,7.62747798356291,0.99938693989248,2,106.4360890865,0.0993619348334999,0,,21,0,2,1,0,1,2.69258240356725,dielectric,0.00192771788554433,0.000698254028781972,0.362217954202778,0,B,1,21.8014094863518,21.8014094863518,brick,1.04806022201421
182,B,2.5,2,2.7,1.5,1.25,1.2,1,1.95256241897666,39.8055710922652,39.8055710922652,35.4644961210754,35.971804619868,0.909194586854456,brick,patch_ffd,brick,10,4.48249027237354e-09,8.01945577709425,leading_edge,1,1,R,1,1,2,0.420582270907808,-8.13653663729817,0.364163299333015,0.0734606207981437,0.0268540038668749,0.454889287362891,2.11371074780932e-08,4.00163963941777e-09,8.96498054474708e-09,0.18315299230375,4.48249027237356e-09,1.62221658834193,78.9038450127734,8.23538646750163,0.99816755568392,3,133.410724648014,0.224219456738044,0,,21,0,2,1,1,0,1.95256241897666,dielectric,0.00265832180687924,0.000485096430820275,0.18248220721996,0,B,1,39.8055710922652,39.8055710922652,brick,0.909194586854456
183,B,2.5,2,2.7,3.5,1.25,1.2,1,1.95256241897666,39.8055710922652,39.8055710922652,37.2856010227587,30.6394479847476,0.924349553964019,drywall,patch_ffd,drywall,9,3.98443579766537e-09,0.622897279708863,leading_edge,1,1,R,1,1,2,1.87087407085692,3.59193441501252,0.680827243110481,0.000297629174505154,0.00834926771890943,0.376492981483805,9.46323464988638e-09,1.09768329086505e-08,2.19143968871595e-08,0.0595502971180568,1.49416342412452e-09,1.66540246397005,31.7820653474149,5.29636355778436,0.999598010791611,5,60.5518940640895,0.0633210866413898,0,,22,0,2,1,1,0,1.95256241897666,dielectric,0.00265832180687924,0.000489702831078824,0.184215029877709,0,B,1,39.8055710922652,39.8055710922652,drywall,0.924349553964019
184,C,2.5,2,2.7,4.7,3.7,0.2,2,3.73898381916798,48.038517637999,48.038517637999,13.5448953834526,38.3319455834131,0.951372389840237,concrete,patch_ffd,concrete,20,9.46303501945525e-09,3.99369631211342,leading_edge,1,1,R,1,1,2,0.998055178956735,-2.08888164975558,0.870852234627576,0.0308893787070044,0.0221010177638458,0.398061923859098,4.42271833618517e-08,9.17263737687488e-09,4.98054474708171e-09,0.150302826329554,6.47470817120625e-09,1.7115487937681,97.162384499261,9.27332871208744,0.978188182446598,2,143.385129534669,0.176889874401122,0,,11,0,2,1,0,1,3.73898381916798,dielectric,0.00138822190966677,0.000310004950635568,0.223310803897326,0,C,2,48.038517637999,48.038517637999,concrete,0.951372389840237
185,A,2.5,2,2.7,4.56881089209194,1.76180756524741,0.2,2,3.25372312024419,39.7939987318117,39.7939987318117,39.8004447386195,25.2035549489534,0.966037769095893,glass,patch_ffd,glass,18,8.46692607003891e-09,1.04749368932453,leading_edge,1,1,R,1,1,2,3.17660159586561,5.45318131302009,0.947235368976469,0.000773371910405718,0.00993543825722655,0.316897488734795,9.28802683875153e-09,1.35338459942583e-08,2.19143968871595e-08,0.0558526450428963,3.48638132295721e-09,1.68355605701631,49.9337080224433,6.42667350181058,0.999733286750425,5,101.705057162343,0.0591567033997929,0,,20,0,2,1,0,1,3.25372312024419,dielectric,0.00159526150991882,0.000581818179150572,0.364716490389202,0,A,2,39.7939987318117,39.7939987318117,glass,0.966037769095893
