case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,slab_placement_results_tbl
11,2.14835034989579,1.4044582188645,-0.0862960165226807,-0.936442897591407,6.75997553459378,0.0249479610859405,24.0265884698936,12.2887068909189,33.7565968279455,4.29115833965621,wood,patch,ceiling,1.19906121842354,51.6549815014393,51.6549815014393,2.14835034989579,1.4044582188645,51.6549815014393,0,1,0,5,1.99221789883268e-09,0.723010575651094,leading_edge,1,1,R,1,1,2,0.6761284016287,-4.0875008986442,0.0768856284608672,0.496624855345991,0.0270876862046205,0.441409708657956,8.34541697558502e-09,2.76298763011509e-09,5.47859922178988e-09,0.176369354395418,1.49416342412452e-09,1.64867449415202,99.7022783807374,9.63347923021444,0.999454436002539,1,142.916134840183,0.21413646436863,0,,2,0,1,1,0,1,1.19906121842354,dielectric,0.00432883590754671,0.00116982436463752,0.270239942012608,0,51.6549815014393,51.6549815014393,ceiling
12,2.93968974473682,1.25008771659419,-0.759255730176561,1.83560039590204,8.31575421388714,0.0157304970038245,25.8841223713713,11.315931721221,13.1802405776496,1.86388831501713,concrete,patch,wall_y,2.60780618350854,49.616415676425,49.616415676425,2.93968974473682,1.25008771659419,49.616415676425,0,1,0,14,6.47470817120623e-09,0.190554426010209,leading_edge,1,1,R,1,1,2,0.777695743754116,-2.34973955933685,0.700720572904237,0.00145839575977025,0.029078846731204,0.440344049428469,5.01341161854977e-08,1.05278112931442e-08,4.48249027237354e-09,0.196032475425458,1.49416342412452e-09,1.64392858958627,114.420749299791,10.305289426502,0.968063916989859,1,154.165085901983,0.243831335760979,0,,2,0,1,1,0,1,2.60780618350854,dielectric,0.00199038536317726,0.000661864551224744,0.33253085732514,0,49.616415676425,49.616415676425,wall_y
13,2.77564043005621,1.31633982623091,-1.38141929266571,-0.958521227455735,6.82171517702928,0.00193877159523315,26.652341182108,10.6552427131588,37.5191052604249,1.23322058325617,ceramic_tile,ideal,ceiling,2.22635137791795,49.0449047482031,49.0449047482031,2.77564043005621,1.31633982623091,49.0449047482031,0,1,0,11,4.98054474708171e-09,0.0508683820251803,leading_edge,1,1,R,1,1,2,0.0502622110125472,-26.4424433756091,0.0050079901544574,0.0232759893506483,0.0196953680824787,0.353944174375568,3.65190865123778e-09,2.60068866275216e-09,4.98054474708171e-09,0.156235490642468,9.96108949416347e-10,1.66499664282167,110.406237705502,10.0785297745429,0.999899176440153,1,161.61723748296,0.185164804764579,0,,2,0,1,1,0,1,2.22635137791795,dielectric,0.00233141062508859,0.000782765502767694,0.335747591755935,0,49.0449047482031,49.0449047482031,ceiling
14,2.18687066945192,0.172869912722084,0.964990112310098,0.453922770720225,2.21858409890298,0.00437416193714782,31.9813634769069,14.9957104455869,25.7349743489198,1.71457776476129,glass,ideal,ceiling,2.27891440092491,27.9013681793913,27.9013681793913,2.18687066945192,0.172869912722084,27.9013681793913,0,1,0,12,5.47859922178988e-09,0.0520652790410898,leading_edge,1,1,R,1,1,2,0.0352025202698629,-29.1501044826803,0.00450542337644215,0.0152415763471672,0.0306536387559306,0.446863519121898,1.02480117345568e-08,2.609804324862e-09,4.98054474708171e-09,0.204819952816388,9.96108949416347e-10,1.64105710264725,112.975847899859,10.2727006183342,0.998895703292123,1,157.806666913382,0.257576826206624,0,,2,0,1,1,1,0,2.27891440092491,dielectric,0.00227763677984216,0.000320297218447531,0.140626996052342,0,27.9013681793913,27.9013681793913,ceiling
15,2.12052045430634,0.670191913960458,1.34537737782071,0.0722412984864227,5.7020999720953,0.0143315036045039,20.5515739570553,8.23904665890702,18.793355637979,4.57664594448021,brick,patch,wall_x,1.97957368362498,42.8912448205497,42.8912448205497,2.12052045430634,0.670191913960458,42.8912448205497,0,1,0,10,4.48249027237354e-09,5.38691192158543,leading_edge,1,1,R,1,1,2,0.680891876127141,-3.37509881372712,0.689153164060654,0.000294830914457589,0.0280645104327724,0.419891131461916,3.04617366456138e-08,5.08978914231805e-09,4.48249027237354e-09,0.196542427443277,9.96108949416347e-10,1.64748191346918,119.890709573198,10.5904735132475,0.989765904982621,1,163.635369444009,0.244620791634148,0,,2,0,1,1,0,1,1.97957368362498,dielectric,0.00262204903035166,0.000543745146036798,0.207374133642296,0,42.8912448205497,42.8912448205497,wall_x
16,2.08661163112616,1.01196366174776,0.0484817906516519,-0.615956286451061,3.99663593315474,0.0352624995771974,23.4592137036574,6.40666715379855,17.506966478992,2.69874047119707,drywall,ideal,ceiling,1.23960513427965,29.8964477507594,29.8964477507594,2.08661163112616,1.01196366174776,29.8964477507594,0,1,0,5,1.99221789883268e-09,0.0972820535998173,leading_edge,1,1,R,1,1,2,0.0887771729074771,-21.2503885193313,0.00772921173133255,0.180333658893919,0.0282356765027497,0.437909601014201,2.64925302859607e-08,4.4187702934001e-09,4.98054474708171e-09,0.188762081009497,1.49416342412452e-09,1.64507328139951,108.097853807294,10.03453806081,0.993082413096583,1,151.363924037742,0.232683996384675,0,,2,0,1,1,1,0,1.23960513427965,dielectric,0.00418725214515573,0.000801776753847118,0.19148040912098,0,29.8964477507594,29.8964477507594,ceiling
17,2.91458826752127,0.73037662601236,1.06550173714295,0.908565253776794,9.37182946852719,0.00171387694028733,33.2277852481257,6.12725851137807,16.0017245395108,4.00262001184096,drywall,ideal,floor,2.59452601974391,32.6636006823122,32.6636006823122,2.91458826752127,0.73037662601236,32.6636006823122,0,1,0,14,6.47470817120623e-09,0.0454607165103181,leading_edge,1,1,R,1,1,2,0.108343963966495,-19.7975794297674,0.0122036185958779,0.397979912853685,0.0282901208779043,0.425481270159999,2.83529988183829e-08,5.06030612320812e-09,6.9727626459144e-09,0.197460591578968,9.96108949416347e-10,1.64567938286872,108.927671741726,9.91001227810478,0.990224398542502,2,160.644930016638,0.24604472940147,0,,2,0,1,1,0,1,2.59452601974391,dielectric,0.00200057321381994,0.000675067134332169,0.337436855431639,0,32.6636006823122,32.6636006823122,floor
18,2.42329224384072,0.102709098965554,-1.95559831558211,-0.0900680821768893,7.73283378389041,0.0124762399321909,34.3154040634577,10.0036933580613,22.3879689215885,3.65816070865365,metal_pec,patch,ceiling,3.03604729271685,40.151373985743,40.151373985743,2.42329224384072,0.102709098965554,40.151373985743,0,1,0,16,7.47081712062257e-09,0.234895485971966,leading_edge,1,1,R,1,1,2,0.692633700565779,-4.22265748933853,0.779521853382277,0.00774169321117335,0.0202856316561868,0.367964400765248,4.38572344127131e-08,8.66633193539629e-09,4.98054474708171e-09,0.152665390934116,9.96108949416347e-10,1.66794691669601,105.697767579581,9.77991244956497,0.978490247881758,2,154.017489996549,0.180171315205002,0,,2,0,1,1,0,1,3.03604729271685,PEC,0.00170963715555751,0.00134679571993768,0.787766992288193,0,40.151373985743,40.151373985743,ceiling
19,2.68273487993199,0.304862512934573,-1.09197006828103,-0.282212035029652,6.25177747238557,0.0282410297710396,30.8496931536521,6.59959405964815,30.5224078440759,1.83477531597963,wood,ideal,wall_y,2.63179012393982,25.3754506233087,25.3754506233087,2.68273487993199,0.304862512934573,25.3754506233087,0,1,0,14,6.47470817120623e-09,0.0443534924467785,leading_edge,1,1,R,1,1,2,0.208882112851297,-13.6069471299622,0.00335948572683261,0.00832053314445136,0.0249691766476134,0.389955826473992,6.11784075774417e-09,2.42372161087838e-09,4.48249027237354e-09,0.18356117513626,9.96108949416347e-10,1.6544640895719,121.580259123329,10.6844142240607,0.999594545250786,1,168.797693938487,0.224831511616189,0,,2,0,1,1,0,1,2.63179012393982,dielectric,0.00197224665084169,0.000414051869470765,0.209939192592398,0,25.3754506233087,25.3754506233087,wall_y
20,2.11226442445836,0.816851253538604,-0.508509166652689,0.682987989033969,9.20233855015846,0.0054079906691102,21.1316573409582,10.2243047643725,17.4633564558194,4.50018552178892,wood,ideal,ceiling,1.55020948556214,33.3177230283462,33.3177230283462,2.11226442445836,0.816851253538604,33.3177230283462,0,1,0,7,2.98832684824903e-09,0.071913383630944,leading_edge,1,1,R,1,1,2,0.0928305857217409,-21.0988585945088,0.0141280564384302,0.00304608256264705,0.0362432566257206,0.456297642503986,3.55192750881495e-08,5.72087670546426e-09,3.98443579766537e-09,0.24695448163627,9.96108949416347e-10,1.63078721377668,124.592797227957,10.6739044845744,0.987879772371814,2,178.946776230455,0.327940975165578,0,,2,0,1,1,0,1,1.55020948556214,dielectric,0.00334828247794931,0.00107327799980482,0.320545834132297,0,33.3177230283462,33.3177230283462,ceiling
