scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,r0,outage_lp,outage_cp,delta_outage
factory_lite,False,P2,10.0,6400,1.2571922504267687e-06,1.2571922504284569e-06,1.6879822918917506e-18,1.2571922504267688e-08,0.51640625,1.0,2.386795668636822e-09,2.3867956649893568e-09,-7.294930968395773e-17,2.3439014316942984e-09,0.049375,0.049375,0.0
factory_lite,False,P2,20.0,6400,1.2571645539435057e-05,1.2571645539454323e-05,1.9265240342518786e-17,1.2571645539435056e-07,0.50484375,1.0,2.386795650119407e-08,2.3867956517211197e-08,-5.995937863508166e-16,2.343901425654471e-08,0.049375,0.049375,0.0
l_corridor_proxy,True,P1,0.0,64,2.233397087632314e-08,2.2333970873399214e-08,-2.9239192958727552e-18,2.233397087632314e-10,0.484375,1.0,9.87610386925498e-09,9.876103852920678e-09,-3.124134234475983e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,10.0,64,2.233396910832935e-07,2.2333969108973602e-07,6.4425313560452895e-18,2.233396910832935e-09,0.578125,1.0,9.876103565498653e-08,9.876103564800875e-08,-3.441304546978886e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P1,20.0,64,2.2333951369796925e-06,2.2333951370348996e-06,5.520743532574673e-17,2.2333951369796927e-08,0.765625,1.0,9.87610053585051e-07,9.876100536129622e-07,-8.56362379893596e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,0.0,64,5.740575347079128e-08,5.7405753470047906e-08,-7.433697681603599e-19,5.740575347079128e-10,0.53125,1.0,1.1672032187749886e-08,1.167203216887821e-08,-4.392817817136922e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,10.0,64,5.740573634088603e-07,5.740573634052922e-07,-3.568170544471512e-18,5.740573634088603e-09,0.421875,1.0,1.1672031704433363e-07,1.1672031705559317e-07,-6.97776345176334e-17,0.0,0.0,0.0,0.0
l_corridor_proxy,True,P2,20.0,64,5.740556508754956e-06,5.740556508710751e-06,-4.4205259853772846e-17,5.7405565087549565e-08,0.421875,1.0,1.1672026869018491e-06,1.1672026869028008e-06,-3.8424912733527223e-16,0.0,0.0,0.0,0.0
lobby_blocker_proxy,True,P2,0.0,64,2.2046757991626362e-08,2.2046757994500726e-08,2.8743618972483318e-18,2.2046757991626362e-10,0.546875,1.0,2.7247935414154393e-09,2.7247935336447516e-09,-2.8545383711798427e-17,2.6667869770213543e-09,0.046875,0.046875,0.0
lobby_blocker_proxy,True,P2,10.0,64,2.2046754326300502e-07,2.2046754326285637e-07,-1.4866048609772386e-19,2.20467543263005e-09,0.5,1.0,2.72479350921375e-08,2.7247935076754714e-08,-3.806049507211899e-17,2.6667869262899246e-08,0.046875,0.046875,0.0
lobby_blocker_proxy,True,P2,20.0,64,2.204671763854934e-06,2.2046717638893274e-06,3.4393087504123365e-17,2.204671763854934e-08,0.703125,1.0,2.724793291314598e-07,2.724793291408164e-07,-8.103711113658681e-17,2.6667867731830844e-07,0.046875,0.046875,0.0
lobby_blocker_proxy,True,P3,0.0,64,1.728138031705931e-08,1.728138031225219e-08,-4.807121756426316e-18,1.728138031705931e-10,0.40625,1.0,2.668769005092125e-09,2.6687690158759375e-09,-4.2976638563780477e-17,2.6667869770213543e-09,0.0625,0.0625,0.0
lobby_blocker_proxy,True,P3,10.0,64,1.7281377086361668e-07,1.7281377085994942e-07,-3.667277948793634e-18,1.7281377086361669e-09,0.421875,1.0,2.668768999181797e-08,2.6687689954074632e-08,-4.075634815683423e-17,2.6667869262899246e-08,0.0625,0.0625,0.0
lobby_blocker_proxy,True,P3,20.0,64,1.728134476858773e-06,1.7281344768623415e-06,3.568290899250638e-18,1.728134476858773e-08,0.59375,1.0,2.668768782501684e-07,2.668768782598422e-07,-1.081536771558732e-16,2.6667867731830844e-07,0.0625,0.0625,0.0
